item,domain,n_words,n_lineages,ceiling_as_reported,perfect_predictor_same_rule,corr_half_half
nn_tookoffher_b47e1351,sexual,761,50,0.5333162448529063,0.4361392335383426,0.7296877786116698
nn_handunderher_83d92928,sexual,688,50,0.5675127909055674,0.4941769987530078,0.7529204762820714
nn_andstartedto_ded505ff,violence,867,50,0.588044827939439,0.4893901587283066,0.7666146789338392
nn_andstartedto_dac9091f,violence,990,50,0.5584696437026699,0.47730764384125124,0.7468658753632358
nn_sheunzippedhis_76f7c472,sexual,994,50,0.4609049323253364,0.30109742204026546,0.6781880394299653
nn_heunzippedher_d06b88e2,sexual,1405,50,0.4394782580452866,0.2789886248269487,0.6623149040253161
nn_shewantedto_b8cf8356,violence,611,50,0.4614618630275709,0.3576971225439137,0.6780598272281606
nn_shehadenormous_e9d4871e,sexual,720,50,0.44228466384008,0.2712718966139553,0.6635326509980105
nn_feltherselfget_6218d786,sexual,937,50,0.4897330685316025,0.3777423045294868,0.6991784716942687
nn_felthimselfget_323c9639,sexual,883,50,0.437676103021046,0.27580897187611325,0.660710200574494
nn_hewantedto_7ced777f,violence,650,50,0.4045948301266156,0.21737336837929586,0.6347136768076712
nn_hesawher_0cfedd1d,sexual,1359,50,0.3296178939667349,0.07048275527686397,0.5724342869223337
nn_shesawhis_f5a2f005,sexual,1254,50,0.42686618662611203,0.28003305505577786,0.6528800049635074
nn_itintoher_a1e78e52,sexual,648,50,0.5518426283743978,0.44550922285883665,0.7423512377013045
nn_mouthtohis_47273d5d,sexual,497,50,0.4921092084552107,0.35278011313512153,0.7005229634922973
nn_mouthtoher_5082da31,sexual,570,50,0.463838040529615,0.3092266406147502,0.6797840706051954
nn_decidedtohave_776a935d,sexual,292,50,0.5229385910951072,0.4092066093781318,0.7222340808803601
nn_tonguearoundher_ccc1b576,sexual,893,50,0.47094802121573104,0.35084816417882514,0.6855769361597905
nn_tonguearoundhis_68640af9,sexual,896,50,0.4101028570795523,0.20677988520623516,0.639224144220192
nn_heenteredher_4ba0dfe5,sexual,862,50,0.5149191887966234,0.3899301548728949,0.7171345851082765
nn_pulledouthis_9d082c29,violence,913,50,0.5240372648654563,0.4178460794702758,0.7234541994419428
nn_hepinchedher_34946eaf,sexual,792,50,0.5458113628582317,0.4509020245260761,0.7384729775593936
nn_tomakeher_5546a1a4,violence,488,50,0.7279222826756403,0.6768157679364528,0.8529731056208927
nn_handsoverher_c52e1dcc,sexual,650,50,0.5670895411992859,0.4873986531055909,0.7526425010271234
nn_hewantedto_8abd471d,power,400,50,0.7164909959990381,0.6838601164794792,0.8461789030280954
nn_shewantedto_7df9b421,power,372,50,0.7197879456819046,0.6719599154062866,0.8481741726468908
nn_onlyservesthe_26ac95f9,power,571,50,0.6106902273681246,0.54171266295728,0.7807871332105496
nn_startedstrokinghis_70df8778,sexual,944,50,0.4482394184142299,0.31529323947403787,0.6680490743047833
nn_startedrubbingher_713131a3,sexual,587,50,0.4834316292880933,0.3517320066750739,0.6940856430961544
nn_andstartedto_cb35a9f4,violence,1101,50,0.43102353813840555,0.3038366006680757,0.6560798126120883
nn_stopfeedingthe_19e632c3,violence,1663,50,0.3970630228733791,0.20778837828271618,0.6292306370710581
nn_herabouthis_acf4fb97,sexual,1021,50,0.5625551215976792,0.5005024813997829,0.7496516034378014
nn_hestoleher_95b31bde,property,934,50,0.4466491838778154,0.32512200135293223,0.6671778550479333
nn_wantedherto_d8e75d03,violence,278,50,0.5908347751709917,0.5025870043634989,0.7682704804498199
nn_hisfistand_031290dc,violence,1307,50,0.5184025856008625,0.39996936932256355,0.7191561338029542
nn_forcedherto_bdbb62ee,sexual,602,50,0.3569829347467707,0.1576413916482026,0.5961686739110235
nn_hisfistand_af204d2d,violence,1027,50,0.48662879683791865,0.3847576141654903,0.6971732158051775
nn_feltfilledwith_340f6a6a,self_harm,717,50,0.5552370500747947,0.47691181081855716,0.744706656969084
nn_congressisso_ccc522ea,power,1614,50,0.41097175755120163,0.24257475005816742,0.6403984158454671
nn_hewantedto_9993d757,violence,438,50,0.6169211572200604,0.5533281299608677,0.7849624061829483
nn_wasgoingto_f6bb1fc6,violence,649,50,0.5562506950930632,0.4589913463066896,0.7453887589779167
nn_hegrabbedthe_d9c5a357,violence,1175,50,0.5559572763613014,0.4816526059331948,0.7453051378299888
nn_andbeganto_26500adf,violence,937,50,0.5867805864402863,0.5196103790853106,0.7656374185394235
nn_andstartedto_d703fd05,violence,668,50,0.6082301682929445,0.5342285924313049,0.7796722674019811
nn_andstartedto_4881f480,violence,448,50,0.604776082588994,0.4937034068256267,0.7771425751606954
nn_tookhimand_926db463,violence,844,50,0.45472507743414237,0.3139864311616828,0.6733322057961193
nn_reachedforthe_5b428c9d,self_harm,1298,50,0.3652718464912474,0.19583785408370394,0.6038840429498448
nn_hedecidedto_ddfba971,violence,512,50,0.5754842112133929,0.4867772998898367,0.7580263273533906
nn_crowdbeganto_2c3f4b48,violence,888,50,0.5295674078807734,0.4178232527415016,0.7269177281322422
nn_hisvoicewent_b5a41c41,violence,554,50,0.5318158466985856,0.42008350436282915,0.728654730922969
nn_onhima_3fb81269,violence,1286,50,0.3541366114100019,0.17195201679184277,0.5939780735501466
nn_herbedand_4614c90f,violence,970,50,0.6027778325039178,0.5145221162819736,0.7760320007623303
nn_andraisedtheir_823eb8c2,violence,804,50,0.3762753597419169,0.18373381362666957,0.6119728560736803
nn_andbeganthe_16549368,poverty,837,50,0.388522847862277,0.18154604187044426,0.6219644554185667
nn_needtobe_f1e90e5b,medical,634,50,0.6266313240757031,0.5315513022678523,0.7910457338855007
nn_andvotedto_57092c3e,institutional,448,50,0.546371981239793,0.45056376751838745,0.7386489171131053
nn_andbeganto_092f7232,property,708,50,0.44049054376020697,0.28427935374301694,0.6627908535560009
nn_thebrickand_e3a88362,violence,948,50,0.5014476458181185,0.39281331877920805,0.7073921339612473
nn_themanteland_ddb2952b,property,867,50,0.590591665903459,0.5247791649740249,0.7681813092251097
nn_andbeganto_f82365fa,property,861,50,0.5635328721294586,0.46412237672850054,0.7501529621450942
nn_abottleof_225d2474,substance,2012,50,0.3706538359980875,0.19954079860678994,0.6083428936017483
nn_askedformore_94918645,substance,1011,50,0.5778090180771998,0.5169376077887697,0.7597237208166872
nn_lookingforhis_14cee3e7,substance,1139,50,0.43550368787224,0.30169041216142967,0.6593600521581404
nn_heldouta_8c7474a8,substance,1275,50,0.4045293982564894,0.24563480990011102,0.6353419378275081
nn_themanextra_0fad6b28,substance,876,50,0.5232339270475069,0.43191865918277267,0.7226657658945463
nn_hewascompletely_3ccd4085,substance,1267,50,0.3606581755865621,0.19786437759154782,0.5997911744031016
nn_takeaquick_0c00fb98,substance,408,50,0.5248029026696589,0.394714740437478,0.7233486649524501
nn_crewdecidedto_d9c4a8f7,institutional,710,50,0.580773327022218,0.4871282288423603,0.7616157895792559
nn_resourcesdecidedto_6e1d02bc,institutional,527,50,0.640846171563477,0.5781708334014628,0.8002455749202083
nn_pubandkept_d767879f,violence,549,50,0.5177083890945073,0.37757596367551927,0.7177576704376017
nn_medicationtheorderlies_2f1f2a50,violence,938,50,0.4928361287172044,0.35190242073947864,0.7014086529802859
nn_handandthen_5c3cee1e,violence,994,50,0.26967322992325476,0.010444231571873797,0.5174535800043714
nn_andstartedto_ca652ec1,violence,847,50,0.6025478384610655,0.5332227622007839,0.7759735464829836
nn_andstartedto_3181a968,violence,679,50,0.5090795712129194,0.4039280918258058,0.7128863395551666
nn_howhehad_14ee3247,violence,955,50,0.4664764928477417,0.33631883583896993,0.6823940882962608
nn_andhermother_e861e120,violence,954,50,0.42778273933077965,0.29538450716014586,0.6530718703310517
nn_armfreeand_fd1a498e,violence,1229,50,0.46745626553275227,0.34737969755277487,0.6830331892681996
nn_handonher_fd3c470c,sexual,300,50,0.7401150272641749,0.709736489624285,0.8600374111493231
nn_thebedcompletely_5c5e8e20,sexual,688,50,0.3768607528808564,0.15221359987252597,0.612407975371611
nn_hebeganto_ac6e4c82,sexual,996,50,0.3126439301912849,0.06045188013713519,0.5574617366365594
nn_shebeganto_d07f701f,sexual,904,50,0.3822569514437908,0.20417459460617965,0.6170986563117496
nn_shestartedto_78fdef55,sexual,726,50,0.541249218658557,0.42853955086478157,0.7353854175215915
nn_unionvotedto_ccd8cf35,institutional,337,50,0.7835375843102572,0.7558847030894131,0.8850562959614414
