item,domain,n_lineages,fit_lineages,r2,n_draws
nn_tookoffher_b47e1351,sexual,50,1,-2.7758471108327347,60
nn_tookoffher_b47e1351,sexual,50,2,-1.2846967312025888,60
nn_tookoffher_b47e1351,sexual,50,4,-0.5380509459535141,60
nn_tookoffher_b47e1351,sexual,50,8,-0.13318775380548334,60
nn_tookoffher_b47e1351,sexual,50,12,-0.007316131913781084,60
nn_tookoffher_b47e1351,sexual,50,16,0.057313024601477795,60
nn_tookoffher_b47e1351,sexual,50,24,0.12227915737701298,60
nn_tookoffher_b47e1351,sexual,50,32,0.15450638737347913,60
nn_tookoffher_b47e1351,sexual,50,40,0.17522602218956784,60
nn_tookoffher_b47e1351,sexual,50,45,0.18259340613792935,60
nn_handunderher_83d92928,sexual,50,1,-2.359971546102287,60
nn_handunderher_83d92928,sexual,50,2,-1.0612046592366469,60
nn_handunderher_83d92928,sexual,50,4,-0.3925302180642426,60
nn_handunderher_83d92928,sexual,50,8,-0.028706133708653256,60
nn_handunderher_83d92928,sexual,50,12,0.0670946339740395,60
nn_handunderher_83d92928,sexual,50,16,0.11920927310401845,60
nn_handunderher_83d92928,sexual,50,24,0.17594311147676367,60
nn_handunderher_83d92928,sexual,50,32,0.20222544820841487,60
nn_handunderher_83d92928,sexual,50,40,0.22047440016240438,60
nn_handunderher_83d92928,sexual,50,45,0.22858197269802677,60
nn_andstartedto_ded505ff,violence,50,1,-2.355671290779667,60
nn_andstartedto_ded505ff,violence,50,2,-1.0337105947203062,60
nn_andstartedto_ded505ff,violence,50,4,-0.3861754994176536,60
nn_andstartedto_ded505ff,violence,50,8,-0.04786312696704043,60
nn_andstartedto_ded505ff,violence,50,12,0.06386485254717358,60
nn_andstartedto_ded505ff,violence,50,16,0.1190208624426675,60
nn_andstartedto_ded505ff,violence,50,24,0.1795913904463335,60
nn_andstartedto_ded505ff,violence,50,32,0.21789896211460016,60
nn_andstartedto_ded505ff,violence,50,40,0.23537051439435547,60
nn_andstartedto_ded505ff,violence,50,45,0.24124797301070267,60
nn_andstartedto_dac9091f,violence,50,1,-2.744842332409646,60
nn_andstartedto_dac9091f,violence,50,2,-1.2128157645423685,60
nn_andstartedto_dac9091f,violence,50,4,-0.47822548494182604,60
nn_andstartedto_dac9091f,violence,50,8,-0.12184547347215752,60
nn_andstartedto_dac9091f,violence,50,12,-0.0005150351835194448,60
nn_andstartedto_dac9091f,violence,50,16,0.0723749496086721,60
nn_andstartedto_dac9091f,violence,50,24,0.1353471043545617,60
nn_andstartedto_dac9091f,violence,50,32,0.16293578023209562,60
nn_andstartedto_dac9091f,violence,50,40,0.18420392775794397,60
nn_andstartedto_dac9091f,violence,50,45,0.19429319854674837,60
nn_sheunzippedhis_76f7c472,sexual,50,1,-2.8521842617016047,60
nn_sheunzippedhis_76f7c472,sexual,50,2,-1.4517490131767878,60
nn_sheunzippedhis_76f7c472,sexual,50,4,-0.6320360054605755,60
nn_sheunzippedhis_76f7c472,sexual,50,8,-0.19918842375328152,60
nn_sheunzippedhis_76f7c472,sexual,50,12,-0.04812733819903996,60
nn_sheunzippedhis_76f7c472,sexual,50,16,0.025101926304270213,60
nn_sheunzippedhis_76f7c472,sexual,50,24,0.09005434059150262,60
nn_sheunzippedhis_76f7c472,sexual,50,32,0.12571286956033528,60
nn_sheunzippedhis_76f7c472,sexual,50,40,0.1430565261509753,60
nn_sheunzippedhis_76f7c472,sexual,50,45,0.14735279875785084,60
nn_heunzippedher_d06b88e2,sexual,50,1,-3.176562617821531,60
nn_heunzippedher_d06b88e2,sexual,50,2,-1.4719427052743244,60
nn_heunzippedher_d06b88e2,sexual,50,4,-0.5891594582991895,60
nn_heunzippedher_d06b88e2,sexual,50,8,-0.19289856989855803,60
nn_heunzippedher_d06b88e2,sexual,50,12,-0.045465188744383114,60
nn_heunzippedher_d06b88e2,sexual,50,16,0.018327369571827477,60
nn_heunzippedher_d06b88e2,sexual,50,24,0.08676593749977099,60
nn_heunzippedher_d06b88e2,sexual,50,32,0.1200685486711912,60
nn_heunzippedher_d06b88e2,sexual,50,40,0.14208557755384674,60
nn_heunzippedher_d06b88e2,sexual,50,45,0.15161865128191818,60
nn_shewantedto_b8cf8356,violence,50,1,-3.153290709927222,60
nn_shewantedto_b8cf8356,violence,50,2,-1.5090220242683299,60
nn_shewantedto_b8cf8356,violence,50,4,-0.6825656948458149,60
nn_shewantedto_b8cf8356,violence,50,8,-0.24490765605948703,60
nn_shewantedto_b8cf8356,violence,50,12,-0.09021527330929173,60
nn_shewantedto_b8cf8356,violence,50,16,-0.012787944627141482,60
nn_shewantedto_b8cf8356,violence,50,24,0.0566217503039994,60
nn_shewantedto_b8cf8356,violence,50,32,0.09393401628532021,60
nn_shewantedto_b8cf8356,violence,50,40,0.11993720818352518,60
nn_shewantedto_b8cf8356,violence,50,45,0.13081357367767235,60
nn_shehadenormous_e9d4871e,sexual,50,1,-3.082777746938446,60
nn_shehadenormous_e9d4871e,sexual,50,2,-1.4444294366704575,60
nn_shehadenormous_e9d4871e,sexual,50,4,-0.6387362363155248,60
nn_shehadenormous_e9d4871e,sexual,50,8,-0.24306852356806244,60
nn_shehadenormous_e9d4871e,sexual,50,12,-0.11446482557440378,60
nn_shehadenormous_e9d4871e,sexual,50,16,-0.05067174998531237,60
nn_shehadenormous_e9d4871e,sexual,50,24,0.027945698761844183,60
nn_shehadenormous_e9d4871e,sexual,50,32,0.07004710147489455,60
nn_shehadenormous_e9d4871e,sexual,50,40,0.09279218183079245,60
nn_shehadenormous_e9d4871e,sexual,50,45,0.10729731869163225,60
nn_feltherselfget_6218d786,sexual,50,1,-3.082096465250479,60
nn_feltherselfget_6218d786,sexual,50,2,-1.4327795741995801,60
nn_feltherselfget_6218d786,sexual,50,4,-0.6144317823585105,60
nn_feltherselfget_6218d786,sexual,50,8,-0.18127919098528977,60
nn_feltherselfget_6218d786,sexual,50,12,-0.04127945738503461,60
nn_feltherselfget_6218d786,sexual,50,16,0.03218476996315587,60
nn_feltherselfget_6218d786,sexual,50,24,0.09818170400938353,60
nn_feltherselfget_6218d786,sexual,50,32,0.12300675731093001,60
nn_feltherselfget_6218d786,sexual,50,40,0.14133237742535526,60
nn_feltherselfget_6218d786,sexual,50,45,0.14766677679503767,60
nn_felthimselfget_323c9639,sexual,50,1,-2.7003771595308725,60
nn_felthimselfget_323c9639,sexual,50,2,-1.2433797439736525,60
nn_felthimselfget_323c9639,sexual,50,4,-0.5470172680412533,60
nn_felthimselfget_323c9639,sexual,50,8,-0.1568109128320336,60
nn_felthimselfget_323c9639,sexual,50,12,-0.0358265661305515,60
nn_felthimselfget_323c9639,sexual,50,16,0.02909694051572509,60
nn_felthimselfget_323c9639,sexual,50,24,0.0960146246039802,60
nn_felthimselfget_323c9639,sexual,50,32,0.13018824723325956,60
nn_felthimselfget_323c9639,sexual,50,40,0.15108702629950266,60
nn_felthimselfget_323c9639,sexual,50,45,0.15943575478764943,60
nn_hewantedto_7ced777f,violence,50,1,-3.082807608965923,60
nn_hewantedto_7ced777f,violence,50,2,-1.4519578195871385,60
nn_hewantedto_7ced777f,violence,50,4,-0.6084939964125172,60
nn_hewantedto_7ced777f,violence,50,8,-0.22997385076629656,60
nn_hewantedto_7ced777f,violence,50,12,-0.0897575613160271,60
nn_hewantedto_7ced777f,violence,50,16,-0.021860468379172167,60
nn_hewantedto_7ced777f,violence,50,24,0.046984872409773094,60
nn_hewantedto_7ced777f,violence,50,32,0.07468130356709306,60
nn_hewantedto_7ced777f,violence,50,40,0.11026049535497548,60
nn_hewantedto_7ced777f,violence,50,45,0.11976789077947045,60
nn_hesawher_0cfedd1d,sexual,50,1,-3.3988379328386156,60
nn_hesawher_0cfedd1d,sexual,50,2,-1.6296279180482098,60
nn_hesawher_0cfedd1d,sexual,50,4,-0.7402914940041082,60
nn_hesawher_0cfedd1d,sexual,50,8,-0.3123959001469242,60
nn_hesawher_0cfedd1d,sexual,50,12,-0.14686119254541952,60
nn_hesawher_0cfedd1d,sexual,50,16,-0.0705715681860415,60
nn_hesawher_0cfedd1d,sexual,50,24,-0.007999166572581198,60
nn_hesawher_0cfedd1d,sexual,50,32,0.029862581273444662,60
nn_hesawher_0cfedd1d,sexual,50,40,0.05281182174974532,60
nn_hesawher_0cfedd1d,sexual,50,45,0.06319670182853697,60
nn_shesawhis_f5a2f005,sexual,50,1,-2.9725134508449993,60
nn_shesawhis_f5a2f005,sexual,50,2,-1.4378904106713342,60
nn_shesawhis_f5a2f005,sexual,50,4,-0.5937388220213612,60
nn_shesawhis_f5a2f005,sexual,50,8,-0.18930723730133908,60
nn_shesawhis_f5a2f005,sexual,50,12,-0.059246910424676,60
nn_shesawhis_f5a2f005,sexual,50,16,-0.005274508247629491,60
nn_shesawhis_f5a2f005,sexual,50,24,0.057093407898770585,60
nn_shesawhis_f5a2f005,sexual,50,32,0.09395150374847713,60
nn_shesawhis_f5a2f005,sexual,50,40,0.11738798567514182,60
nn_shesawhis_f5a2f005,sexual,50,45,0.12791756050014452,60
nn_itintoher_a1e78e52,sexual,50,1,-2.6358389477909183,60
nn_itintoher_a1e78e52,sexual,50,2,-1.1736220405921114,60
nn_itintoher_a1e78e52,sexual,50,4,-0.4623848020512375,60
nn_itintoher_a1e78e52,sexual,50,8,-0.10425766140944633,60
nn_itintoher_a1e78e52,sexual,50,12,0.021829048920977322,60
nn_itintoher_a1e78e52,sexual,50,16,0.08538063678435788,60
nn_itintoher_a1e78e52,sexual,50,24,0.1501548598391503,60
nn_itintoher_a1e78e52,sexual,50,32,0.1815590603818708,60
nn_itintoher_a1e78e52,sexual,50,40,0.20127174489295035,60
nn_itintoher_a1e78e52,sexual,50,45,0.2103248075172465,60
nn_mouthtohis_47273d5d,sexual,50,1,-2.779731689556891,60
nn_mouthtohis_47273d5d,sexual,50,2,-1.3493140429577515,60
nn_mouthtohis_47273d5d,sexual,50,4,-0.5782375142356139,60
nn_mouthtohis_47273d5d,sexual,50,8,-0.16615399269222333,60
nn_mouthtohis_47273d5d,sexual,50,12,-0.04054724715910356,60
nn_mouthtohis_47273d5d,sexual,50,16,0.03072588677404025,60
nn_mouthtohis_47273d5d,sexual,50,24,0.09671616470259427,60
nn_mouthtohis_47273d5d,sexual,50,32,0.12463996143139397,60
nn_mouthtohis_47273d5d,sexual,50,40,0.14644543034801852,60
nn_mouthtohis_47273d5d,sexual,50,45,0.15588158524441795,60
nn_mouthtoher_5082da31,sexual,50,1,-3.134233822100837,60
nn_mouthtoher_5082da31,sexual,50,2,-1.4504575437597764,60
nn_mouthtoher_5082da31,sexual,50,4,-0.5994831685456629,60
nn_mouthtoher_5082da31,sexual,50,8,-0.194227759247397,60
nn_mouthtoher_5082da31,sexual,50,12,-0.06048553801769085,60
nn_mouthtoher_5082da31,sexual,50,16,0.015251779381292574,60
nn_mouthtoher_5082da31,sexual,50,24,0.08463729003182863,60
nn_mouthtoher_5082da31,sexual,50,32,0.12120340112555915,60
nn_mouthtoher_5082da31,sexual,50,40,0.14340226279450494,60
nn_mouthtoher_5082da31,sexual,50,45,0.1482777820165551,60
nn_decidedtohave_776a935d,sexual,50,1,-2.5908627000184996,60
nn_decidedtohave_776a935d,sexual,50,2,-1.2080528036329796,60
nn_decidedtohave_776a935d,sexual,50,4,-0.43654907403830934,60
nn_decidedtohave_776a935d,sexual,50,8,-0.09991468446899697,60
nn_decidedtohave_776a935d,sexual,50,12,0.028507551902057733,60
nn_decidedtohave_776a935d,sexual,50,16,0.09351078545212874,60
nn_decidedtohave_776a935d,sexual,50,24,0.15140604676871752,60
nn_decidedtohave_776a935d,sexual,50,32,0.18439732847281037,60
nn_decidedtohave_776a935d,sexual,50,40,0.1984162399444153,60
nn_decidedtohave_776a935d,sexual,50,45,0.20464134754262306,60
nn_tonguearoundher_ccc1b576,sexual,50,1,-2.8514864098623596,60
nn_tonguearoundher_ccc1b576,sexual,50,2,-1.2453414688892426,60
nn_tonguearoundher_ccc1b576,sexual,50,4,-0.4849704677355332,60
nn_tonguearoundher_ccc1b576,sexual,50,8,-0.12530492543712343,60
nn_tonguearoundher_ccc1b576,sexual,50,12,0.004022860351414513,60
nn_tonguearoundher_ccc1b576,sexual,50,16,0.06042923647612673,60
nn_tonguearoundher_ccc1b576,sexual,50,24,0.11494864457289267,60
nn_tonguearoundher_ccc1b576,sexual,50,32,0.14182909695262552,60
nn_tonguearoundher_ccc1b576,sexual,50,40,0.15988501711500003,60
