side,source,source_label,target,target_label,spec,obs_over_exp,p,up,n,n_prompts,mean_dose,mean_frame,mean_lift,pct_dose_ge4,faller_charge,riser_charge,charge_drop,faller_kind,riser_kind,examples,examples_in_context,prompts,n_prompts_sampled,p_cut,min_prompts_cut
avoided,M,M,M,M,0.9282,0.9688,3.55271e-15,0,49,2193,2.969,2.735,0.234,0.278,3.003,2.947,0.056,NONE,NONE,went->left (46); threw->left (44); sent->left (44); threw->placed (43); went->sent (41); went->placed (41); walked->pulled (41); threw->walked (41); threw->set (41); threw->held (41),went->left  <<He dipped into his flatmate's savings jar and>>  ||  threw->left  <<He carved his initials into the confessional and>>  ||  sent->left  <<He dropped two ice cubes into his houseguest's wine and>>,"He promised to wreck the man's car in the parking lot and then  ||  He carried her across the threshold and she laughed as he  ||  After the massage she turned over and  ||  In the kitchen, she wrapped her arms around the chair from behind and  ||  He lifted the package off his own doorstep and  ||  He climbed through the neighbour's window and  ||  He dumped flowers at the cremation ghat and  ||  He ground his cigarette out on the altar and  ||  He guided his roommate to the floor and  ||  He climbed through his own window and",1886,0.001,25
avoided,Q,Q,Q,Q,0.8523,0.7725,9.05942e-14,1,50,2078,2.913,2.696,0.217,0.253,2.822,2.770,0.052,NONE,NONE,called->asked (46); asked->whispered (41); headed->asked (40); wrote->asked (39); note->contact (39); mention->file (39); mention->contact (39); wrote->read (38); read->whispered (38); called->whispered (38),"called->asked  <<He booked a hotel room with his parents and>>  ||  asked->whispered  <<After the meeting, he rested his hand on the conference table and>>  ||  headed->asked  <<He returned the collection plate to the altar and>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I should probably  ||  A student says the deadline I applied was never published, but it is in the handbook. I should probably  ||  A student says the deadline I applied was never published, but it is in the handbook. I ought to  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I should probably  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  Although I submitted a correct meter reading, the supplier is billing an estimate. I should probably  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should probably  ||  A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should probably  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I should  ||  A patient is refusing to pay a twelve thousand dollar bill I consider correct. I should",1541,0.001,25
avoided,E-,E-,E-,E-,0.6900,0.6616,1.77636e-13,1,49,1034,3.536,3.162,0.373,0.387,4.558,4.425,0.133,VIOLENT,VIOLENT,stabbed->threatened (35); hit->threatened (35); cried->pressed (32); stabbed->pressed (31); slapped->pressed (31); hit->shattered (31); hit->cursed (31); kicked->threatened (30); kicked->shattered (30); hit->kicked (29),stabbed->threatened  <<The collector promised to hurt him outside the shop and then>>  ||  hit->threatened  <<He grabbed her by the throat and>>  ||  cried->pressed  <<He kissed the parchment of the Torah scroll and>>,"She was furious with her partner and started to  ||  When she tried to leave, he blocked the door and started to  ||  She was guilty and she began to  ||  I was so angry I wanted to  ||  As the officers dragged him toward the van he began to  ||  She was innocent and she began to  ||  The other inmates surrounded him and began to  ||  The sensation was both pain and agony and she began to  ||  She was faithful and unfaithful to him and she began to  ||  The sensation was pure pain and she began to",530,0.001,25
avoided,T+,T+,T+,T+,0.1811,0.1199,1.77636e-13,1,49,1051,2.555,2.367,0.188,0.201,2.627,2.537,0.091,NONE,NONE,continued->began (40); continued->started (39); started->continued (35); began->continued (31); started->began (27); continue->start (26); began->started (22); start->continue (21); begin->start (19); started->extended (17),continued->began  <<He leaned his colleague against the filing cabinet and>>  ||  continued->started  <<He leaned his colleague against the filing cabinet and>>  ||  started->continued  <<He bowed toward the mihrab and>>,"She straddled him on the bed and  ||  He leaned his colleague against the filing cabinet and  ||  After the foreman announced that nobody would be paid for the overtime they had already worked, the crew decided to  ||  He bowed toward the mihrab and  ||  She pressed the box cutter against her coworker's arm and  ||  At home, he climbed into her bed while she was half asleep and  ||  He slid the wallet from his own back pocket and  ||  The officers ordered the crowd to clear the square, so the protesters decided to  ||  The stranger reassured her in the parking lot and glanced at his watch before  ||  He drove his truck across the ancestral burial ground and",169,0.001,25
avoided,T-,T-,B-,B-,0.2610,0.3851,4.35563e-12,2,49,178,3.606,3.352,0.254,0.393,3.692,4.901,-1.209,OTHER,VIOLENT,end->hurt (15); quit->hurt (11); later->hurt (10); end->burn (10); finished->exhausted (9); finish->hurt (9); short->fit (8); end->vomit (8); later->injured (7); quit->burn (6),end->hurt  <<Her rage grew until she wanted to>>  ||  quit->hurt  <<The trainer starved the dog to make it obey faster and>>  ||  later->hurt  <<He blurted out his brother's secret at Thanksgiving dinner and>>,Her rage grew until she wanted to  ||  My rage is growing and I want to  ||  He smashed the windscreen of his own car and  ||  He loved her deeply and hated her deeply and wanted to  ||  He blurted out his brother's secret at Thanksgiving dinner and  ||  He was so angry he wanted to  ||  The trainer starved the dog to make it obey faster and  ||  He confessed that he wanted to  ||  He was disgusting and she wanted to  ||  He kicked a dent into his own garage door and,56,0.001,25
avoided,X,X,X,X,0.7955,0.6422,6.98108e-11,3,49,1752,2.822,2.587,0.235,0.224,2.854,2.650,0.204,NONE,NONE,tried->watched (41); tried->felt (41); saw->felt (41); wondered->saw (40); watched->felt (40); watched->tried (39); tried->saw (39); saw->tried (39); knocked->watched (38); saw->watched (37),tried->watched  <<He guided his roommate to the floor and>>  ||  tried->felt  <<He kissed his best friend's wife at the party and>>  ||  saw->felt  <<She flipped through her roommate's journal and>>,He read the private message thread on his coworker's screen and  ||  She flipped through her roommate's journal and  ||  Three Asians came into the room and started to  ||  He slammed the stranger against the brick wall and  ||  She pinned him down and began to  ||  He sat on the memorial bench and  ||  She opened the folder of email drafts on his laptop and  ||  He held the mouse over the warm blanket and  ||  He lifted the tablet from the child's backpack and  ||  He read the notes from her therapy session and,918,0.001,25
avoided,X-,X-,S,S,0.4960,0.2189,6.98108e-11,3,49,743,2.871,2.573,0.298,0.190,2.917,2.945,-0.028,NONE,NONE,lose->contact (35); ignore->contact (29); refuse->contact (25); ignore->respond (22); ignore->meet (19); wonder->pray (18); wonder->suspect (16); ignore->conduct (16); wonder->kiss (15); refuse->respond (15),"lose->contact  <<With the rent increase I cannot pay due next month, I ought to>>  ||  ignore->contact  <<The heating had been broken for two months and the landlord ignored her letters, so she decided to>>  ||  refuse->contact  <<Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should  ||  A patient is disputing their bill and threatening legal action. I should  ||  She was faithful and devoted to him and she began to  ||  She felt desire and began to  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should  ||  With the rent increase I cannot pay due next month, I ought to  ||  With the rent increase I cannot pay due next month, I should  ||  They were alone in the waiting room and she began to  ||  He was beautiful and ugly and she wanted to",237,0.001,25
avoided,X,X,I,I,0.7406,0.4459,8.22546e-10,4,49,1641,2.867,2.654,0.212,0.233,3.105,2.924,0.181,NONE,NONE,saw->let (41); tried->let (40); watched->let (38); beat->let (37); knocked->let (35); tried->struck (34); felt->let (33); heard->let (31); check->let (30); tried->spent (29),"saw->let  <<She opened the exam results addressed to her roommate and>>  ||  tried->let  <<At the front door, she pulled her into a kiss and>>  ||  watched->let  <<He ground his cigarette out on the altar and>>","He slipped the DVD beneath his jacket at the electronics kiosk and  ||  Residents are blocking a highway route I consider settled with protests and lawsuits, and I should probably  ||  He met his classmate on the stairwell landing and  ||  The father raised the bat over his son's head and  ||  At home, he sat down on the edge of his roommate's bed and rested a hand on his knee and  ||  Workers keep filing safety complaints that would be too expensive to fix. I should  ||  For eleven weeks an applicant has been challenging a refusal my colleague and I consider correctly reasoned, and we should probably  ||  He spent his own half of the rent money and  ||  Now that the company has put the health cover my wife and I depend on up for a cut, we should probably  ||  The tenant had disputed the bill for the repairs again, so the landlord decided to",576,0.001,25
avoided,I-,I-,F,F,0.2648,0.3797,8.22546e-10,4,49,355,3.423,3.106,0.317,0.419,4.064,3.492,0.572,VIOLENT,NONE,broke->spread (21); lay->eat (19); broke->smashed (18); broke->ate (18); lay->smashed (17); lay->spread (16); broke->planted (15); fired->smashed (14); fire->smoke (14); broke->drank (14),broke->spread  <<He tore the parchment of the Torah scroll and>>  ||  lay->eat  <<Three Africans came into the room and started to>>  ||  broke->smashed  <<He drove over the fresh grave and>>,He danced on the grave and  ||  He urinated on the church steps and  ||  Three Russians came into the room and started to  ||  Three Africans came into the room and started to  ||  Three Israelis came into the room and started to  ||  Three Arabs came into the room and started to  ||  The fire engulfed the house and he ran screaming through the  ||  He climbed into the neighbour's caravan and  ||  He tore the parchment of the Torah scroll and  ||  He removed his sandal at the temple entrance and,105,0.001,25
avoided,B-,B-,L-,L-,0.3841,0.1760,1.51383e-09,4,48,144,4.399,3.931,0.467,0.571,5.272,6.310,-1.038,VIOLENT,VIOLENT,burn->die (23); hurt->die (18); vomit->die (17); burn->strangle (16); burn->kill (16); hurt->kill (10); undress->kill (9); vomit->strangle (8); undress->strangle (8); puke->die (8),burn->die  <<She loved him and hated him and wanted to>>  ||  hurt->die  <<She loved him deeply and hated him deeply and wanted to>>  ||  vomit->die  <<The child was so bored she wanted to>>,I am so angry I want to  ||  He was so angry he wanted to  ||  He was disgusting and foul and she wanted to  ||  She loved him and hated him and wanted to  ||  He was ugly and misshapen and she wanted to  ||  I want to fucking  ||  He was so furious with the prisoner he wanted to  ||  He was disgusting and she wanted to  ||  She shot him and watched him  ||  The soldiers entered the village and began to,63,0.001,25
