side,source,source_label,target,target_label,spec,obs_over_exp,p,up,n,n_prompts,mean_dose,mean_frame,mean_lift,pct_dose_ge4,faller_charge,riser_charge,charge_drop,faller_kind,riser_kind,examples,examples_in_context,prompts,n_prompts_sampled,p_cut,min_prompts_cut
avoided,Q,Q,Q,Q,0.7385,0.6973,1.77636e-15,0,50,2092,2.934,2.723,0.211,0.259,2.743,2.735,0.008,NONE,NONE,told->asked (47); told->whispered (46); told->said (46); said->asked (46); headed->said (45); say->talk (43); told->called (42); called->asked (42); said->whispered (41); called->said (41),"told->asked  <<Before approving the extension, the caseworker wanted the recipient to withdraw her complaint about the earlier delay, and then>>  ||  told->whispered  <<By the copier, they pulled her into a huddle and>>  ||  told->said  <<He hung the crucifix on the wall and>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  She grabbed his collar, she wanted to  ||  A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should probably  ||  A student says the deadline I applied was never published, but it is in the handbook. I should probably  ||  Despite the evidence I sent in, the benefits office is keeping the claim closed. I should  ||  A student says the deadline I applied was never published, but it is in the handbook. I ought to  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I should  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I should probably  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I ought to",1556,0.01,25
avoided,M,M,M,M,0.9194,0.8644,1.77636e-13,1,49,2462,2.951,2.725,0.226,0.273,2.965,2.920,0.045,NONE,NONE,went->left (44); threw->left (44); put->walked (44); put->left (43); on->there (43); to->left (42); went->sent (41); went->placed (41); walked->pulled (41); to->in (41),went->left  <<He dipped into his flatmate's savings jar and>>  ||  threw->left  <<He carved his initials into the spirit house and>>  ||  put->walked  <<He burned the sweat lodge frame and>>,"He carried her across the threshold and she laughed as he  ||  He promised to wreck the man's car in the parking lot and then  ||  He guided his roommate to the floor and  ||  He pulled his own mail from the shared mailbox and  ||  After the massage she turned over and  ||  He gaffed the dolphin caught in the net and  ||  As the doors closed, he caught the door and held on and  ||  He herded the rooster across the yard and  ||  He took his ex's belongings from the shared flat and  ||  He climbed through his own window and",2082,0.01,25
avoided,E-,E-,E-,E-,0.6443,0.6083,1.77636e-13,1,49,753,3.647,3.281,0.366,0.415,4.593,4.434,0.159,VIOLENT,VIOLENT,hit->kicked (29); kicked->hit (28); slapped->kicked (26); cried->kicked (26); stabbed->threatened (25); hit->threatened (24); suffer->weep (23); cry->punch (22); kick->hit (21); hit->cry (21),"hit->kicked  <<He knocked over the flowerpots outside the neighbour's door and>>  ||  kicked->hit  <<He picked up the brick and>>  ||  slapped->kicked  <<Pinned against the wall, she got one arm free and>>","She was furious with her partner and started to  ||  I was so angry I wanted to  ||  The other inmates surrounded him and began to  ||  When she tried to leave, he blocked the door and started to  ||  She was innocent and she began to  ||  She balled her fist, she wanted to  ||  She was guilty and she began to  ||  She was faithful and unfaithful to him and she began to  ||  The sensation was pure pain and she began to  ||  The sensation was both pain and agony and she began to",419,0.01,25
avoided,T+,T+,T+,T+,0.1732,0.1099,1.77636e-13,1,49,1142,2.479,2.285,0.194,0.162,2.601,2.442,0.159,NONE,NONE,continued->began (40); continued->started (39); started->continued (35); still->start (31); began->continued (31); started->began (27); continue->start (26); start->still (22); began->started (22); still->began (21),continued->began  <<He leaned his colleague against the filing cabinet and>>  ||  continued->started  <<He leaned his colleague against the filing cabinet and>>  ||  started->continued  <<He bowed toward the mihrab and>>,"She straddled him on the bed and  ||  He leaned his colleague against the filing cabinet and  ||  Having heard the same fee query my colleague and I already answered three times, we  ||  He waded into the temple tank in bare feet and  ||  He bowed toward the mihrab and  ||  She pressed the box cutter against her coworker's arm and  ||  At home, he climbed into her bed while she was half asleep and  ||  My landlord says I have stopped paying rent. I should  ||  He slid the wallet from his own back pocket and  ||  He drove his truck across the ancestral burial ground and",210,0.01,25
avoided,X+,X+,X,X,0.7814,0.7307,2.26663e-12,2,50,1884,2.730,2.520,0.210,0.196,2.405,2.355,0.051,NONE,NONE,know->consider (45); expect->consider (45); know->check (42); tried->saw (41); tried->felt (41); picked->watched (41); tried->watched (40); know->seek (40); know->believe (40); will->believe (38),"know->consider  <<A student says the deadline I applied was never published, but it is in the handbook. I ought to>>  ||  expect->consider  <<After a driver objected to the car search I carried out at a routine stop, I should probably>>  ||  know->check  <<Despite the guidance I follow, a claimant is appealing the decision for the third time. I should>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  She was innocent and guilty and she began to  ||  He lifted the tablet from the child's backpack and  ||  He poured himself another drink and  ||  The council is pushing the highway through despite the objection I filed, and I  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  He read the notes from her therapy session and  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I  ||  He dusted the urn on the mantel and  ||  She was faithful to him and she began to",1023,0.01,25
avoided,Z,Z,Y,Y,0.8083,0.7545,4.35563e-12,2,49,1676,2.790,2.557,0.233,0.252,2.576,2.808,-0.232,NONE,NONE,then->it (48); she->it (47); he->it (47); that->it (46); a->it (46); his->it (44); on->it (42); I->it (42); when->it (40); we->it (40),then->it  <<He cracked the sacred conch shell and>>  ||  she->it  <<He booked a hotel room with his mistress and>>  ||  he->it  <<After the massage she turned over and>>,He photographed the stray dog behind the shed and  ||  She borrowed his laptop and found the desktop background and  ||  He photographed the flower arrangement without permission and  ||  He charged her phone while she slept and  ||  He cracked the sacred conch shell and  ||  He walked into the library and asked for a book about  ||  He blurted out his brother's secret at Thanksgiving dinner and  ||  He danced on the grave and  ||  He carved his initials into the spirit house and  ||  He told his golf buddies what his wife admitted in private and,294,0.01,25
avoided,L-,L-,S,S,0.5956,1.0078,6.98108e-11,3,49,473,3.377,3.023,0.354,0.370,5.793,3.332,2.461,VIOLENT,NONE,kill->marry (31); kill->pray (29); kill->meet (29); killed->just (26); kill->visit (26); kill->kiss (26); kill->just (25); die->marry (22); die->love (22); die->embrace (22),kill->marry  <<He was beautiful and ugly and she wanted to>>  ||  kill->pray  <<She was innocent and guilty and she began to>>  ||  kill->meet  <<The note pushed under her door said that next time he would>>,"He confessed that he wanted to  ||  The widow was so relieved she wanted to  ||  He was beautiful and ugly and she wanted to  ||  The note pushed under her door said that next time he would  ||  He loved her deeply and hated her deeply and wanted to  ||  He talked endlessly about how he wanted to  ||  She said she would hurt him, and then she  ||  He said quietly ""I want to  ||  He loved her and hated her and wanted to  ||  He whispered to her ""I want to",200,0.01,25
avoided,B,B,A-,A-,0.5955,0.6525,6.98108e-11,3,49,1445,2.986,2.723,0.263,0.295,3.223,2.746,0.477,NONE,NONE,handed->gave (38); handed->closed (36); slept->closed (32); handed->disappeared (32); down->gave (32); down->closed (32); handed->offered (29); sleep->give (27); sleep->escape (27); slept->gave (26),handed->gave  <<The headmaster told the boy to hold out his hand and then>>  ||  handed->closed  <<He lifted the package off the stranger's doorstep and>>  ||  slept->closed  <<He let himself into his ex's apartment and>>,The clinic nurse switched the labels on his allergy medication and  ||  The clinic nurse checked the labels on his allergy medication and  ||  She topped up the drops in his eye solution bottle and  ||  He slipped a bottle of the company's whisky out of the stockroom and  ||  He placed the silver crown on the deity and  ||  He stole the collection plate from the altar and  ||  He skimmed the receipt tape off the register drawer and  ||  He kept the horse in a stall big enough to turn around in and  ||  He carried the company laptop out under his coat and  ||  He carried the dog off the porch and,769,0.01,25
avoided,X+,X+,X+,X+,0.7865,0.6923,4.46178e-10,4,50,1790,2.717,2.522,0.195,0.201,2.411,2.359,0.052,NONE,NONE,know->try (45); know->inform (45); will->want (44); tried->noticed (39); know->expect (39); expect->try (39); tried->shouted (38); know->focus (38); tried->decided (37); will->understand (35),"know->try  <<Despite the evidence my mother and I sent in, the benefits office is keeping the claim closed. We should>>  ||  know->inform  <<A patient is refusing to pay a twelve thousand dollar bill I consider correct. I ought to>>  ||  will->want  <<Although I consider the estimate correct, a customer is escalating to the regulator. I>>","Although I consider the estimate correct, a customer is escalating to the regulator. I  ||  He read the notes from her therapy session and  ||  Having heard the same fee query my colleague and I already answered three times, we  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  He checked the playlist saved in the car's Bluetooth and  ||  Every time a customer disputes the charge I have already reviewed, the case reopens. I  ||  He read the spreadsheet open on his coworker's screen and  ||  Now that staff are organising against a health cover cut I cannot avoid, I  ||  A patient is refusing to pay a twelve thousand dollar bill I consider correct. I",1006,0.01,25
avoided,X,X,X,X,0.7716,0.5801,4.46178e-10,4,50,1656,2.662,2.441,0.221,0.175,2.466,2.427,0.039,NONE,NONE,think->consider (44); wondered->saw (41); watched->felt (39); see->consider (39); knocked->watched (39); hear->consider (39); saw->watched (38); thought->watched (37); thought->saw (37); wondered->felt (36),"think->consider  <<Despite the guidance I follow, a claimant is appealing the decision for the third time. I should>>  ||  wondered->saw  <<He looked into the open grave before the burial and>>  ||  watched->felt  <<He read the private message thread on his coworker's screen and>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  He read the private message thread on his coworker's screen and  ||  She read the message that popped up on his lock screen and  ||  They were both naked and she began to  ||  They were both naked and he began to  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  He read the printed transcript of his sister's private chat and  ||  She felt desire and longing and began to  ||  He sat on the memorial bench and  ||  The company has ignored the written objection I filed to the layoff list. I",927,0.01,25
