source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
E3-,Calm/Violent/Angry [-],S9,Religion and the supernatural,32,46,88,1.9789,2.1143,0.0113516,fine,32
E3-,Calm/Violent/Angry [-],H1c,Architecture and kinds of houses and buildings [c],16,25,14,1.8798,2.2335,0.229523,fine,32
E3-,Calm/Violent/Angry [-],I3.2,Work and employmeny: Professionalism,15,27,15,1.8737,1.7359,0.701108,fine,32
E3-,Calm/Violent/Angry [-],L2mfn,Living creatures generally [mfn],25,44,35,1.8715,1.6991,0.451381,fine,32
E3-,Calm/Violent/Angry [-],G2.1,"Crime, law and order: Law and order",36,48,189,1.8344,1.8213,0.00071727,fine,32
L1-,Life and living things [-],X2.3+,Learn [+],30,43,90,1.7962,3.1470,0.0137182,fine,32
E3-,Calm/Violent/Angry [-],P1,Education in general,35,49,132,1.7493,1.6738,0.00380165,fine,32
L1-,Life and living things [-],S6-,Obligation and necessity [-],25,40,27,1.7338,1.9420,0.15386,fine,32
E3-,Calm/Violent/Angry [-],A5.2+,Evaluation:- True/false [+],27,45,47,1.7318,2.4597,0.232693,fine,32
E3-,Calm/Violent/Angry [-],A7-,Definite (+ modals) [-],33,42,76,1.6973,2.6062,0.000271539,fine,32
E3-,Calm/Violent/Angry [-],N5+,Quantities [+],36,48,212,1.6337,2.2637,0.00071727,fine,32
E3-,Calm/Violent/Angry [-],E3+,Calm/Violent/Angry [+],39,49,238,1.6076,2.2115,3.84591e-05,fine,32
E3-,Calm/Violent/Angry [-],X2.5+,Understand [+],31,45,125,1.6071,2.0587,0.0160944,fine,32
E3-,Calm/Violent/Angry [-],N3.8,Measurement: Speed,19,29,31,1.5579,2.8354,0.136046,fine,32
L1-,Life and living things [-],O3,Electricity and electrical equipment,16,28,14,1.5575,2.5875,0.571588,fine,32
E3-,Calm/Violent/Angry [-],A1.3+,Caution [+],36,48,163,1.4936,2.5869,0.00071727,fine,32
E3-,Calm/Violent/Angry [-],I1.1,Money: Affluence,25,46,97,1.4557,1.3356,0.658738,fine,32
E3-,Calm/Violent/Angry [-],I1.3,Money: Price,32,48,88,1.4385,1.3670,0.0293049,fine,32
E3-,Calm/Violent/Angry [-],K2,Music and related activities,33,48,119,1.3903,1.8633,0.0132833,fine,32
L1-,Life and living things [-],Q1.1,"LINGUISTIC ACTIONS, STATES AND PROCESSES; COMMUNICATION",36,48,212,1.3876,2.5127,0.00071727,fine,32
E3-,Calm/Violent/Angry [-],Q3,"Language, speech and grammar",30,46,82,1.3857,1.9363,0.054076,fine,32
E3-,Calm/Violent/Angry [-],A5,Evaluation,20,32,26,1.3775,2.4548,0.215327,fine,32
L1-,Life and living things [-],Q3,"Language, speech and grammar",22,38,40,1.3725,2.4378,0.417692,fine,32
E3-,Calm/Violent/Angry [-],Q2.1,Speech etc:- Communicative,42,49,778,1.3621,1.6356,3.62458e-07,fine,32
E3-,Calm/Violent/Angry [-],X3.4+,Sensory:- Sight [+],31,45,104,1.3572,2.0027,0.0160944,fine,32
E3-,Calm/Violent/Angry [-],S1.2.4+,Politeness [+],32,47,118,1.3539,1.4754,0.0186238,fine,32
L1-,Life and living things [-],P1,Education in general,32,46,128,1.3397,2.5213,0.0113516,fine,32
E3-,Calm/Violent/Angry [-],X2.3+,Learn [+],21,34,30,1.3366,1.5617,0.229481,fine,32
E3-,Calm/Violent/Angry [-],X2.2+,Knowledge [+],28,49,232,1.3292,1.3294,0.391603,fine,32
E3-,Calm/Violent/Angry [-],T1,Time,27,45,118,1.3251,1.4058,0.232693,fine,32
L1-,Life and living things [-],M8,Remaining/stationary,29,48,282,1.3168,1.9330,0.193413,fine,32
L1-,Life and living things [-],A15+,Safety/Danger [+],35,48,72,1.3123,2.0112,0.00208811,fine,32
