source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
X,X,Q-,Q-,18,25,10,2.5331,0.5817,0.0432853,letter,32
B-,B-,C,C,35,49,95,2.2938,2.6063,0.00380165,letter,32
S+,S+,E-,E-,45,49,1145,2.0618,1.1837,8.22546e-10,letter,32
T+,T+,O-,O-,34,46,222,2.0422,0.7569,0.00164149,letter,32
S+,S+,O-,O-,36,47,222,1.9836,1.7940,0.000346001,letter,32
E,E,T+,T+,38,48,306,1.9365,1.4682,6.16964e-05,letter,32
K,K,W,W,28,48,111,1.8888,1.4370,0.312327,letter,32
F,F,L-,L-,38,49,246,1.8563,1.0812,0.000141971,letter,32
N,N,L+,L+,27,42,50,1.7714,0.9623,0.0884295,letter,32
O-,O-,F,F,30,47,103,1.7231,1.2902,0.0789407,letter,32
B-,B-,N+,N+,37,49,260,1.7062,1.8498,0.000469757,letter,32
N+,N+,E,E,35,49,303,1.6869,1.5611,0.00380165,letter,32
E-,E-,P,P,33,49,200,1.6793,1.2975,0.0212941,letter,32
N+,N+,W-,W-,23,43,24,1.6415,0.8328,0.760792,letter,32
Z,Z,L+,L+,30,48,131,1.5828,1.3423,0.111403,letter,32
T+,T+,Y,Y,42,49,1273,1.5804,0.8412,3.62458e-07,letter,32
M,M,W-,W-,33,44,35,1.5680,1.6203,0.00126003,letter,32
K,K,Y,Y,39,48,445,1.5640,1.0162,1.52218e-05,letter,32
B-,B-,T+,T+,34,49,191,1.5531,1.7320,0.00939924,letter,32
Q,Q,G+,G+,30,46,82,1.5400,1.4633,0.054076,letter,32
H,H,G-,G-,31,47,137,1.5315,1.2229,0.0399861,letter,32
T-,T-,P,P,28,49,139,1.5249,1.1692,0.391603,letter,32
Y,Y,E+,E+,34,48,737,1.5165,1.6360,0.0055152,letter,32
O-,O-,T,T,28,46,138,1.5010,0.9941,0.183925,letter,32
A,A,L,L,38,48,569,1.4931,1.3769,6.16964e-05,letter,32
S-,S-,P,P,31,48,124,1.4888,1.5151,0.0594634,letter,32
F,F,I+,I+,17,29,14,1.4796,1.4032,0.458258,letter,32
X,X,K,K,43,49,881,1.4793,1.1433,5.72777e-08,letter,32
N-,N-,E-,E-,31,48,401,1.4740,0.9590,0.0594634,letter,32
K,K,Z,Z,43,50,1065,1.4621,1.0445,2.09868e-07,letter,32
X-,X-,B-,B-,27,48,126,1.4579,0.5878,0.470879,letter,32
N+,N+,G+,G+,26,40,44,1.4472,1.8127,0.0806905,letter,32
B-,B-,E+,E+,34,49,213,1.4456,1.6057,0.00939924,letter,32
L,L,S+,S+,32,48,209,1.4391,1.9720,0.0293049,letter,32
C,C,E+,E+,34,49,355,1.4380,1.2068,0.00939924,letter,32
O-,O-,S,S,28,48,173,1.4248,1.1469,0.312327,letter,32
S-,S-,E+,E+,33,49,488,1.4230,1.2403,0.0212941,letter,32
O-,O-,X+,X+,34,48,198,1.4227,1.0434,0.0055152,letter,32
W,W,M,M,35,49,331,1.4217,1.2256,0.00380165,letter,32
N-,N-,Q,Q,37,49,779,1.4128,1.4127,0.000469757,letter,32
O-,O-,O+,O+,32,47,102,1.4087,0.8343,0.0186238,letter,32
F,F,Y,Y,33,49,541,1.4050,1.5799,0.0212941,letter,32
Z,Z,I-,I-,39,49,557,1.4043,1.6736,3.84591e-05,letter,32
I+,I+,S,S,20,37,16,1.4039,0.2125,0.742829,letter,32
X-,X-,A+,A+,39,49,1113,1.3981,0.6749,3.84591e-05,letter,32
F,F,N,N,40,49,752,1.3959,1.4324,9.26355e-06,letter,32
F,F,B-,B-,28,48,214,1.3926,1.5519,0.312327,letter,32
E+,E+,I,I,32,49,533,1.3788,1.1014,0.0443842,letter,32
N+,N+,L,L,27,48,316,1.3758,1.1266,0.470879,letter,32
E-,E-,C,C,30,48,271,1.3744,1.1714,0.111403,letter,32
I,I,E,E,33,49,223,1.3659,1.5745,0.0212941,letter,32
Z,Z,I+,I+,27,45,80,1.3501,1.1252,0.232693,letter,32
S-,S-,O-,O-,27,48,104,1.3487,1.4242,0.470879,letter,32
O-,O-,M,M,33,49,332,1.3437,0.9302,0.0212941,letter,32
L-,L-,P,P,32,46,128,1.3425,2.5213,0.0113516,letter,32
I,I,S-,S-,33,49,535,1.3367,1.3698,0.0212941,letter,32
M,M,L,L,33,49,605,1.3351,1.5314,0.0212941,letter,32
Q,Q,E,E,37,49,482,1.3332,1.6113,0.000469757,letter,32
P,P,T+,T+,33,49,188,1.3299,1.1951,0.0212941,letter,32
T+,T+,X-,X-,37,49,988,1.3267,0.9421,0.000469757,letter,32
N+,N+,I+,I+,22,41,47,1.3249,0.5519,0.755229,letter,32
H,H,B-,B-,26,46,102,1.3216,1.3656,0.461391,letter,32
E,E,O+,O+,28,47,99,1.3184,0.6567,0.24296,letter,32
N,N,E,E,32,49,263,1.3177,1.4175,0.0443842,letter,32
E,E,A,A,32,48,555,1.3159,0.7841,0.0293049,letter,32
T,T,G,G,35,49,461,1.3130,0.9511,0.00380165,letter,32
M,M,F+,F+,18,28,36,1.3111,0.0433,0.184933,letter,32
E+,E+,X+,X+,37,50,1173,1.3103,1.2137,0.000936223,letter,32
E,E,Q,Q,35,48,486,1.3099,0.8207,0.00208811,letter,32
N-,N-,X-,X-,32,48,329,1.3095,1.6238,0.0293049,letter,32
B+,B+,M,M,26,43,62,1.3056,1.5841,0.222053,letter,32
N-,N-,L-,L-,25,47,79,1.3039,0.6350,0.770867,letter,32
C,C,S+,S+,35,48,653,1.2984,1.3126,0.00208811,letter,32
G+,G+,A-,A-,25,42,32,1.2980,0.4866,0.279956,letter,32
M,M,Y,Y,37,49,1672,1.2957,1.1932,0.000469757,letter,32
G-,G-,E-,E-,30,49,329,1.2914,1.2628,0.152408,letter,32
O,O,I+,I+,25,39,42,1.2889,0.9008,0.108129,letter,32
G-,G-,Y,Y,28,48,272,1.2889,0.9734,0.312327,letter,32
B,B,X+,X+,36,49,1401,1.2847,1.4187,0.00140269,letter,32
N+,N+,S,S,37,50,1598,1.2845,1.0011,0.000936223,letter,32
O,O,F,F,32,49,745,1.2804,0.9483,0.0443842,letter,32
E-,E-,K,K,35,49,575,1.2794,1.4654,0.00380165,letter,32
Z,Z,L-,L-,34,49,551,1.2792,0.6581,0.00939924,letter,32
B-,B-,Q,Q,36,49,402,1.2792,1.3716,0.00140269,letter,32
A+,A+,S,S,43,50,2140,1.2789,1.2528,2.09868e-07,letter,32
L,L,H,H,27,48,90,1.2789,1.3163,0.470879,letter,32
L+,L+,A-,A-,29,47,128,1.2769,1.7517,0.143865,letter,32
X+,X+,B-,B-,27,49,389,1.2768,0.9576,0.568172,letter,32
K,K,G-,G-,27,49,219,1.2680,0.6890,0.568172,letter,32
K,K,N-,N-,27,48,239,1.2659,0.8091,0.470879,letter,32
C,C,E,E,27,47,146,1.2654,1.3081,0.381693,letter,32
O+,O+,L-,L-,26,47,204,1.2648,0.5708,0.560065,letter,32
H,H,E,E,27,46,112,1.2630,1.5466,0.301996,letter,32
H,H,M,M,37,50,888,1.2598,1.1792,0.000936223,letter,32
T,T,N,N,35,49,1632,1.2583,1.0189,0.00380165,letter,32
N-,N-,L,L,29,47,94,1.2559,1.2887,0.143865,letter,32
E-,E-,M,M,41,49,1478,1.2554,1.1222,1.96465e-06,letter,32
G,G,F,F,30,49,261,1.2536,1.5268,0.152408,letter,32
E+,E+,O-,O-,28,48,145,1.2532,1.1087,0.312327,letter,32
M,M,P,P,39,49,523,1.2508,1.1433,3.84591e-05,letter,32
T-,T-,X,X,35,49,1100,1.2495,1.3114,0.00380165,letter,32
M,M,F-,F-,18,34,42,1.2493,0.3685,0.864166,letter,32
T+,T+,W-,W-,14,28,13,1.2466,0.8355,1,letter,32
X+,X+,F,F,30,49,899,1.2458,0.8287,0.152408,letter,32
X,X,S+,S+,38,50,1807,1.2438,0.8702,0.000305864,letter,32
T+,T+,E+,E+,26,49,1017,1.2430,0.4966,0.77545,letter,32
T-,T-,Q,Q,43,49,1276,1.2425,1.2357,5.72777e-08,letter,32
I,I,X,X,36,49,1238,1.2376,1.4793,0.00140269,letter,32
F-,F-,Q,Q,19,32,35,1.2358,1.5160,0.377086,letter,32
N,N,O+,O+,32,49,1093,1.2357,1.0550,0.0443842,letter,32
K,K,A-,A-,33,49,886,1.2351,0.8655,0.0212941,letter,32
A-,A-,G-,G-,34,49,573,1.2335,0.6771,0.00939924,letter,32
O-,O-,G,G,26,46,44,1.2327,0.7708,0.461391,letter,32
O-,O-,N+,N+,28,47,181,1.2322,0.9350,0.24296,letter,32
A-,A-,F-,F-,16,31,29,1.2319,0.0000,1,letter,32
S-,S-,E-,E-,33,49,543,1.2318,1.0165,0.0212941,letter,32
X-,X-,T,T,31,48,699,1.2312,0.5310,0.0594634,letter,32
K,K,O-,O-,28,47,92,1.2302,0.8404,0.24296,letter,32
E-,E-,T+,T+,33,49,970,1.2297,1.4552,0.0212941,letter,32
O+,O+,A+,A+,35,49,1471,1.2273,1.3337,0.00380165,letter,32
Q,Q,I+,I+,25,42,81,1.2237,1.0340,0.279956,letter,32
