source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
X,X,Q-,Q-,23,31,17,2.6602,1.4936,0.0106738,letter,32
S+,S+,E-,E-,45,49,1356,2.1557,1.4405,8.22546e-10,letter,32
S+,S+,O-,O-,36,47,235,2.1359,2.1355,0.000346001,letter,32
H,H,L-,L-,39,48,276,2.1178,1.1284,1.52218e-05,letter,32
B-,B-,C,C,30,47,91,1.9428,1.7738,0.0789407,letter,32
T+,T+,O-,O-,30,48,197,1.8525,0.9274,0.111403,letter,32
O-,O-,F,F,36,47,129,1.8493,1.4059,0.000346001,letter,32
O-,O-,X+,X+,40,48,225,1.7665,1.2938,3.30527e-06,letter,32
O-,O-,P,P,28,44,49,1.7431,1.5034,0.0961418,letter,32
X-,X-,B-,B-,33,48,177,1.7003,1.0489,0.0132833,letter,32
H,H,G-,G-,37,48,367,1.6839,1.5032,0.000222245,letter,32
O-,O-,N+,N+,33,47,186,1.6568,1.3921,0.00794273,letter,32
K,K,G+,G+,24,43,33,1.6197,1.4794,0.542384,letter,32
Z,Z,B+,B+,26,44,45,1.6196,0.7704,0.291215,letter,32
N-,N-,X-,X-,34,48,627,1.6121,1.8152,0.0055152,letter,32
L+,L+,G-,G-,28,44,59,1.5953,1.9052,0.0961418,letter,32
Q,Q,I+,I+,28,44,87,1.5731,1.0940,0.0961418,letter,32
X-,X-,T,T,32,49,457,1.5497,0.7637,0.0443842,letter,32
O-,O-,M,M,36,49,309,1.5375,1.1916,0.00140269,letter,32
P,P,W,W,26,44,53,1.5337,1.4479,0.291215,letter,32
C,C,X-,X-,28,48,350,1.5315,1.9565,0.312327,letter,32
O-,O-,T,T,30,48,119,1.5291,1.3922,0.111403,letter,32
A+,A+,Q-,Q-,17,27,14,1.5167,0.1026,0.247789,letter,32
X-,X-,L-,L-,30,49,157,1.5146,0.3249,0.152408,letter,32
T-,T-,P,P,27,49,138,1.5068,1.1037,0.568172,letter,32
E-,E-,P,P,30,49,305,1.5038,1.4536,0.152408,letter,32
T,T,N+,N+,40,50,856,1.4976,1.4034,2.38613e-05,letter,32
E+,E+,O-,O-,27,48,144,1.4921,1.3985,0.470879,letter,32
Q-,Q-,A+,A+,16,25,11,1.4903,0.0000,0.229523,letter,32
N-,N-,Q,Q,41,49,1121,1.4852,1.3217,1.96465e-06,letter,32
X+,X+,Q-,Q-,16,26,15,1.4821,0.5809,0.32694,letter,32
K,K,I,I,41,48,697,1.4666,1.0378,6.24041e-07,letter,32
E-,E-,Y,Y,26,45,619,1.4530,1.3307,0.371298,letter,32
E,E,X-,X-,36,48,198,1.4442,2.8104,0.00071727,letter,32
C,C,E+,E+,36,49,307,1.4399,1.3857,0.00140269,letter,32
S-,S-,O-,O-,33,48,138,1.4371,1.7525,0.0132833,letter,32
K,K,E,E,26,46,78,1.4260,0.7256,0.461391,letter,32
E,E,Q,Q,41,48,265,1.4146,2.0690,6.24041e-07,letter,32
B-,B-,N+,N+,35,49,382,1.4143,1.3644,0.00380165,letter,32
A-,A-,B+,B+,25,44,38,1.3893,0.3152,0.451381,letter,32
X-,X-,L,L,28,49,151,1.3848,0.7637,0.391603,letter,32
A,A,L,L,35,48,642,1.3837,1.6477,0.00208811,letter,32
N-,N-,E-,E-,33,48,779,1.3814,0.9761,0.0132833,letter,32
N-,N-,L-,L-,29,46,159,1.3775,0.5206,0.103805,letter,32
X-,X-,W,W,27,47,148,1.3717,0.6109,0.381693,letter,32
A+,A+,E-,E-,45,49,1744,1.3642,1.0301,8.22546e-10,letter,32
B-,B-,Q,Q,42,49,488,1.3638,1.6945,3.62458e-07,letter,32
F,F,L-,L-,35,49,250,1.3599,0.7223,0.00380165,letter,32
Z,Z,Y,Y,34,48,799,1.3551,1.2519,0.0055152,letter,32
E,E,I,I,32,47,163,1.3549,1.2824,0.0186238,letter,32
B+,B+,M,M,26,45,62,1.3444,1.3972,0.371298,letter,32
X-,X-,Z,Z,33,49,915,1.3420,0.7244,0.0212941,letter,32
T,T,N,N,29,48,645,1.3382,1.3027,0.193413,letter,32
G-,G-,E-,E-,31,49,495,1.3325,1.4452,0.0854331,letter,32
O,O,F,F,35,49,994,1.3289,1.0822,0.00380165,letter,32
L+,L+,A-,A-,33,46,146,1.3270,1.9210,0.00453386,letter,32
E,E,O+,O+,26,46,81,1.3247,1.1206,0.461391,letter,32
G,G,N-,N-,34,48,355,1.3231,1.9939,0.0055152,letter,32
K,K,G-,G-,31,49,242,1.3228,0.7355,0.0854331,letter,32
X-,X-,N,N,32,48,678,1.3220,0.7255,0.0293049,letter,32
L,L,T+,T+,31,48,205,1.3141,1.5626,0.0594634,letter,32
W,W,Q,Q,35,49,499,1.3138,1.4583,0.00380165,letter,32
E+,E+,X+,X+,38,49,1075,1.3076,1.2347,0.000141971,letter,32
P,P,T+,T+,33,48,242,1.3069,1.3454,0.0132833,letter,32
O-,O-,S,S,29,48,193,1.3055,1.2297,0.193413,letter,32
Y,Y,X,X,31,48,108,1.3053,1.2415,0.0594634,letter,32
T+,T+,I-,I-,33,49,566,1.3038,0.9835,0.0212941,letter,32
E,E,O-,O-,27,42,44,1.3021,1.4590,0.0884295,letter,32
X,X,K,K,37,49,925,1.2983,1.0606,0.000469757,letter,32
K,K,G,G,29,49,319,1.2964,0.8390,0.25287,letter,32
K,K,A+,A+,36,49,954,1.2948,0.9390,0.00140269,letter,32
S,S,Q-,Q-,15,27,17,1.2869,2.0830,0.701108,letter,32
L-,L-,Q,Q,42,49,686,1.2770,2.7014,3.62458e-07,letter,32
G,G,X+,X+,35,49,843,1.2726,2.0418,0.00380165,letter,32
L-,L-,P,P,30,46,138,1.2714,2.5688,0.054076,letter,32
K,K,W,W,28,48,181,1.2669,0.8073,0.312327,letter,32
K,K,Y,Y,23,45,198,1.2661,1.0092,1,letter,32
O-,O-,G,G,27,49,101,1.2657,0.8669,0.568172,letter,32
F,F,X,X,40,49,935,1.2654,1.7990,9.26355e-06,letter,32
E,E,E-,E-,27,47,198,1.2639,1.1616,0.381693,letter,32
B,B,L-,L-,30,49,399,1.2626,0.7297,0.152408,letter,32
X+,X+,K,K,40,49,1011,1.2625,1.0535,9.26355e-06,letter,32
Z,Z,E,E,28,47,141,1.2623,1.0235,0.24296,letter,32
