source,source_label,target,target_label,up,n,n_prompts,spec,obs_over_exp,p,grain,perm
E3-,Calm/Violent/Angry [-],T3,"Time: Old, new and young; age",18,34,11,2.2952,2.4859,0.864166,fine,32
E3-,Calm/Violent/Angry [-],A7-,Definite (+ modals) [-],34,43,83,2.2880,2.7041,0.000170155,fine,32
L1-,Life and living things [-],S6-,Obligation and necessity [-],26,40,27,1.9218,1.6880,0.0806905,fine,32
E3-,Calm/Violent/Angry [-],G2.1,"Crime, law and order: Law and order",35,49,223,1.7676,1.7603,0.00380165,fine,32
E3-,Calm/Violent/Angry [-],N3.8,Measurement: Speed,30,37,48,1.7425,2.5356,0.000191076,fine,32
E3-,Calm/Violent/Angry [-],S7.3+,Competition [+],20,34,11,1.7329,1.1643,0.391528,fine,32
E3-,Calm/Violent/Angry [-],Q3,"Language, speech and grammar",36,48,169,1.7324,1.7666,0.00071727,fine,32
E3-,Calm/Violent/Angry [-],S9,Religion and the supernatural,36,48,218,1.7086,2.2057,0.00071727,fine,32
E3-,Calm/Violent/Angry [-],X4.1,Mental object:- Conceptual object,35,47,218,1.6952,2.0537,0.00108854,fine,32
E3-,Calm/Violent/Angry [-],E3+,Calm/Violent/Angry [+],39,49,273,1.6309,2.1398,3.84591e-05,fine,32
E3-,Calm/Violent/Angry [-],N5+,Quantities [+],38,48,363,1.6225,1.8112,6.16964e-05,fine,32
E3-,Calm/Violent/Angry [-],I3.2,Work and employmeny: Professionalism,19,33,21,1.6224,1.2236,0.48685,fine,32
E3-,Calm/Violent/Angry [-],A1.3+,Caution [+],37,48,180,1.6083,2.3944,0.000222245,fine,32
L1-,Life and living things [-],X2.3+,Learn [+],34,44,92,1.5990,2.9553,0.000388131,fine,32
E3-,Calm/Violent/Angry [-],T1,Time,34,47,181,1.5597,1.3614,0.00308768,fine,32
L1-,Life and living things [-],A4.2+,Particular/general; detail [+],38,47,149,1.5442,2.9423,2.4904e-05,fine,32
E3-,Calm/Violent/Angry [-],A5.2+,Evaluation:- True/false [+],29,45,52,1.5392,2.3338,0.0724543,fine,32
E3-,Calm/Violent/Angry [-],Z1mf,Personal names [mf],32,49,243,1.4948,1.1170,0.0443842,fine,32
E3-,Calm/Violent/Angry [-],X2.3+,Learn [+],20,37,35,1.4860,1.4136,0.742829,fine,32
E3-,Calm/Violent/Angry [-],X2.5+,Understand [+],32,45,139,1.4696,1.9124,0.00660882,fine,32
E3-,Calm/Violent/Angry [-],A2.1,"Affect:- Modify, change",34,48,418,1.4590,1.8191,0.0055152,fine,32
E3-,Calm/Violent/Angry [-],A4.1,"Generally kinds, groups, examples",33,49,300,1.4434,1.8459,0.0212941,fine,32
E3-,Calm/Violent/Angry [-],I1.1,Money: Affluence,34,47,198,1.4338,1.4953,0.00308768,fine,32
E3-,Calm/Violent/Angry [-],E4.2+,Happy/sad: Contentment [+],26,42,49,1.4337,1.5206,0.164149,fine,32
L1-,Life and living things [-],N3.8+fn,Measurement: Speed [+fn],31,43,51,1.4193,3.2904,0.00540157,fine,32
L1-,Life and living things [-],E4.1+,Happy/sad: Happy [+],32,46,178,1.4184,2.2476,0.0113516,fine,32
E3-,Calm/Violent/Angry [-],T3-,"Time: Old, new and young; age [-]",32,48,56,1.3970,1.5112,0.0293049,fine,32
