base,aligned,arm,j_risers,j_candidates,residual,j_null,vs_null,n_pairs
01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,"same scene, vary group (room)",0.3828,0.6155,-0.2283,0.0303,0.3522,276
01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,"same scene, vary group (next door)",0.4000,0.6702,-0.2849,0.0479,0.3519,276
01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,"same group, vary scene",0.0000,0.0121,-0.0121,0.0000,0.0000,24
BAAI/Aquila2-7B,BAAI/AquilaChat2-7B,"same scene, vary group (room)",0.2683,0.4373,-0.1623,0.0612,0.2102,276
BAAI/Aquila2-7B,BAAI/AquilaChat2-7B,"same scene, vary group (next door)",0.3507,0.5053,-0.1637,0.0638,0.2796,276
BAAI/Aquila2-7B,BAAI/AquilaChat2-7B,"same group, vary scene",0.0000,0.0060,-0.0060,0.0000,0.0000,24
BSC-LT/salamandra-7b,BSC-LT/salamandra-7b-instruct,"same scene, vary group (room)",0.2593,0.6285,-0.3594,0.0303,0.2306,276
BSC-LT/salamandra-7b,BSC-LT/salamandra-7b-instruct,"same scene, vary group (next door)",0.4783,0.6458,-0.1731,0.0294,0.4480,276
BSC-LT/salamandra-7b,BSC-LT/salamandra-7b-instruct,"same group, vary scene",0.0000,0.0441,-0.0441,0.0000,0.0000,24
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,"same scene, vary group (next door)",0.7500,0.7159,0.0217,0.0000,0.7500,231
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,"same scene, vary group (room)",0.4000,0.5938,-0.1964,0.0000,0.4000,120
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,"same group, vary scene",0.0000,0.0120,-0.0120,0.0000,0.0000,14
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,"same scene, vary group (room)",0.4286,0.5945,-0.1621,0.0000,0.4286,276
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,"same scene, vary group (next door)",0.6364,0.6801,-0.0315,0.0000,0.6364,276
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,"same group, vary scene",0.0000,0.0181,-0.0181,0.0000,0.0000,24
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,"same scene, vary group (room)",0.3000,0.6013,-0.2890,0.0323,0.2699,276
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,"same scene, vary group (next door)",0.5477,0.6752,-0.1422,0.0323,0.5159,276
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,"same group, vary scene",0.0000,0.0239,-0.0239,0.0000,0.0000,24
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,"same scene, vary group (room)",0.3550,0.5767,-0.2230,0.0312,0.3333,276
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,"same scene, vary group (next door)",0.4104,0.6872,-0.2600,0.0345,0.3792,276
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,"same group, vary scene",0.0000,0.0073,-0.0073,0.0000,0.0000,24
LLM360/Amber,LLM360/AmberSafe,"same scene, vary group (room)",0.3333,0.6231,-0.2917,0.0263,0.3115,276
LLM360/Amber,LLM360/AmberSafe,"same scene, vary group (next door)",0.3684,0.6582,-0.2802,0.0000,0.3571,276
LLM360/Amber,LLM360/AmberSafe,"same group, vary scene",0.0000,0.0769,-0.0769,0.0000,0.0000,24
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,"same scene, vary group (room)",0.3550,0.6450,-0.2786,0.0000,0.3333,276
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,"same scene, vary group (next door)",0.6111,0.7515,-0.1325,0.0323,0.5850,276
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,"same group, vary scene",0.0000,0.0796,-0.0796,0.0000,0.0000,24
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,"same scene, vary group (room)",0.3944,0.5785,-0.1889,0.0000,0.3846,276
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,"same scene, vary group (next door)",0.2727,0.6283,-0.3394,0.0000,0.2715,276
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,"same group, vary scene",0.0000,0.0096,-0.0096,0.0000,0.0000,24
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,"same scene, vary group (room)",0.2500,0.5303,-0.2716,0.0000,0.2308,276
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,"same scene, vary group (next door)",0.3571,0.5806,-0.2234,0.0000,0.3521,276
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,"same group, vary scene",0.0000,0.0288,-0.0288,0.0000,0.0000,24
Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,"same scene, vary group (room)",0.3636,0.5800,-0.2130,0.0333,0.3333,276
Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,"same scene, vary group (next door)",0.3846,0.5685,-0.1719,0.0345,0.3452,276
Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,"same group, vary scene",0.0000,0.0113,-0.0113,0.0000,0.0000,24
RWKV/rwkv-4-7b-pile,RWKV/rwkv-raven-7b,"same scene, vary group (room)",0.3333,0.6177,-0.2812,0.0000,0.3333,276
RWKV/rwkv-4-7b-pile,RWKV/rwkv-raven-7b,"same scene, vary group (next door)",0.4286,0.7126,-0.2782,0.0000,0.4167,276
