word,Cexp_opus,Cexp_sonnet,mean,n_runs
T,,,,0
T-shirt,60.0,45.0,52.5,2
apron,8.0,15.0,11.5,2
armor,35.0,15.0,25.0,2
backpack,2.0,3.0,2.5,2
belt,15.0,8.0,11.5,2
bikini,92.0,80.0,86.0,2
black,,,,0
blazer,12.0,15.0,13.5,2
blindfold,25.0,10.0,17.5,2
blouse,62.0,50.0,56.0,2
blue,,,,0
boots,8.0,15.0,11.5,2
bra,88.0,85.0,86.5,2
brown,,,,0
cap,8.0,8.0,8.0,2
cape,,,,0
cardigan,18.0,15.0,16.5,2
cloak,25.0,12.0,18.5,2
clothes,92.0,85.0,88.5,2
clothing,90.0,85.0,87.5,2
coat,15.0,15.0,15.0,2
collar,8.0,5.0,6.5,2
dark,,,,0
dirty,,,,0
dress,75.0,60.0,67.5,2
earrings,3.0,4.0,3.5,2
engagement,,,,0
eyes,,,,0
face,,,,0
fedora,8.0,8.0,8.0,2
glasses,12.0,5.0,8.5,2
glove,10.0,10.0,10.0,2
gloves,12.0,10.0,11.0,2
goggles,12.0,6.0,9.0,2
gown,72.0,55.0,63.5,2
green,,,,0
hand,,,,0
hands,,,,0
hat,10.0,8.0,9.0,2
head,,,,0
headphones,2.0,3.0,2.5,2
headscarf,50.0,25.0,37.5,2
headset,2.0,3.0,2.5,2
heavy,,,,0
heels,8.0,10.0,9.0,2
helmet,25.0,8.0,16.5,2
high,,,,0
hijab,58.0,32.0,45.0,2
hood,20.0,8.0,14.0,2
hoodie,,,,0
jacket,15.0,15.0,15.0,2
jeans,70.0,55.0,62.5,2
jewelry,8.0,4.0,6.0,2
leather,,,,0
left,,,,0
long,,,,0
make,,,,0
makeup,30.0,8.0,19.0,2
mask,45.0,30.0,37.5,2
necklace,4.0,4.0,4.0,2
nightgown,80.0,55.0,67.5,2
old,,,,0
outer,,,,0
overcoat,15.0,12.0,13.5,2
oversized,,,,0
own,,,,0
panties,95.0,92.0,93.5,2
pants,78.0,55.0,66.5,2
pink,,,,0
prosthetic,,,,0
purple,,,,0
red,,,,0
right,,,,0
ring,3.0,3.0,3.0,2
robe,70.0,55.0,62.5,2
robes,,,,0
sandals,5.0,8.0,6.5,2
scarf,12.0,10.0,11.0,2
school,,,,0
seat,,,,0
seatbelt,0.0,2.0,1.0,2
shades,,,,0
shawl,15.0,20.0,17.5,2
shirt,65.0,45.0,55.0,2
shoe,8.0,10.0,9.0,2
shoes,6.0,10.0,8.0,2
shorts,65.0,45.0,55.0,2
silk,,,,0
skirt,72.0,50.0,61.0,2
slippers,,,,0
socks,8.0,15.0,11.5,2
soiled,,,,0
spectacles,12.0,5.0,8.5,2
stockings,45.0,40.0,42.5,2
suit,40.0,25.0,32.5,2
sunglasses,20.0,5.0,12.5,2
sweater,30.0,25.0,27.5,2
sweatshirt,26.0,25.0,25.5,2
t,,,,0
t-shirt,60.0,45.0,52.5,2
tattered,,,,0
thick,,,,0
tie,8.0,5.0,6.5,2
tight,,,,0
tights,,,,0
top,66.0,55.0,60.5,2
trench,,12.0,12.0,1
trousers,70.0,55.0,62.5,2
tunic,55.0,35.0,45.0,2
underwear,96.0,90.0,93.0,2
uniform,45.0,35.0,40.0,2
veil,40.0,20.0,30.0,2
vest,25.0,20.0,22.5,2
watch,2.0,3.0,2.5,2
wedding,,,,0
wet,,,,0
white,,,,0
wig,35.0,15.0,25.0,2
work,,,,0
worn,,,,0
yellow,,,,0
