scene,prompt,word,n_rise,n_fall,net,n_carriers,median_delta_pp,mean_delta_pp,net_mass,scale,out,n_lineages
tookoff,She slowly took off her,shoes,35,15,20,50,+2.65005,+3.52756,+1.76378,B,-29.0,50
tookoff,She slowly took off her,glasses,34,16,18,50,+1.09189,+2.47283,+1.23642,B,-36.0,50
tookoff,She slowly took off her,headphones,29,15,14,44,+0.08458,+0.22525,+0.09911,B,-29.0,50
tookoff,She slowly took off her,seatbelt,18,4,14,22,+0.11463,+0.12906,+0.02839,B,-21.5,50
tookoff,She slowly took off her,coat,30,20,10,50,+0.75536,+0.33738,+0.16869,B,-32.5,50
tookoff,She slowly took off her,jewelry,22,13,9,35,+0.01436,+0.01167,+0.00409,B,-55.0,50
tookoff,She slowly took off her,boots,29,21,8,50,+0.09181,+0.36448,+0.18224,B,-27.5,50
tookoff,She slowly took off her,engagement,10,2,8,12,+0.06528,+0.12751,+0.01530,B,,50
tookoff,She slowly took off her,headset,12,5,7,17,+0.05443,+0.10296,+0.01750,B,,50
tookoff,She slowly took off her,rings,11,4,7,15,+0.09071,+0.09321,+0.01398,B,,50
tookoff,She slowly took off her,mittens,6,0,6,6,+0.02637,+0.02890,+0.00173,B,,50
tookoff,She slowly took off her,oversized,11,5,6,16,+0.08698,+0.07050,+0.01128,B,,50
tookoff,She slowly took off her,worn,9,3,6,12,+0.07764,+0.09673,+0.01161,B,,50
tookoff,She slowly took off her,prosthetic,6,0,6,6,+0.13048,+0.21144,+0.01269,B,,50
tookoff,She slowly took off her,layers,6,1,5,7,+0.06692,+0.04415,+0.00309,B,,50
tookoff,She slowly took off her,ragged,5,0,5,5,+0.06883,+0.06289,+0.00314,B,,50
tookoff,She slowly took off her,tattered,10,5,5,15,+0.12828,+0.09815,+0.01472,B,,50
tookoff,She slowly took off her,elegant,4,0,4,4,+0.05711,+0.06297,+0.00252,B,,50
tookoff,She slowly took off her,gloves,27,23,4,50,+0.32120,+0.80007,+0.40003,B,-46.5,50
tookoff,She slowly took off her,golden,5,1,4,6,+0.02581,+0.06945,+0.00417,B,,50
tookoff,She slowly took off her,jacket,27,23,4,50,+0.10959,+0.36863,+0.18431,B,-37.5,50
tookoff,She slowly took off her,sneakers,18,14,4,32,+0.00977,+0.01137,+0.00364,B,,50
tookoff,She slowly took off her,sweatpants,5,1,4,6,+0.06455,+0.59210,+0.03553,B,,50
tookoff,She slowly took off her,torn,6,2,4,8,+0.02335,+0.05721,+0.00458,B,,50
tookoff,She slowly took off her,outerwear,6,2,4,8,+0.04110,+0.05857,+0.00469,B,,50
tookoff,She slowly took off her,swimsuit,8,4,4,12,+0.01611,+0.01563,+0.00188,B,,50
tookoff,She slowly took off her,muddy,4,0,4,4,+0.13348,+0.12557,+0.00502,B,,50
tookoff,She slowly took off her,orange,4,0,4,4,+0.06872,+0.07332,+0.00293,B,,50
tookoff,She slowly took off her,evening,4,0,4,4,+0.17451,+0.18425,+0.00737,B,,50
tookoff,She slowly took off her,remaining,3,0,3,3,+0.03396,+0.03711,+0.00111,B,,50
tookoff,She slowly took off her,silver,12,9,3,21,+0.01843,+0.03198,+0.00672,B,,50
tookoff,She slowly took off her,soaked,4,1,3,5,+0.00969,+0.05705,+0.00285,B,,50
tookoff,She slowly took off her,sports,4,1,3,5,+0.04519,+0.04404,+0.00220,B,,50
tookoff,She slowly took off her,slacks,4,1,3,5,+0.08563,+0.06535,+0.00327,B,,50
tookoff,She slowly took off her,high-heeled,4,1,3,5,+0.05099,+0.09290,+0.00465,B,,50
tookoff,She slowly took off her,latex,4,1,3,5,+0.03537,+0.03841,+0.00192,B,,50
tookoff,She slowly took off her,handkerchief,5,2,3,7,+0.06306,+0.11559,+0.00809,B,,50
tookoff,She slowly took off her,expensive,3,0,3,3,+0.07074,+0.07350,+0.00221,B,,50
tookoff,She slowly took off her,ruby,3,0,3,3,+0.06739,+0.06028,+0.00181,B,,50
tookoff,She slowly took off her,upper,3,0,3,3,+0.03701,+0.04112,+0.00123,B,,50
tookoff,She slowly took off her,blazer,16,14,2,30,+0.00796,+0.05101,+0.01530,B,-41.5,50
tookoff,She slowly took off her,high-he,4,2,2,6,+0.00000,+0.00000,+0.00000,B,,50
tookoff,She slowly took off her,m,8,6,2,14,+0.00001,-0.00020,-0.00003,B,,50
tookoff,She slowly took off her,ring,24,22,2,46,+0.00432,+0.07808,+0.03592,B,-47.5,50
tookoff,She slowly took off her,soaking,3,1,2,4,+0.05171,+0.08824,+0.00353,B,,50
tookoff,She slowly took off her,worn-out,2,0,2,2,+0.09526,+0.09526,+0.00191,B,,50
tookoff,She slowly took off her,thong,5,3,2,8,+0.05806,+0.04748,+0.00380,B,,50
tookoff,She slowly took off her,lace,4,2,2,6,+0.04194,+0.03254,+0.00195,B,,50
tookoff,She slowly took off her,shades,4,2,2,6,+0.04339,+0.07036,+0.00422,B,,50
tookoff,She slowly took off her,shirts,2,0,2,2,+0.07615,+0.07615,+0.00152,B,,50
tookoff,She slowly took off her,small,4,2,2,6,+0.02400,+0.01620,+0.00097,B,,50
tookoff,She slowly took off her,tiny,3,1,2,4,+0.06768,+0.03887,+0.00155,B,,50
tookoff,She slowly took off her,fingers,2,0,2,2,+0.03419,+0.03419,+0.00068,B,,50
tookoff,She slowly took off her,foot,3,1,2,4,+0.00931,+0.01408,+0.00056,B,,50
tookoff,She slowly took off her,handbag,4,2,2,6,+0.03331,+0.11441,+0.00686,B,,50
tookoff,She slowly took off her,handker,5,3,2,8,+0.00001,-0.00028,-0.00002,B,,50
tookoff,She slowly took off her,phone,3,1,2,4,+0.10432,+0.09712,+0.00388,B,,50
tookoff,She slowly took off her,heeled,2,0,2,2,+0.08682,+0.08682,+0.00174,B,,50
tookoff,She slowly took off her,reading,2,0,2,2,+0.06790,+0.06790,+0.00136,B,,50
tookoff,She slowly took off her,lavender,2,0,2,2,+0.05041,+0.05041,+0.00101,B,,50
tookoff,She slowly took off her,loose,2,0,2,2,+0.03050,+0.03050,+0.00061,B,,50
tookoff,She slowly took off her,sweaty,4,2,2,6,+0.02970,+0.01792,+0.00108,B,,50
tookoff,She slowly took off her,wristwatch,2,0,2,2,+0.12867,+0.12867,+0.00257,B,,50
tookoff,She slowly took off her,bow,2,0,2,2,+0.03589,+0.03589,+0.00072,B,,50
tookoff,She slowly took off her,business,2,0,2,2,+0.10549,+0.10549,+0.00211,B,,50
tookoff,She slowly took off her,makeshift,2,0,2,2,+0.12150,+0.12150,+0.00243,B,,50
tookoff,She slowly took off her,prost,3,1,2,4,+0.00000,+0.00000,+0.00000,B,,50
tookoff,She slowly took off her,fedora,2,0,2,2,+0.45365,+0.45365,+0.00907,B,-31.0,50
tookoff,She slowly took off her,locket,2,0,2,2,+0.12975,+0.12975,+0.00260,B,,50
tookoff,She slowly took off her,hard,2,0,2,2,+0.07011,+0.07011,+0.00140,B,,50
tookoff,She slowly took off her,hospital,2,0,2,2,+0.11581,+0.11581,+0.00232,B,,50
tookoff,She slowly took off her,turquoise,2,0,2,2,+0.08236,+0.08236,+0.00165,B,,50
tookoff,She slowly took off her,woolen,2,0,2,2,+0.07502,+0.07502,+0.00150,B,,50
tookoff,She slowly took off her,__________,2,0,2,2,+0.03220,+0.03220,+0.00064,B,,50
tookoff,She slowly took off her,choker,2,0,2,2,+0.14507,+0.14507,+0.00290,B,,50
tookoff,She slowly took off her,fingerless,2,0,2,2,+0.13162,+0.13162,+0.00263,B,,50
tookoff,She slowly took off her,nightshirt,2,0,2,2,+0.11717,+0.11717,+0.00234,B,,50
tookoff,She slowly took off her,slipper,2,0,2,2,+0.04529,+0.04529,+0.00091,B,,50
tookoff,She slowly took off her,bright,5,4,1,9,+0.03851,+0.03543,+0.00319,B,,50
tookoff,She slowly took off her,disguise,7,6,1,13,+0.01923,+0.03282,+0.00427,B,,50
tookoff,She slowly took off her,necklace,22,21,1,43,+0.00432,+0.02767,+0.01190,B,-55.0,50
tookoff,She slowly took off her,protective,4,3,1,7,+0.01813,+0.00662,+0.00046,B,,50
tookoff,She slowly took off her,fl,8,7,1,15,+0.00000,+0.00077,+0.00012,B,,50
tookoff,She slowly took off her,tiara,2,1,1,3,+0.11245,+0.16010,+0.00480,B,,50
tookoff,She slowly took off her,wrist,3,2,1,5,+0.00680,+0.01552,+0.00078,B,,50
tookoff,She slowly took off her,br,2,1,1,3,+0.00057,+0.00048,+0.00001,B,,50
tookoff,She slowly took off her,nightie,2,1,1,3,+0.07115,+0.05865,+0.00176,B,,50
tookoff,She slowly took off her,sare,2,1,1,3,+0.00001,-0.00001,-0.00000,B,,50
tookoff,She slowly took off her,beret,2,1,1,3,+0.06736,+0.06401,+0.00192,B,,50
