table,target,n_covering,n_significant,families,agree_sign,cross_family,robust,unanimous,mean_slope,direction,lexical_slope,slot_slope,v6_harm_slope,lift_slope,lexical_p,slot_p,v6_harm_p,lift_p
levels,k_bodily_harm_z,4,4,3,1,1,1,1,-0.1422704782812929,fall,-0.2163569630866316,-0.10490932439566966,-0.19074052991311627,-0.05707509572975415,2.098677427397888e-07,0.015346677832630107,0.006600447966810918,2.3861331676755526e-05
levels,k_bodily_harm_absz,4,4,3,1,1,1,1,-0.13072735285091852,fall,-0.2011544216346371,-0.09807882168839639,-0.17172660665971234,-0.05194956142092827,2.098677427397888e-07,0.015346677832630107,0.006600447966810918,2.3861331676755526e-05
levels,k_bodily_harm,4,4,3,1,1,1,1,-0.12297629602057189,fall,-0.1870154529602927,-0.09068192001640574,-0.16487302322368458,-0.04933478788190455,2.098677427397888e-07,0.015346677832630107,0.006600447966810918,2.3861331676755526e-05
levels,k_transgressiveness_z,4,4,3,1,1,1,1,-0.10529257579580695,fall,-0.15281570617493356,-0.11357998290563939,-0.11295719067491375,-0.04181742342774108,3.243740565039843e-08,2.3861331676755526e-05,2.3861331676755526e-05,2.098677427397888e-07
levels,k_transgressiveness_absz,4,4,3,1,1,1,1,-0.0906661225372216,fall,-0.13447008183621628,-0.09402193893755026,-0.09662276308856946,-0.03754970628655039,3.243740565039843e-08,2.3861331676755526e-05,2.3861331676755526e-05,2.098677427397888e-07
levels,k_charge,4,4,3,1,1,1,1,-0.07359299007671913,fall,-0.0961122145796192,-0.08328224400695808,-0.08185611930222647,-0.03312138241807275,2.3861331676755526e-05,9.021490107130603e-05,0.015346677832630107,9.021490107130603e-05
levels,warriner_valence,4,4,3,1,1,1,1,0.06592623011628357,rise,0.10794197710551157,0.05663940070559175,0.06706088461233557,0.032062658041695405,9.021490107130603e-05,0.006600447966810918,0.015346677832630107,9.021490107130603e-05
levels,k_charge_z,4,4,3,1,1,1,1,-0.0639051927830069,fall,-0.08345998165191171,-0.0723189512087744,-0.07108056187178093,-0.028761276399560533,2.3861331676755526e-05,9.021490107130603e-05,0.015346677832630107,9.021490107130603e-05
levels,warriner_arousal_z,4,4,3,1,1,1,1,-0.05603709725440558,fall,-0.08327867235889673,-0.06154460383566875,-0.045004668469201,-0.034320444353855846,9.021490107130603e-05,0.0026021714567221466,0.032839137564268484,0.00030586400160359517
levels,warriner_valence_z,4,4,3,1,1,1,1,0.05202986062538879,rise,0.08518924886987428,0.044700570917213536,0.05292534509618939,0.02530427761827794,9.021490107130603e-05,0.006600447966810918,0.015346677832630107,9.021490107130603e-05
levels,warriner_arousal_absz,4,4,3,1,1,1,1,-0.05167757818170214,fall,-0.07392626848231204,-0.04907234668437509,-0.06141059508343174,-0.02230110247668972,2.098677427397888e-07,2.3861331676755526e-05,0.006600447966810918,3.243740565039843e-08
levels,warriner_arousal,4,4,3,1,1,1,1,-0.05085929857104906,fall,-0.07558376628383806,-0.055857914404535296,-0.04084626047588899,-0.03114925311993389,9.021490107130603e-05,0.0026021714567221466,0.032839137564268484,0.00030586400160359517
levels,warriner_valence_extremity_z,4,4,3,1,1,1,1,-0.05002121942182901,fall,-0.06075129220150304,-0.03042752086947389,-0.08859096685380613,-0.020315097762532985,0.0026021714567221466,0.015346677832630107,0.000936222910851825,9.021490107130603e-05
