dose,table,lang,target,med_slope,up,dn,n,p
lift,contextual,en,v6:vocalisation,0.03295902466407126,44,6,50,3.243740565039843e-08
lift,contextual,en,v6:harm,-0.057655681286530494,7,43,50,2.098677427397888e-07
lift,contextual,en,slot_institutional_en_v3:vocalisation,0.01226950756462239,38,12,50,0.00030586400160359517
lift,contextual,en,slot_rating_en_v6:harm,-0.0005175697080065674,12,38,50,0.00030586400160359517
lift,contextual,en,v6:makes_worse,-0.026187558072948793,12,38,50,0.00030586400160359517
lift,contextual,en,slot_institutional_en_v2:vocalisation,0.035325305387404485,37,13,50,0.000936222910851825
lift,contextual,en,slot_institutional_en_v3:abstraction,-0.016954418571689764,13,37,50,0.000936222910851825
lift,contextual,en,v6:aggression,0.006334524937102208,37,13,50,0.000936222910851825
lift,contextual,en,slot_institutional_en_v3:collective,-0.001676307192529243,14,36,50,0.0026021714567221466
lift,contextual,en,slot_institutional_en_v3:specificity,-0.03248346237739701,14,36,50,0.0026021714567221466
lift,contextual,en,v6:fit,-0.018121401703540492,14,36,50,0.0026021714567221466
lift,contextual,en,sexual_slot_en_v2:euphemism,0.013107481506348294,35,15,50,0.006600447966810918
lift,contextual,en,slot_institutional_en_v3:mediation,-0.004296119687135632,15,35,50,0.006600447966810918
lift,contextual,en,v6:superego,-0.0020202608486401454,16,34,50,0.015346677832630107
lift,contextual,en,sexual_slot_en_v2:explicitness,-0.017787175692954023,17,33,50,0.032839137564268484
lift,contextual,en,slot_institutional_en_v2:procedural,0.019166203553135724,33,17,50,0.032839137564268484
lift,contextual,en,slot_institutional_en_v3:agency,-0.022366544121728314,17,33,50,0.032839137564268484
lift,contextual,en,sexual_slot_en_v2:orality,0.009052002953073388,32,18,50,0.06490864707227217
lift,contextual,en,slot_institutional_en_v2:abstraction,0.012148421532162595,32,18,50,0.06490864707227217
lift,contextual,en,slot_rating_en_v6:makes_better,0.009363384323062555,32,18,50,0.06490864707227217
lift,contextual,en,slot_rating_en_v6:makes_worse,-0.014223932802746756,18,32,50,0.06490864707227217
lift,contextual,en,slot_rating_en_v6:vocalisation,0.03403570147876651,32,18,50,0.06490864707227217
lift,contextual,en,slot_institutional_en_v2:specificity,-0.024241366662807864,19,31,50,0.11892045255943628
lift,contextual,en,slot_institutional_en_v3:arousal,-0.022532115044657818,19,31,50,0.11892045255943628
lift,contextual,en,slot_institutional_en_v3:assertiveness,-0.019321902930125777,19,31,50,0.11892045255943628
lift,contextual,en,slot_institutional_en_v3:target,-0.00894780059215972,19,31,50,0.11892045255943628
lift,contextual,en,v6:directedness,-0.016741132395099237,19,31,50,0.11892045255943628
lift,contextual,en,v6:hedged,0.0028298737631158163,31,19,50,0.11892045255943628
lift,contextual,en,slot_institutional_en_v2:arousal,-0.009292511928237046,20,30,50,0.20263875106454066
lift,contextual,en,slot_rating_en_v6:mundanity,0.005550156153332994,30,20,50,0.20263875106454066
lift,contextual,en,slot_rating_en_v6:superego,0.012083113902153952,30,20,50,0.20263875106454066
lift,contextual,en,v6:makes_better,-0.003544241996061165,20,30,50,0.20263875106454066
lift,contextual,en,sexual_slot_en_v2:exposure,-0.0014211218446968281,21,29,50,0.3222363203575469
lift,contextual,en,slot_institutional_en_v2:collective,0.006741076643708178,29,21,50,0.3222363203575469
lift,contextual,en,slot_institutional_en_v2:target,0.021653646698360327,29,21,50,0.3222363203575469
lift,contextual,en,slot_institutional_en_v3:delay,0.005086334832367383,29,21,50,0.3222363203575469
lift,contextual,en,slot_institutional_en_v3:procedural,-0.004258652036940629,21,29,50,0.3222363203575469
lift,contextual,en,slot_institutional_en_v3:termination,0.00520817477530864,29,21,50,0.3222363203575469
lift,contextual,en,v6:interiority,-0.003678297559645521,21,29,50,0.3222363203575469
lift,contextual,en,sexual_slot_en_v2:body_distance,-0.004163609916922338,22,28,50,0.47988766169832786
lift,contextual,en,slot_institutional_en_v2:deference,0.0056500881363227146,28,22,50,0.47988766169832786
lift,contextual,en,slot_institutional_en_v3:deference,-0.002566504405741683,22,28,50,0.47988766169832786
lift,contextual,en,slot_rating_en_v6:deliberation,0.0073250206794065135,28,22,50,0.47988766169832786
lift,contextual,en,slot_rating_en_v6:fit,0.005254314658602455,28,22,50,0.47988766169832786
lift,contextual,en,v6:mundanity,0.00540498046744247,28,22,50,0.47988766169832786
lift,contextual,en,sexual_slot_en_v2:genitality,-0.00047938109046412867,23,27,50,0.6718110337653656
lift,contextual,en,sexual_slot_en_v2:tactility,-0.00318868463168562,23,27,50,0.6718110337653656
lift,contextual,en,slot_institutional_en_v2:agency,-0.012061646890498295,23,27,50,0.6718110337653656
lift,contextual,en,slot_institutional_en_v2:delay,-0.005154580473703968,23,27,50,0.6718110337653656
lift,contextual,en,slot_rating_en_v6:hedged,-0.003732657607339553,23,27,50,0.6718110337653656
lift,contextual,en,sexual_slot_en_v2:incorporation,0.0013964465085746784,26,24,50,0.887724827340783
lift,contextual,en,v6:deliberation,-7.386410927307514e-05,24,26,50,0.887724827340783
lift,contextual,en,sexual_slot_en_v2:charge,-0.0012897439708408846,25,25,50,1.0
lift,contextual,en,slot_institutional_en_v2:assertiveness,-0.0015860203127675185,25,25,50,1.0
lift,contextual,en,slot_rating_en_v6:aggression,0.00019413076358151636,25,25,50,1.0
lift,contextual,en,slot_rating_en_v6:directedness,-0.00449192160587507,25,25,50,1.0
lift,contextual,en,slot_rating_en_v6:interiority,4.1262190874974706e-05,25,25,50,1.0
