dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,L1-,-0.01051222044724984,6,44,50,3.243740565039843e-08
lift,fields,en,A9+,0.0034281745904972023,42,8,50,1.163555804595262e-06
lift,fields,en,A4.1,0.0008057306478761398,41,9,50,5.614100093254137e-06
lift,fields,en,Q2.2,0.001656190436872756,41,9,50,5.614100093254137e-06
lift,fields,en,N3.5,-7.544152897802895e-05,9,40,49,9.263546409954415e-06
lift,fields,en,N3.2+,-0.0004810997298396965,10,40,50,2.3861331676755526e-05
lift,fields,en,Z5,0.0022932275861055145,40,10,50,2.3861331676755526e-05
lift,fields,en,A15+,0.000474219429117243,39,11,50,9.021490107130603e-05
lift,fields,en,H4,-0.00037703739268222055,11,39,50,9.021490107130603e-05
lift,fields,en,M5,0.00037914496240783695,39,11,50,9.021490107130603e-05
lift,fields,en,O4.6-,-0.0014586679245418125,11,39,50,9.021490107130603e-05
lift,fields,en,Z8m,0.0016710518475331582,39,11,50,9.021490107130603e-05
lift,fields,en,S1.2.6-,-0.0002899978159662465,6,29,35,0.0001168418675661087
lift,fields,en,A2.2,0.0003270060009004281,38,12,50,0.00030586400160359517
lift,fields,en,A5.3+,-0.00021777195205614249,12,38,50,0.00030586400160359517
lift,fields,en,A7-,0.00048357454620854456,38,12,50,0.00030586400160359517
lift,fields,en,A9-,-0.0007087145858888169,12,38,50,0.00030586400160359517
lift,fields,en,G3,-0.0014923406471894413,12,38,50,0.00030586400160359517
lift,fields,en,H1,0.00017019502838205776,38,12,50,0.00030586400160359517
lift,fields,en,N5+,0.0003967427045357398,38,12,50,0.00030586400160359517
lift,fields,en,Q2.1,0.0011224954835035907,38,12,50,0.00030586400160359517
lift,fields,en,X2.1,-0.00046630611333926613,12,38,50,0.00030586400160359517
lift,fields,en,X9.2+,-0.0001614315443576274,12,38,50,0.00030586400160359517
lift,fields,en,Z8,0.0006552621842657257,38,12,50,0.00030586400160359517
lift,fields,en,A3+,0.0021092982723001606,37,13,50,0.000936222910851825
lift,fields,en,I1.2,0.0005334821848976315,37,13,50,0.000936222910851825
lift,fields,en,X2.4,-0.0004086175254337208,13,37,50,0.000936222910851825
lift,fields,en,B1,-0.000794019055926937,14,36,50,0.0026021714567221466
lift,fields,en,S1.1.1,-0.0003452533966173616,14,36,50,0.0026021714567221466
lift,fields,en,X3.2-,0.0018959969772492165,36,14,50,0.0026021714567221466
lift,fields,en,X5.2-,-0.0003698617943191225,14,36,50,0.0026021714567221466
lift,fields,en,X8+,-0.00029746720848790336,14,36,50,0.0026021714567221466
lift,fields,en,A10+,-0.0005175101475541333,15,35,50,0.006600447966810918
lift,fields,en,A5.1+,0.0003197541502655176,35,15,50,0.006600447966810918
lift,fields,en,A5.3,-0.00031205195090216786,15,35,50,0.006600447966810918
lift,fields,en,A6.2+,-9.583079059838665e-05,15,35,50,0.006600447966810918
lift,fields,en,E1,-0.0003567211963415666,15,35,50,0.006600447966810918
lift,fields,en,E3-,-0.0011528640583153022,15,35,50,0.006600447966810918
lift,fields,en,E4.2+,-0.00011261104997832178,15,35,50,0.006600447966810918
lift,fields,en,I1,-0.00018486522918027937,15,35,50,0.006600447966810918
lift,fields,en,K1,0.00037862435432093944,35,15,50,0.006600447966810918
lift,fields,en,N6+,-0.0003015486688261747,15,35,50,0.006600447966810918
lift,fields,en,O2,-0.00036236552461123327,15,35,50,0.006600447966810918
lift,fields,en,S7.3,-0.00022457507181963484,15,35,50,0.006600447966810918
lift,fields,en,S7.4+,6.457795765924717e-05,35,15,50,0.006600447966810918
lift,fields,en,T1.1.2,0.00011419700068097664,35,15,50,0.006600447966810918
lift,fields,en,X3.2,-0.0003390108327975674,15,35,50,0.006600447966810918
lift,fields,en,X5.1+,-0.0003594286382087922,15,35,50,0.006600447966810918
lift,fields,en,X5.2+,-0.00047784601805608086,15,35,50,0.006600447966810918
lift,fields,en,Z1f,-0.0004021526465521813,15,35,50,0.006600447966810918
lift,fields,en,L2mn,-0.001136963637467488,13,31,44,0.009559878856634896
lift,fields,en,X3,-0.0017416967029009755,1,10,11,0.01171875
lift,fields,en,E2-,-0.0005631935455840335,16,34,50,0.015346677832630107
lift,fields,en,I3.2-,0.00029988386835428765,34,16,50,0.015346677832630107
lift,fields,en,O4.1,-0.00026915470597781393,16,34,50,0.015346677832630107
lift,fields,en,Q1.1,0.0005185932973255249,34,16,50,0.015346677832630107
lift,fields,en,T1,0.00017624920465773706,34,16,50,0.015346677832630107
lift,fields,en,X7+,0.000483962044360579,34,16,50,0.015346677832630107
lift,fields,en,Z1m,-0.00046562534623401585,16,34,50,0.015346677832630107
lift,fields,en,Z2,-0.0004383758617616897,16,34,50,0.015346677832630107
lift,fields,en,Z8mfn,-0.00031449794052642243,16,34,50,0.015346677832630107
lift,fields,en,G2.2+,-0.0005809536018493286,14,31,45,0.016094360031274846
lift,fields,en,O4.6,-0.0001957060255037056,16,33,49,0.021294114141387155
lift,fields,en,A6.2-,-0.00027490771841765736,14,30,44,0.022628841205914796
lift,fields,en,X3.2+++,0.00023984537152241242,31,15,46,0.02589608179323477
lift,fields,en,F1-,-0.00014854460196414557,11,25,36,0.028816719655878842
lift,fields,en,I3.2+,-3.848422189431604e-05,16,32,48,0.0293049467205293
lift,fields,en,A1.1.2,0.0009172726682685848,33,17,50,0.032839137564268484
lift,fields,en,A1.9,0.0002944037771535445,33,17,50,0.032839137564268484
lift,fields,en,A2.1+,-0.00028034284000441156,17,33,50,0.032839137564268484
lift,fields,en,A5.3-,-0.001800331942933326,17,33,50,0.032839137564268484
lift,fields,en,H1c,0.00013655023879645086,33,17,50,0.032839137564268484
lift,fields,en,I2.2,0.00016494816322331485,33,17,50,0.032839137564268484
