dose,table,lang,target,med_slope,up,dn,n,p
lift,fields,en,A9+,0.0026230279117342775,40,5,45,7.878384167270269e-08
lift,fields,en,L1-,-0.007661595194427625,5,40,45,7.878384167270269e-08
lift,fields,en,O4.6-,-0.0006856091147255966,6,39,45,5.417768988991156e-07
lift,fields,en,Q2.1,0.0018565991108688968,39,6,45,5.417768988991156e-07
lift,fields,en,G3,-0.0016571360493694072,7,38,45,3.1213096463034162e-06
lift,fields,en,X9.2+,-0.0005049188683811863,7,38,45,3.1213096463034162e-06
lift,fields,en,S6+,-0.0026159359506408675,8,37,45,1.5374090196473844e-05
lift,fields,en,X5.2+,-0.0021940346030841487,8,37,45,1.5374090196473844e-05
lift,fields,en,S1.2.6-,-0.000664163964676975,7,34,41,2.532080361561384e-05
lift,fields,en,B1,-0.0016189168326311574,9,36,45,6.57466324582856e-05
lift,fields,en,H1,0.00013460160875638513,36,9,45,6.57466324582856e-05
lift,fields,en,S1.1.1,-0.0005091284451276078,9,36,45,6.57466324582856e-05
lift,fields,en,S7.3,-0.0006509529542203994,9,36,45,6.57466324582856e-05
lift,fields,en,Z1f,-0.0008088114482243394,9,36,45,6.57466324582856e-05
lift,fields,en,Z8m,0.002301711817188172,36,9,45,6.57466324582856e-05
lift,fields,en,A4.1,0.00048506545300079114,35,10,45,0.00024708778460080794
lift,fields,en,A5.1+,0.00020404893028857265,35,10,45,0.00024708778460080794
lift,fields,en,A5.3+,-0.00010854788989664946,10,35,45,0.00024708778460080794
lift,fields,en,E6-,0.001802074972856453,35,10,45,0.00024708778460080794
lift,fields,en,N3.2+,-0.0005644422627207416,10,35,45,0.00024708778460080794
lift,fields,en,X2.1,-0.0005362661864080049,10,35,45,0.00024708778460080794
lift,fields,en,A13,-0.00022381929007892645,11,34,45,0.0008240823595997426
lift,fields,en,B5-,-0.0042919885120858816,11,34,45,0.0008240823595997426
lift,fields,en,Q2.2,0.0019201704397527031,34,11,45,0.0008240823595997426
lift,fields,en,X3.2,-0.0006710866027706605,11,34,45,0.0008240823595997426
lift,fields,en,Z4,-0.0004290728551073029,11,34,45,0.0008240823595997426
lift,fields,en,Z8mfn,-0.0035445425322948652,11,34,45,0.0008240823595997426
lift,fields,en,A10+,-0.0006430531325208644,12,33,45,0.0024589003220967243
lift,fields,en,A3+,0.0022184965886278356,33,12,45,0.0024589003220967243
lift,fields,en,A7-,0.0003428184873564913,33,12,45,0.0024589003220967243
lift,fields,en,C1,0.00022920723124962163,33,12,45,0.0024589003220967243
lift,fields,en,N6+,-0.00027772473064048054,12,33,45,0.0024589003220967243
lift,fields,en,O1.1,-0.0003714719440046284,12,33,45,0.0024589003220967243
lift,fields,en,O2,-0.0004683166936823882,12,33,45,0.0024589003220967243
lift,fields,en,P1,0.0002312603620211853,33,12,45,0.0024589003220967243
lift,fields,en,S7.1-,-0.0003100674060702974,12,33,45,0.0024589003220967243
lift,fields,en,T1,0.00022272757992476455,33,12,45,0.0024589003220967243
lift,fields,en,T2++,0.00024845008807070665,33,12,45,0.0024589003220967243
lift,fields,en,X2.4,-0.0003836529970450176,12,33,45,0.0024589003220967243
lift,fields,en,Z5,0.0027366414922218034,33,12,45,0.0024589003220967243
lift,fields,en,A13.6,-0.00030704859832135934,13,32,45,0.00660882284228137
lift,fields,en,A5.3,-0.00027740078346035163,13,32,45,0.00660882284228137
lift,fields,en,A9-,-0.0004209208541041288,13,32,45,0.00660882284228137
lift,fields,en,G2.2-,-0.0005138299902688139,13,32,45,0.00660882284228137
lift,fields,en,N5+,0.00030525190969964773,32,13,45,0.00660882284228137
lift,fields,en,S8+,-0.00010596482492179222,13,32,45,0.00660882284228137
lift,fields,en,T1.1.3,0.00025934985540539336,32,13,45,0.00660882284228137
lift,fields,en,X2,-0.00030535319183761764,13,32,45,0.00660882284228137
lift,fields,en,Z1m,-0.0006857458844503906,13,32,45,0.00660882284228137
lift,fields,en,S4c,0.004365975545280433,22,7,29,0.008130058646202087
lift,fields,en,L2mn,-0.0018609572288859027,13,31,44,0.009559878856634896
lift,fields,en,A13.4,0.00015325382381515444,31,14,45,0.016094360031274846
lift,fields,en,E6+,-0.0003440243627064965,14,31,45,0.016094360031274846
lift,fields,en,G2.1-,-0.00025340539714469485,14,31,45,0.016094360031274846
lift,fields,en,H2,0.0013493763909633214,31,14,45,0.016094360031274846
lift,fields,en,I2.2,0.0001763456777154726,31,14,45,0.016094360031274846
lift,fields,en,I3.2-,0.00011547222242759152,31,14,45,0.016094360031274846
lift,fields,en,N3.3,-0.00010995697667397572,14,31,45,0.016094360031274846
lift,fields,en,O3,-0.00025945802974647455,14,31,45,0.016094360031274846
lift,fields,en,O4.1,-0.00035420469529617946,14,31,45,0.016094360031274846
lift,fields,en,Q1.3,0.0010491046611502183,31,14,45,0.016094360031274846
lift,fields,en,S6-,-0.0006931337848761333,14,31,45,0.016094360031274846
lift,fields,en,T1.1.1,0.0003573309791938379,31,14,45,0.016094360031274846
lift,fields,en,T3+,-0.0004935452204707628,14,31,45,0.016094360031274846
lift,fields,en,X5.1-,0.00019862113267021044,31,14,45,0.016094360031274846
lift,fields,en,Z8,0.0004126005355153282,31,14,45,0.016094360031274846
lift,fields,en,B2,-0.00017037984680683658,8,22,30,0.016124801710247993
lift,fields,en,T3--,-0.00037372856617722884,2,11,13,0.0224609375
lift,fields,en,X3,-0.0018878155338607231,6,18,24,0.022655844688415527
lift,fields,en,A1.5,-0.0004405355937575339,13,28,41,0.027533155829587486
lift,fields,en,N5--,-6.803382818162626e-05,14,29,43,0.03153949735315109
lift,fields,en,A1.4,-0.0003172913475646007,15,30,45,0.035697803555194696
lift,fields,en,A2.1,0.0001679143453875537,30,15,45,0.035697803555194696
lift,fields,en,A6.2+,-9.563337655522123e-05,15,30,45,0.035697803555194696
lift,fields,en,A7+++,-0.00019773868424650484,15,30,45,0.035697803555194696
lift,fields,en,E1,-0.00029420811504755505,15,30,45,0.035697803555194696
lift,fields,en,E2-,-0.00026379942252254386,15,30,45,0.035697803555194696
lift,fields,en,E3+,0.0005395051718778913,30,15,45,0.035697803555194696
lift,fields,en,F4,0.0002125231680414835,30,15,45,0.035697803555194696
lift,fields,en,G1.1c,-0.00040529266370355725,15,30,45,0.035697803555194696
lift,fields,en,I1.2,0.0004464057668444637,30,15,45,0.035697803555194696
lift,fields,en,M6,0.00029632136227909187,30,15,45,0.035697803555194696
lift,fields,en,N3.7--,-6.0980972063786176e-05,15,30,45,0.035697803555194696
lift,fields,en,O4.2+,0.00021671028708362744,30,15,45,0.035697803555194696
lift,fields,en,Q4.2c,-0.0002607722980459376,15,30,45,0.035697803555194696
lift,fields,en,S4f,-0.0009382311976266673,15,30,45,0.035697803555194696
lift,fields,en,S7.2+,-0.00024317325136985333,15,30,45,0.035697803555194696
lift,fields,en,S7.4+,5.218914854792509e-05,30,15,45,0.035697803555194696
lift,fields,en,T1.3+,-0.00020147451681406332,15,30,45,0.035697803555194696
lift,fields,en,X3.2+++,0.00023185291274150865,30,15,45,0.035697803555194696
lift,fields,en,X3.2-,0.0005264622920252188,30,15,45,0.035697803555194696
lift,fields,en,X5.1+,-0.00032247470198353397,15,30,45,0.035697803555194696
lift,fields,en,X5.2-,-0.000122830786434469,15,30,45,0.035697803555194696
lift,fields,en,X9.2-,0.0004523823259917107,30,15,45,0.035697803555194696
lift,fields,en,Z2,-0.0001287202214544206,15,30,45,0.035697803555194696
lift,fields,en,A6.3+,0.00031191371464653057,29,15,44,0.048766765904474596
lift,fields,en,I3.2+,-2.2374981539639063e-05,15,29,44,0.048766765904474596
lift,fields,en,N3.5-,0.0001736716497371199,29,15,44,0.048766765904474596
lift,fields,en,O4.6,-0.00030878097728834344,15,29,44,0.048766765904474596
lift,fields,en,S2,-0.0005610892996307404,15,29,44,0.048766765904474596
lift,fields,en,S7.1,0.00015999239817119602,29,15,44,0.048766765904474596
lift,fields,en,A11.2-,-0.00030243826788602806,2,9,11,0.0654296875
lift,fields,en,A1.1.2,0.0005595460793247252,29,16,45,0.07245426016254441
lift,fields,en,A1.8+,-0.0004346866191215547,16,29,45,0.07245426016254441
lift,fields,en,A11.1-,-0.0001760374854721743,16,29,45,0.07245426016254441
lift,fields,en,A13.3,-0.0014290880220022492,16,29,45,0.07245426016254441
lift,fields,en,A2.1+,-0.0003468562925370645,16,29,45,0.07245426016254441
lift,fields,en,A7+,-0.0003985340583193693,16,29,45,0.07245426016254441
lift,fields,en,E2+,-0.0002969338873846832,16,29,45,0.07245426016254441
lift,fields,en,H5,-0.0002623026688637826,16,29,45,0.07245426016254441
lift,fields,en,I1,-0.00021867591797474376,16,29,45,0.07245426016254441
lift,fields,en,M1,0.0007879870448064667,29,16,45,0.07245426016254441
lift,fields,en,M5,0.0003727873082722339,29,16,45,0.07245426016254441
lift,fields,en,N3.5,-2.6971286018497294e-05,16,29,45,0.07245426016254441
lift,fields,en,N3.8+fn,-7.670408486093381e-05,16,29,45,0.07245426016254441
lift,fields,en,Q1.1,0.00037029213604000737,29,16,45,0.07245426016254441
lift,fields,en,S4,-0.0004614200488569733,16,29,45,0.07245426016254441
lift,fields,en,T4-,-0.001025832724466282,16,29,45,0.07245426016254441
lift,fields,en,X3.1,-9.937507814489288e-05,16,29,45,0.07245426016254441
lift,fields,en,X3.2++,0.0002826591178856133,29,16,45,0.07245426016254441
lift,fields,en,X8+,-0.00025052978604931503,16,29,45,0.07245426016254441
lift,fields,en,Z2c,-5.840743875378013e-05,16,29,45,0.07245426016254441
lift,fields,en,N3.8,0.0001439164185925343,28,16,44,0.09614175442061423
lift,fields,en,A15++,-0.0012703990056604276,5,13,18,0.09625244140625
lift,fields,en,S1.2.1-,-9.751614220094621e-05,12,22,34,0.12144948495551944
lift,fields,en,X1,-0.00021807272864957534,7,15,22,0.13380050659179688
lift,fields,en,A1.7+,-0.00011162811917875486,17,28,45,0.1351564508456704
lift,fields,en,A4.2+,-0.00028087326260369585,17,28,45,0.1351564508456704
lift,fields,en,A5,-0.00011103347637020445,17,28,45,0.1351564508456704
lift,fields,en,A5.3-,-0.0015896165807121547,17,28,45,0.1351564508456704
lift,fields,en,A6.1+,-0.0001466400896000247,17,28,45,0.1351564508456704
lift,fields,en,E3-,-0.0012239959238662015,17,28,45,0.1351564508456704
lift,fields,en,E4.1-,0.00019731914001665593,28,17,45,0.1351564508456704
lift,fields,en,G2.1,-0.00017324824950034641,17,28,45,0.1351564508456704
lift,fields,en,I1.3,0.00020424156262319797,28,17,45,0.1351564508456704
lift,fields,en,K1,0.0005200644009759566,28,17,45,0.1351564508456704
lift,fields,en,K2,0.0006778656374066179,28,17,45,0.1351564508456704
lift,fields,en,M8,0.00032680188654064416,28,17,45,0.1351564508456704
lift,fields,en,N3.1,-6.159012442179201e-05,17,28,45,0.1351564508456704
lift,fields,en,N5.1+,4.586534189597006e-05,28,17,45,0.1351564508456704
lift,fields,en,N5.2+,8.699393409098311e-05,28,17,45,0.1351564508456704
lift,fields,en,N6,-0.00011295420702961906,17,28,45,0.1351564508456704
lift,fields,en,O1.2,-0.00015067222524720234,17,28,45,0.1351564508456704
lift,fields,en,O4.6+,-0.000533370408818806,17,28,45,0.1351564508456704
lift,fields,en,Q4.3,-0.00021408763737997038,17,28,45,0.1351564508456704
lift,fields,en,S5+,-6.679147928328227e-05,17,28,45,0.1351564508456704
lift,fields,en,T1.1.2,9.991998907662319e-05,28,17,45,0.1351564508456704
lift,fields,en,N3.8+++,-0.00016548789905713275,14,24,38,0.14330665429588407
lift,fields,en,N3.7,0.0010044861208996266,25,15,40,0.1538599441628321
lift,fields,en,K3,0.00032425363260331445,21,12,33,0.16275565745308995
lift,fields,en,S2mfn,-0.0009235330500481735,4,10,14,0.1795654296875
lift,fields,en,E4.2-,-0.00021812780680908523,10,18,28,0.1849333420395851
lift,fields,en,N5c,4.395692091794831e-05,24,15,39,0.19959086691960692
lift,fields,en,T1.3-,-5.088524815526028e-05,11,19,30,0.20048842206597328
lift,fields,en,K5.2,-0.00024668184417477176,12,20,32,0.21532714972272515
lift,fields,en,N3.4,-2.2033628298527212e-07,17,26,43,0.2220528201560228
lift,fields,en,W2-,0.00022585710590281849,26,17,43,0.2220528201560228
lift,fields,en,A1.8-,-0.00037175337296033227,3,8,11,0.2265625
lift,fields,en,I1.1+,-0.0032740954463788712,3,8,11,0.2265625
lift,fields,en,L2mfnc,0.00020166271368613801,16,9,25,0.2295229434967041
lift,fields,en,A1.3+,-4.298150689478343e-05,18,27,45,0.23269319190831084
lift,fields,en,A1.5.1,-8.983417898647627e-05,18,27,45,0.23269319190831084
lift,fields,en,A1.9,7.989164130552462e-05,27,18,45,0.23269319190831084
lift,fields,en,A11.2+,0.00013851865906090076,27,18,45,0.23269319190831084
lift,fields,en,A12-,-0.00012913523857171607,18,27,45,0.23269319190831084
lift,fields,en,A13.1,-4.6381656794469365e-05,18,27,45,0.23269319190831084
lift,fields,en,A13.2,0.0001081009652272405,27,18,45,0.23269319190831084
lift,fields,en,A2.2,6.954543554005786e-05,27,18,45,0.23269319190831084
lift,fields,en,A5.4-,5.2839841705697417e-05,27,18,45,0.23269319190831084
lift,fields,en,A8,0.0001483269997195342,27,18,45,0.23269319190831084
lift,fields,en,B2-,0.0005258103565978959,27,18,45,0.23269319190831084
lift,fields,en,F2,0.00010297070334297976,27,18,45,0.23269319190831084
lift,fields,en,H4,-0.0002552619836306634,18,27,45,0.23269319190831084
lift,fields,en,I2.1,2.1863607979694296e-05,27,18,45,0.23269319190831084
lift,fields,en,K5.1,-0.0002783455546509238,18,27,45,0.23269319190831084
lift,fields,en,L1+,-0.00012382561065269485,18,27,45,0.23269319190831084
lift,fields,en,L3,-6.415772638402716e-05,18,27,45,0.23269319190831084
lift,fields,en,M2,0.0004027534269124288,27,18,45,0.23269319190831084
lift,fields,en,M3,0.00011648551113219688,27,18,45,0.23269319190831084
lift,fields,en,M3fn,0.00022364089340160583,27,18,45,0.23269319190831084
lift,fields,en,N3.7+,-0.0001037635065497073,18,27,45,0.23269319190831084
lift,fields,en,N3.8-,-0.00010340984875347417,18,27,45,0.23269319190831084
lift,fields,en,N5+++,-0.0001552564524778355,18,27,45,0.23269319190831084
lift,fields,en,O4.2-,0.000503465721280815,27,18,45,0.23269319190831084
lift,fields,en,S1.1.2+,-0.00032247252109168003,18,27,45,0.23269319190831084
lift,fields,en,S1.1.3-,0.00040623798647569675,27,18,45,0.23269319190831084
lift,fields,en,S1.2.2-,0.00011609734371684334,27,18,45,0.23269319190831084
lift,fields,en,S1.2.6+,-0.00038774820442177854,18,27,45,0.23269319190831084
lift,fields,en,S5+c,-2.609511034949099e-05,18,27,45,0.23269319190831084
lift,fields,en,S7.4-,-0.000160237891230259,18,27,45,0.23269319190831084
lift,fields,en,T3-,0.00022990084004532814,27,18,45,0.23269319190831084
lift,fields,en,X2.2-,-0.00011578917700410813,18,27,45,0.23269319190831084
lift,fields,en,X2.6-,-0.00012762013637640935,18,27,45,0.23269319190831084
lift,fields,en,X4.1,1.3664132186397516e-05,27,18,45,0.23269319190831084
lift,fields,en,X9.1+,-3.7932126372226304e-05,18,27,45,0.23269319190831084
lift,fields,en,Z3,4.516249499123058e-05,27,18,45,0.23269319190831084
lift,fields,en,Z8mf,0.0003103187624702492,27,18,45,0.23269319190831084
lift,fields,en,X2.6,-1.165798402734258e-05,0,3,3,0.25
lift,fields,en,F1-,-7.296169956549431e-05,16,24,40,0.26818725105476915
lift,fields,en,W5,0.00018191244965563207,15,9,24,0.30745625495910645
lift,fields,en,N3.7-,0.0001716694052355168,22,15,37,0.3240086000878364
lift,fields,en,A9,-9.372965499624489e-05,16,23,39,0.3367836351899314
lift,fields,en,N5---,7.281802648582641e-05,24,17,41,0.34888887944907765
lift,fields,en,A11.1++,-0.00020754300519903302,12,18,30,0.361594608053565
lift,fields,en,A1.5.2+,5.7376425207756484e-05,26,19,45,0.3712980344710104
lift,fields,en,A13.7,-6.883561464622289e-05,19,26,45,0.3712980344710104
lift,fields,en,B3,0.00031780090569276474,26,19,45,0.3712980344710104
lift,fields,en,B4,0.000132307128646577,26,19,45,0.3712980344710104
lift,fields,en,F3,-0.0002781755938132539,19,26,45,0.3712980344710104
lift,fields,en,G1.1,-0.0005868828460810862,19,26,45,0.3712980344710104
lift,fields,en,G1.2,-0.00023844661961864897,19,26,45,0.3712980344710104
lift,fields,en,H1c,4.049041582225534e-05,26,19,45,0.3712980344710104
lift,fields,en,I1.1,-7.352120165989565e-05,19,26,45,0.3712980344710104
lift,fields,en,I3.1-,-0.00037018038360267524,19,26,45,0.3712980344710104
lift,fields,en,K4,0.00023327258248405993,26,19,45,0.3712980344710104
lift,fields,en,L2mfn,-0.00026863610829737123,19,26,45,0.3712980344710104
lift,fields,en,M4,0.00013646248195200506,26,19,45,0.3712980344710104
lift,fields,en,N2,-9.487077997170076e-05,19,26,45,0.3712980344710104
lift,fields,en,N5++,-0.000149379409328186,19,26,45,0.3712980344710104
lift,fields,en,N6+++,0.00014242187674367294,26,19,45,0.3712980344710104
lift,fields,en,N6-,-0.0001125649072207895,19,26,45,0.3712980344710104
lift,fields,en,O4.3,-0.00013323911460504678,19,26,45,0.3712980344710104
lift,fields,en,O4.4,0.00011421101545184093,26,19,45,0.3712980344710104
lift,fields,en,O4.5,7.75813035495155e-05,26,19,45,0.3712980344710104
lift,fields,en,S1.2,8.946601052069578e-05,26,19,45,0.3712980344710104
lift,fields,en,S2.1f,-0.00034012710748996714,19,26,45,0.3712980344710104
lift,fields,en,S4m,-0.000622918771334597,19,26,45,0.3712980344710104
lift,fields,en,S5+++,-5.498766588113573e-05,19,26,45,0.3712980344710104
lift,fields,en,S9,9.879905112234242e-05,26,19,45,0.3712980344710104
lift,fields,en,T2+,-0.0003415995457757386,19,26,45,0.3712980344710104
lift,fields,en,W2,6.815310746758088e-05,26,19,45,0.3712980344710104
lift,fields,en,W3,3.186768910739874e-05,26,19,45,0.3712980344710104
lift,fields,en,X2.5+,-0.00020658799638642066,19,26,45,0.3712980344710104
lift,fields,en,X3.4,7.85891851956888e-05,26,19,45,0.3712980344710104
lift,fields,en,X7-,0.00017039591327591824,26,19,45,0.3712980344710104
lift,fields,en,Z7,0.0005152646601020613,26,19,45,0.3712980344710104
lift,fields,en,Y1,-8.044284233318404e-05,16,22,38,0.417692190836533
lift,fields,en,M4fn,7.221691870659398e-05,24,18,42,0.44079906734259566
lift,fields,en,O1.2-,-0.00020372877970253463,18,24,42,0.44079906734259566
lift,fields,en,S7.3+,-0.0002868862412281827,6,10,16,0.454498291015625
lift,fields,en,F2++,-4.029752253409259e-05,17,22,39,0.5223973804968409
lift,fields,en,F2+++,1.3321225552987722e-05,22,17,39,0.5223973804968409
