dose,table,lang,target,med_slope,up,dn,n,p
lift,levels,en,warriner_arousal_absz,-0.021938246796449293,5,40,45,7.878384167270269e-08
lift,levels,en,k_bodily_harm,-0.03692573385426911,7,38,45,3.1213096463034162e-06
lift,levels,en,k_bodily_harm_absz,-0.04093121696065413,7,38,45,3.1213096463034162e-06
lift,levels,en,k_bodily_harm_z,-0.04243454915728951,7,38,45,3.1213096463034162e-06
lift,levels,en,k_vulgarity,-0.013156696630227295,7,38,45,3.1213096463034162e-06
lift,levels,en,k_vulgarity_absz,-0.03871615062959079,7,38,45,3.1213096463034162e-06
lift,levels,en,k_vulgarity_z,-0.03924848161121242,7,38,45,3.1213096463034162e-06
lift,levels,en,warriner_valence_extremity_absz,-0.011657924386291508,7,38,45,3.1213096463034162e-06
lift,levels,en,k_concreteness,-0.02796912173280083,8,37,45,1.5374090196473844e-05
lift,levels,en,k_concreteness_z,-0.013738498565132398,8,37,45,1.5374090196473844e-05
lift,levels,en,k_transgressiveness_absz,-0.026488077089766564,8,37,45,1.5374090196473844e-05
lift,levels,en,brysbaert_concreteness,-0.012080880229389298,9,36,45,6.57466324582856e-05
lift,levels,en,brysbaert_concreteness_z,-0.012020424675858857,9,36,45,6.57466324582856e-05
lift,levels,en,k_register_level_absz,-0.008161218458376784,9,36,45,6.57466324582856e-05
lift,levels,en,k_transgressiveness,-0.0262477433315713,9,36,45,6.57466324582856e-05
lift,levels,en,k_transgressiveness_z,-0.031046814537699093,9,36,45,6.57466324582856e-05
lift,levels,en,k_valence_absz,-0.01324964054578137,9,36,45,6.57466324582856e-05
lift,levels,en,warriner_arousal,-0.02020326804392396,10,35,45,0.00024708778460080794
lift,levels,en,warriner_arousal_z,-0.022197073058716914,10,35,45,0.00024708778460080794
lift,levels,en,k_charge,-0.03107525734291211,11,34,45,0.0008240823595997426
lift,levels,en,k_charge_z,-0.027105975559526475,11,34,45,0.0008240823595997426
lift,levels,en,k_register_level,0.006246483219085231,32,13,45,0.00660882284228137
lift,levels,en,k_register_level_z,0.006991015092431934,32,13,45,0.00660882284228137
lift,levels,en,warriner_dominance,0.008650030861453138,32,13,45,0.00660882284228137
lift,levels,en,warriner_dominance_absz,-0.005045078207802584,13,32,45,0.00660882284228137
lift,levels,en,warriner_dominance_z,0.009218297347777162,32,13,45,0.00660882284228137
lift,levels,en,warriner_valence_absz,-0.0058929518512725945,15,30,45,0.035697803555194696
lift,levels,en,warriner_valence_sd_absz,0.006181858935382793,10,2,12,0.03857421875
lift,levels,en,k_concreteness_absz,-0.003644591152957878,16,29,45,0.07245426016254441
lift,levels,en,warriner_valence,0.01955882580678696,29,16,45,0.07245426016254441
lift,levels,en,warriner_valence_z,0.01525538176509349,29,16,45,0.07245426016254441
lift,levels,en,k_valence,0.0077586217341325675,28,17,45,0.1351564508456704
lift,levels,en,k_valence_z,0.007930656115328087,28,17,45,0.1351564508456704
lift,levels,en,warriner_valence_extremity,-0.006540790808551933,17,28,45,0.1351564508456704
lift,levels,en,warriner_valence_extremity_z,-0.008544776209840217,17,28,45,0.1351564508456704
lift,levels,en,warriner_valence_sd,0.01648519385688719,9,3,12,0.14599609375
lift,levels,en,warriner_valence_sd_z,0.019556188242204276,9,3,12,0.14599609375
lift,levels,en,brooke_formality,0.0032808122038927843,27,18,45,0.23269319190831084
lift,levels,en,brooke_formality_absz,0.001562856579083023,27,18,45,0.23269319190831084
lift,levels,en,brooke_formality_z,0.0036318027937966442,27,18,45,0.23269319190831084
lift,levels,en,k_charge_absz,-0.007650104689140431,19,26,45,0.3712980344710104
lift,levels,en,brysbaert_concreteness_absz,-0.00021271865857119015,22,23,45,1.0
