dose,table,lang,target,med_slope,up,dn,n,p
lift,contextual,en,slot_institutional_en_v3:specificity,-0.05015672527700594,4,46,50,4.461782054931973e-10
lift,contextual,en,slot_institutional_en_v3:agency,-0.05149404588205575,5,45,50,4.209852022540872e-09
lift,contextual,en,slot_institutional_en_v3:assertiveness,-0.034457301765919296,5,45,50,4.209852022540872e-09
lift,contextual,en,slot_institutional_en_v3:vocalisation,0.04133230639138867,45,5,50,4.209852022540872e-09
lift,contextual,en,v6:vocalisation,0.04482482444134974,45,5,50,4.209852022540872e-09
lift,contextual,en,v6:harm,-0.046356408930143485,6,44,50,3.243740565039843e-08
lift,contextual,en,v6full:directedness,-0.054322166402851,6,44,50,3.243740565039843e-08
lift,contextual,en,v6:superego,-0.010445908701090646,7,43,50,2.098677427397888e-07
lift,contextual,en,v6_wide:directedness,-0.04879218349169542,8,42,50,1.163555804595262e-06
lift,contextual,en,v6_wide:fall,-0.04010669762269431,8,42,50,1.163555804595262e-06
lift,contextual,en,v6_wide:mundanity,0.04205467281082361,42,8,50,1.163555804595262e-06
lift,contextual,en,v6full:harm,-0.022163138448573087,8,42,50,1.163555804595262e-06
lift,contextual,en,sexual_slot_en_v2:euphemism,0.03172723886062219,41,9,50,5.614100093254137e-06
lift,contextual,en,v6_wide:harm,-0.02203151693619275,9,41,50,5.614100093254137e-06
lift,contextual,en,v6_wide:hedged,-0.013784169874155951,9,41,50,5.614100093254137e-06
lift,contextual,en,v6_wide:superego,-0.01774577901662802,9,41,50,5.614100093254137e-06
lift,contextual,en,sexual_slot_en_v2:explicitness,-0.053673152807620465,10,40,50,2.3861331676755526e-05
lift,contextual,en,v6:directedness,-0.024404170047378257,10,40,50,2.3861331676755526e-05
lift,contextual,en,v6:fall,-0.04537561799564613,10,40,50,2.3861331676755526e-05
lift,contextual,en,slot_institutional_en_v3:arousal,-0.027148762053708614,11,39,50,9.021490107130603e-05
lift,contextual,en,v6:fit,-0.021905243125628474,11,39,50,9.021490107130603e-05
lift,contextual,en,v6_wide:interiority,0.021680124954079484,39,11,50,9.021490107130603e-05
lift,contextual,en,v6full:mundanity,0.0241236965070194,39,11,50,9.021490107130603e-05
lift,contextual,en,slot_institutional_en_v3:collective,-0.0036942050868066295,12,38,50,0.00030586400160359517
lift,contextual,en,slot_institutional_en_v3:mediation,-0.008197762229616087,12,38,50,0.00030586400160359517
lift,contextual,en,slot_institutional_en_v3:target,-0.020254636929676557,12,38,50,0.00030586400160359517
lift,contextual,en,slot_rating_en_v6:harm,-0.0006026520444937322,12,38,50,0.00030586400160359517
lift,contextual,en,v6_wide:deliberation,-0.011440987795201476,12,38,50,0.00030586400160359517
lift,contextual,en,v6full:deliberation,-0.00769421429691515,12,38,50,0.00030586400160359517
lift,contextual,en,sexual_slot_en_v2:charge,-0.04352060968220494,13,37,50,0.000936222910851825
lift,contextual,en,sexual_slot_en_v2:genitality,-0.050859185937255934,13,37,50,0.000936222910851825
lift,contextual,en,v6:mundanity,0.01680682367127285,37,13,50,0.000936222910851825
lift,contextual,en,v6full:superego,-0.012530891759651663,13,37,50,0.000936222910851825
lift,contextual,en,v6:deliberation,-0.004334724375978462,14,36,50,0.0026021714567221466
lift,contextual,en,v6:makes_worse,-0.015599804828539104,14,36,50,0.0026021714567221466
lift,contextual,en,v6full:hedged,-0.019958062307515158,14,36,50,0.0026021714567221466
lift,contextual,en,sexual_slot_en_v2:exposure,-0.008848125444920394,15,35,50,0.006600447966810918
lift,contextual,en,slot_institutional_en_v3:delay,0.00754623250447525,35,15,50,0.006600447966810918
lift,contextual,en,v6:makes_better,-0.009337536764322769,15,35,50,0.006600447966810918
lift,contextual,en,v6full:aggression,-0.010533218920430465,15,35,50,0.006600447966810918
lift,contextual,en,slot_institutional_en_v3:abstraction,-0.00729080846790071,16,34,50,0.015346677832630107
lift,contextual,en,slot_rating_en_v6:makes_worse,-0.021713861926107404,16,34,50,0.015346677832630107
lift,contextual,en,slot_rating_en_v6:vocalisation,0.03885150114527544,34,16,50,0.015346677832630107
lift,contextual,en,v6_wide:makes_better,-0.023708913998424515,16,34,50,0.015346677832630107
lift,contextual,en,v6full:interiority,0.015463994795601316,34,16,50,0.015346677832630107
lift,contextual,en,v6full:makes_better,-0.021092501147732652,16,34,50,0.015346677832630107
lift,contextual,en,v6:n_present,0.012911340583079196,33,17,50,0.032839137564268484
lift,contextual,en,v6:net,0.08245536049437004,33,17,50,0.032839137564268484
lift,contextual,en,v6_wide:net,0.07036685866329383,33,17,50,0.032839137564268484
lift,contextual,en,sexual_slot_en_v2:orality,-0.01217027311449011,18,32,50,0.06490864707227217
lift,contextual,en,slot_institutional_en_v3:deference,0.004842717781007979,32,18,50,0.06490864707227217
lift,contextual,en,slot_rating_en_v6:makes_better,0.016613136614500867,32,18,50,0.06490864707227217
lift,contextual,en,v6_wide:aggression,-0.00957108208131776,18,32,50,0.06490864707227217
lift,contextual,en,v6full:makes_worse,-0.009178470246760283,18,32,50,0.06490864707227217
lift,contextual,en,sexual_slot_en_v2:incorporation,0.005659181383084463,31,19,50,0.11892045255943628
lift,contextual,en,slot_institutional_en_v3:procedural,-0.002797061810185814,19,31,50,0.11892045255943628
lift,contextual,en,slot_rating_en_v6:superego,0.010228596720376447,31,19,50,0.11892045255943628
lift,contextual,en,v6:net_rate,0.004219440920724863,31,19,50,0.11892045255943628
lift,contextual,en,v6_wide:net_rate,0.002963328763657883,31,19,50,0.11892045255943628
lift,contextual,en,v6:hedged,-0.0026599385459248454,20,30,50,0.20263875106454066
lift,contextual,en,v6:interiority,0.003894043103921413,30,20,50,0.20263875106454066
lift,contextual,en,slot_rating_en_v6:interiority,0.012500166220352812,29,21,50,0.3222363203575469
lift,contextual,en,slot_rating_en_v6:mundanity,0.007915806173173943,29,21,50,0.3222363203575469
lift,contextual,en,v6_wide:n_eligible,-0.02234587958625551,21,29,50,0.3222363203575469
