dose,table,lang,target,med_slope,up,dn,n,p
lift,contextual,en,v6_wide:mundanity,0.14337172039326654,45,0,45,5.684341886080802e-14
lift,contextual,en,slot_institutional_en_v3:agency,-0.17237703258602885,1,44,45,2.6147972675971687e-12
lift,contextual,en,slot_institutional_en_v3:assertiveness,-0.16487612841532212,1,44,45,2.6147972675971687e-12
lift,contextual,en,slot_institutional_en_v3:specificity,-0.1292974358628824,1,44,45,2.6147972675971687e-12
lift,contextual,en,slot_institutional_en_v3:target,-0.20026259765900173,1,44,45,2.6147972675971687e-12
lift,contextual,en,sexual_slot_en_v2:euphemism,0.08964984117642259,42,3,45,8.654978955746628e-10
lift,contextual,en,slot_institutional_en_v3:arousal,-0.13502129455368791,3,42,45,8.654978955746628e-10
lift,contextual,en,slot_institutional_en_v3:mediation,-0.035022486120141416,3,42,45,8.654978955746628e-10
lift,contextual,en,v6:directedness,-0.12892510209208746,3,42,45,8.654978955746628e-10
lift,contextual,en,v6:harm,-0.07977878851816192,3,42,45,8.654978955746628e-10
lift,contextual,en,v6_wide:directedness,-0.13802133685947598,3,42,45,8.654978955746628e-10
lift,contextual,en,v6_wide:harm,-0.052332353843758304,3,42,45,8.654978955746628e-10
lift,contextual,en,v6full:directedness,-0.1421044426243384,3,42,45,8.654978955746628e-10
lift,contextual,en,v6full:harm,-0.04716336581703857,3,42,45,8.654978955746628e-10
lift,contextual,en,v6full:mundanity,0.11502696804954111,42,3,45,8.654978955746628e-10
lift,contextual,en,sexual_slot_en_v2:explicitness,-0.3412520085424619,4,41,45,9.334883088740753e-09
lift,contextual,en,v6:mundanity,0.111018250715015,41,4,45,9.334883088740753e-09
lift,contextual,en,v6_wide:fall,-0.13746436292969696,4,41,45,9.334883088740753e-09
lift,contextual,en,sexual_slot_en_v2:charge,-0.23226319749383348,5,40,45,7.878384167270269e-08
lift,contextual,en,sexual_slot_en_v2:genitality,-0.3143910578757359,5,40,45,7.878384167270269e-08
lift,contextual,en,v6_wide:interiority,0.056075172103046654,40,5,45,7.878384167270269e-08
lift,contextual,en,slot_institutional_en_v3:collective,-0.026749842909038483,6,39,45,5.417768988991156e-07
lift,contextual,en,v6:fall,-0.1549884298718248,6,39,45,5.417768988991156e-07
lift,contextual,en,v6:interiority,0.04261750945592873,39,6,45,5.417768988991156e-07
lift,contextual,en,slot_institutional_en_v3:abstraction,-0.039140722999240526,7,38,45,3.1213096463034162e-06
lift,contextual,en,slot_rating_en_v6:makes_worse,-0.0303706812106924,7,38,45,3.1213096463034162e-06
lift,contextual,en,v6:superego,-0.02089855935548128,7,38,45,3.1213096463034162e-06
lift,contextual,en,v6full:hedged,-0.04137768709915649,7,38,45,3.1213096463034162e-06
lift,contextual,en,v6_wide:hedged,-0.025356246618230664,8,37,45,1.5374090196473844e-05
lift,contextual,en,sexual_slot_en_v2:exposure,-0.025631079767168503,9,36,45,6.57466324582856e-05
lift,contextual,en,v6:vocalisation,0.04970795593751597,36,9,45,6.57466324582856e-05
lift,contextual,en,v6full:interiority,0.04416681038162414,36,9,45,6.57466324582856e-05
lift,contextual,en,v6:makes_worse,-0.055828325813824825,10,35,45,0.00024708778460080794
lift,contextual,en,v6_wide:superego,-0.016309941102262065,10,35,45,0.00024708778460080794
lift,contextual,en,sexual_slot_en_v2:body_distance,0.07002751635862126,34,11,45,0.0008240823595997426
lift,contextual,en,slot_rating_en_v6:harm,-0.0008590542679580515,11,34,45,0.0008240823595997426
lift,contextual,en,v6_wide:n_eligible,-0.13233699636642385,11,34,45,0.0008240823595997426
lift,contextual,en,slot_institutional_en_v3:deference,0.021661514383425236,32,13,45,0.00660882284228137
lift,contextual,en,slot_institutional_en_v3:termination,0.029516547416690905,32,13,45,0.00660882284228137
lift,contextual,en,v6:aggression,-0.020817255111554238,13,32,45,0.00660882284228137
lift,contextual,en,v6:deliberation,-0.0028710855232761076,13,32,45,0.00660882284228137
lift,contextual,en,v6:hedged,-0.017648377415108787,13,32,45,0.00660882284228137
lift,contextual,en,v6:net,0.11920429989181174,32,13,45,0.00660882284228137
lift,contextual,en,v6_wide:makes_worse,-0.0458278706154737,13,32,45,0.00660882284228137
lift,contextual,en,slot_institutional_en_v3:delay,0.018922877535888977,31,14,45,0.016094360031274846
lift,contextual,en,v6:makes_better,-0.03250789880739725,14,31,45,0.016094360031274846
lift,contextual,en,v6full:makes_worse,-0.034512116179845155,14,31,45,0.016094360031274846
lift,contextual,en,slot_rating_en_v6:makes_better,0.023355274562343334,30,15,45,0.035697803555194696
lift,contextual,en,slot_rating_en_v6:superego,0.02304191782986644,30,15,45,0.035697803555194696
lift,contextual,en,slot_rating_en_v6:vocalisation,0.08781063586294714,30,15,45,0.035697803555194696
lift,contextual,en,v6:n_eligible,-0.07275970307913662,15,30,45,0.035697803555194696
lift,contextual,en,v6_wide:aggression,-0.014192499247545384,15,30,45,0.035697803555194696
lift,contextual,en,v6_wide:deliberation,-0.008142596338569287,15,30,45,0.035697803555194696
lift,contextual,en,v6_wide:net,0.11296203235491661,30,15,45,0.035697803555194696
lift,contextual,en,v6full:superego,-0.014216604776503968,15,30,45,0.035697803555194696
lift,contextual,en,slot_rating_en_v6:mundanity,0.021536283908320294,29,16,45,0.07245426016254441
lift,contextual,en,v6:net_rate,0.007655989116707871,29,16,45,0.07245426016254441
lift,contextual,en,v6full:aggression,-0.019223695198083254,16,29,45,0.07245426016254441
lift,contextual,en,slot_institutional_en_v3:vocalisation,0.029574351365423544,28,17,45,0.1351564508456704
lift,contextual,en,slot_rating_en_v6:hedged,0.028719781580960863,28,17,45,0.1351564508456704
lift,contextual,en,v6_wide:makes_better,-0.026175721228372886,17,28,45,0.1351564508456704
lift,contextual,en,v6_wide:n_present,-0.02578158392210997,17,28,45,0.1351564508456704
lift,contextual,en,v6_wide:net_rate,0.007473183304819942,28,17,45,0.1351564508456704
lift,contextual,en,v6full:fit,0.026001515616609253,28,17,45,0.1351564508456704
lift,contextual,en,v6full:makes_better,-0.02233901511974075,17,28,45,0.1351564508456704
lift,contextual,en,v6:rise,-0.028982904576957916,18,27,45,0.23269319190831084
lift,contextual,en,v6_wide:fit,0.03214572773645353,27,18,45,0.23269319190831084
lift,contextual,en,v6_wide:vocalisation,0.024420946190094283,27,18,45,0.23269319190831084
lift,contextual,en,sexual_slot_en_v2:tactility,0.00946644219424579,26,19,45,0.3712980344710104
lift,contextual,en,slot_rating_en_v6:directedness,-0.023317769899776436,19,26,45,0.3712980344710104
lift,contextual,en,v6_wide:rise,-0.054183897660911806,19,26,45,0.3712980344710104
lift,contextual,en,sexual_slot_en_v2:orality,-0.0038454806409764317,20,25,45,0.5514843298025198
lift,contextual,en,slot_institutional_en_v3:procedural,-0.008744743414588394,20,25,45,0.5514843298025198
lift,contextual,en,slot_rating_en_v6:aggression,-0.0007659287780007961,20,25,45,0.5514843298025198
lift,contextual,en,slot_rating_en_v6:interiority,0.01346841961814487,25,20,45,0.5514843298025198
lift,contextual,en,v6:fit,-0.010255056505614363,20,25,45,0.5514843298025198
lift,contextual,en,slot_rating_en_v6:deliberation,0.010545144256502399,24,21,45,0.765991824244793
lift,contextual,en,v6:n_present,0.01230915479607839,24,21,45,0.765991824244793
lift,contextual,en,sexual_slot_en_v2:incorporation,-0.001309515384559933,22,23,45,1.0
lift,contextual,en,slot_rating_en_v6:fit,0.0007218472720593061,23,22,45,1.0
