dose,table,lang,target,med_slope,up,dn,n,p
lift,levels,en,k_transgressiveness,-0.06058364857420362,2,43,45,5.88897819397971e-11
lift,levels,en,k_transgressiveness_z,-0.07211937989189379,2,43,45,5.88897819397971e-11
lift,levels,en,k_vulgarity,-0.027497727618538807,3,42,45,8.654978955746628e-10
lift,levels,en,k_vulgarity_absz,-0.06737830396730346,3,42,45,8.654978955746628e-10
lift,levels,en,k_vulgarity_z,-0.06979131433812348,3,42,45,8.654978955746628e-10
lift,levels,en,k_transgressiveness_absz,-0.05213647043508254,4,41,45,9.334883088740753e-09
lift,levels,en,k_bodily_harm,-0.0542258925608126,5,40,45,7.878384167270269e-08
lift,levels,en,k_bodily_harm_z,-0.06961522357753358,5,40,45,7.878384167270269e-08
lift,levels,en,k_bodily_harm_absz,-0.061030250253304844,6,39,45,5.417768988991156e-07
lift,levels,en,brysbaert_concreteness,-0.023562131459338668,7,38,45,3.1213096463034162e-06
lift,levels,en,brysbaert_concreteness_z,-0.023454050000920476,7,38,45,3.1213096463034162e-06
lift,levels,en,k_charge,-0.04743581421381002,7,38,45,3.1213096463034162e-06
lift,levels,en,k_charge_z,-0.04240571238689969,7,38,45,3.1213096463034162e-06
lift,levels,en,k_concreteness,-0.06010507693357677,7,38,45,3.1213096463034162e-06
lift,levels,en,k_concreteness_z,-0.030490304355796433,7,38,45,3.1213096463034162e-06
lift,levels,en,k_register_level,0.015194084890996187,38,7,45,3.1213096463034162e-06
lift,levels,en,k_register_level_absz,-0.02359707580372473,7,38,45,3.1213096463034162e-06
lift,levels,en,k_register_level_z,0.017409982833536317,38,7,45,3.1213096463034162e-06
lift,levels,en,warriner_arousal_absz,-0.034329122438556015,10,35,45,0.00024708778460080794
lift,levels,en,warriner_arousal,-0.0298816527101392,11,34,45,0.0008240823595997426
lift,levels,en,warriner_arousal_z,-0.032309117600059355,11,34,45,0.0008240823595997426
lift,levels,en,warriner_valence_absz,0.012982949660713654,33,12,45,0.0024589003220967243
lift,levels,en,warriner_valence_extremity,0.019132202310904827,33,12,45,0.0024589003220967243
lift,levels,en,warriner_valence_extremity_absz,-0.012980854626895888,12,33,45,0.0024589003220967243
lift,levels,en,warriner_valence_extremity_z,0.024565329620024424,33,12,45,0.0024589003220967243
lift,levels,en,brooke_formality,0.01900020705725279,30,14,44,0.022628841205914796
lift,levels,en,brooke_formality_absz,0.009431798082235925,30,14,44,0.022628841205914796
lift,levels,en,brooke_formality_z,0.0212124181384996,30,14,44,0.022628841205914796
lift,levels,en,k_charge_absz,-0.004874064633390421,15,30,45,0.035697803555194696
lift,levels,en,k_concreteness_absz,-0.005019781515138194,15,30,45,0.035697803555194696
lift,levels,en,k_valence_absz,-0.010253319763241458,16,29,45,0.07245426016254441
lift,levels,en,warriner_dominance_absz,-0.0032414648364221,17,28,45,0.1351564508456704
lift,levels,en,warriner_valence,0.017485068039566856,27,18,45,0.23269319190831084
lift,levels,en,warriner_valence_z,0.013136256524578272,27,18,45,0.23269319190831084
lift,levels,en,brysbaert_concreteness_absz,0.003287347167438605,25,20,45,0.5514843298025198
lift,levels,en,k_valence,0.001189824727265698,23,22,45,1.0
lift,levels,en,k_valence_z,0.001208166571083108,23,22,45,1.0
lift,levels,en,warriner_dominance,0.0019629028403487423,23,22,45,1.0
lift,levels,en,warriner_dominance_z,0.0020263744796968994,23,22,45,1.0
