base,sft,pref,pref_op,n_prompts_sexual,js_sft_sexual,js_pref_sexual,share_sexual,n_prompts_violent,js_sft_violent,js_pref_violent,share_violent,diff
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,dpo,335,7.113e-05,7.82e-05,0.909542,962,0.00026324,0.00025353,1.038269,-0.128727
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,dpo,262,0.00259159,0.00282348,0.917871,1087,0.00261223,0.00364604,0.716457,0.201414
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,apo,280,0.00153912,0.00152596,1.008623,1097,0.00314066,0.00334843,0.937952,0.070671
LLM360/Amber,LLM360/AmberChat,LLM360/AmberSafe,dpo,487,0.00160912,0.00363983,0.442086,1042,0.00414999,0.00820947,0.505513,-0.063427
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,rlhf,285,0.00174505,0.00247403,0.705349,1110,0.00461852,0.00659217,0.700607,0.004742
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,dpo,195,0.00103584,0.00163207,0.634683,1062,0.0024041,0.00362131,0.663874,-0.029191
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,dpo,214,0.00326081,0.00350623,0.930004,986,0.00710633,0.00855937,0.83024,0.099764
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,dpo,256,0.00139917,0.0016624,0.841653,988,0.00422453,0.00572767,0.737565,0.104088
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,dpo,215,0.00453184,0.00488683,0.927358,937,0.00603941,0.00789899,0.764579,0.162779
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-7B-Think-DPO,dpo,204,0.00479909,0.00478684,1.00256,946,0.00504989,0.00511101,0.98804,0.01452
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,dpo,228,0.00396786,0.00409223,0.969608,979,0.00607453,0.007537,0.805961,0.163647
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,dpo,233,0.00511684,0.00508832,1.005605,989,0.00297689,0.00334705,0.889407,0.116198
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,rlhf,171,0.00096993,0.00098833,0.98139,985,0.00308414,0.0023877,1.291677,-0.310287
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,dpo,279,0.00199208,0.00207544,0.959835,1027,0.00533074,0.00568603,0.937516,0.022319
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,dpo,299,0.00011461,0.00028695,0.399417,1014,0.0004183,0.00076948,0.543614,-0.144197
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,dpo,219,0.00135768,0.00143844,0.943858,965,0.0029016,0.00321537,0.902415,0.041443
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,dpo,147,0.0028649,0.00332812,0.860816,943,0.00366045,0.00393724,0.929698,-0.068882
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,dpo,278,0.00121221,0.00127438,0.951208,1094,0.00188997,0.00205746,0.918595,0.032613
