base,excess_sexual_sft,excess_sexual_pref,excess_violent_sft,excess_violent_pref,A_diff,B_diff
EleutherAI/pythia-2.8b,0.0040028894,0.034835418,-0.023197942,0.005729341,-0.030832528,0.028927283
EleutherAI/pythia-6.9b,0.0090253919,0.083370185,0.017993152,0.10872415,-0.074344793,0.090730995
HuggingFaceTB/SmolLM3-3B-Base,-0.014239706,0.05889902,-0.0083152572,0.06621109,-0.073138726,0.074526347
LLM360/Amber,0.20018441,0.15775617,0.04350793,0.042564217,0.042428235,-0.00094371303
allenai/OLMo-2-0425-1B,0.19734395,0.11387302,0.047464316,0.023504042,0.083470933,-0.023960274
allenai/OLMoE-1B-7B-0125,0.14698859,0.19692102,0.053306718,0.024240202,-0.049932433,-0.029066517
allenai/Olmo-3-1025-7B,0.18636614,-0.045036344,0.061892017,0.0040940302,0.23140248,-0.057797987
allenai/Olmo-3-1125-32B,0.30844099,0.028340127,0.066656671,-0.015628328,0.28010087,-0.082284999
allenai/Olmo-Hybrid-7B,0.30842849,-0.0049992972,0.062273604,0.02961208,0.31342779,-0.032661524
huggyllama/llama-7b,0.075055314,-0.0051496068,0.13796522,-0.025027325,0.080204921,-0.16299254
internlm/internlm2-base-7b,-0.11678191,-0.066915972,0.11631801,-0.078448452,-0.049865942,-0.19476646
llm-jp/llm-jp-3-7.2b,0.061812167,0.07525459,0.017923674,0.026590617,-0.013442423,0.008666943
m-a-p/CT-LLM-Base,0.29797998,0.10023835,-0.13734275,0.019771699,0.19774163,0.15711444
m-a-p/neo_7b,0.086950712,0.094590377,-0.15729829,0.066733671,-0.0076396648,0.22403196
meta-llama/Llama-3.1-8B,0.22060658,0.13656416,0.077363377,-0.028120164,0.084042419,-0.10548354
mistralai/Mistral-7B-v0.1,0.17663998,-0.023444303,-0.031802582,0.0048745345,0.20008428,0.036677117
