base,sft,pref,pref_op,n_prompts,js_base_sft,js_base_pref,share
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,dpo,2599,0.007085,0.007238,0.978888
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,HuggingFaceH4/zephyr-7b-beta,dpo,2599,0.066649,0.101526,0.656469
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints@it-soup-APO,apo,2579,0.102334,0.111059,0.921439
LLM360/Amber,LLM360/AmberChat,LLM360/AmberSafe,dpo,2597,0.133416,0.30463,0.43796
huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,rlhf,2599,0.13392,0.207169,0.64643
meta-llama/Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,dpo,2598,0.05704,0.119808,0.476098
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,allenai/OLMo-2-0425-1B-DPO,dpo,2599,0.156554,0.214897,0.728507
allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-SFT,allenai/OLMoE-1B-7B-0125-DPO,dpo,2599,0.092078,0.149812,0.614622
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,dpo,2599,0.156862,0.202827,0.773379
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Think-SFT,allenai/Olmo-3-7B-Think-DPO,dpo,4393,0.14167,0.149141,0.949903
allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,allenai/Olmo-3.1-32B-Instruct-DPO,dpo,2584,0.148326,0.189041,0.784621
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-SFT-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,dpo,2599,0.090686,0.10618,0.854077
internlm/internlm2-base-7b,internlm/internlm2-chat-7b-sft,internlm/internlm2-chat-7b,rlhf,2579,0.065767,0.05646,1.164846
llm-jp/llm-jp-3-7.2b,llm-jp/llm-jp-3-7.2b-instruct2,llm-jp/llm-jp-3-7.2b-instruct3,dpo,2579,0.182286,0.197152,0.924597
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-sft,lomahony/eleuther-pythia6.9b-hh-dpo,dpo,2599,0.009634,0.015158,0.635585
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,dpo,2598,0.084083,0.088773,0.947168
m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,dpo,2599,0.107459,0.120549,0.891407
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,dpo,2579,0.06397,0.0681,0.939358
