base,pref,domain,n_prompts,js_base_sft,js_base_pref,share
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,animal,100,0.008449,0.008132,1.039031
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,banking,14,0.009147,0.013544,0.675365
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,benefits,14,0.008475,0.010072,0.841413
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,betrayal,204,0.007734,0.007232,1.069453
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,civic,14,0.007848,0.008496,0.923706
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,class,30,0.011581,0.014459,0.800923
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,consumer,14,0.008445,0.010586,0.797691
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,contradiction,131,0.006855,0.007204,0.95161
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,death,13,0.004964,0.005469,0.907605
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,disaster,1,0.003635,0.005073,0.716518
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,education,14,0.005679,0.007246,0.783834
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,housing,42,0.007419,0.008167,0.908415
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,identity,4,0.020207,0.021983,0.919196
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,immigration,14,0.008656,0.010532,0.821916
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,institutional,93,0.008671,0.00918,0.944505
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,insurance,14,0.011228,0.017366,0.64654
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,labor,56,0.007813,0.009353,0.835336
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,medical,28,0.008209,0.008507,0.964941
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,neutral,205,0.005985,0.006051,0.989215
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,other,160,0.006714,0.007046,0.952891
