ladder,rung,model,rate,se,scenes,passages,source
pythia-2.8b,base,EleutherAI/pythia-2.8b,19.444,1.989,396,678,Y
pythia-2.8b,rung 1,ContextualAI/archangel_sft_pythia2-8b,21.609,1.973,435,680,superego_stages
pythia-2.8b,rung 2,ContextualAI/archangel_sft-dpo_pythia2-8b,20.667,1.909,450,679,Y
pythia-6.9b,base,EleutherAI/pythia-6.9b,20.519,1.961,424,680,Y
pythia-6.9b,rung 1,lomahony/eleuther-pythia6.9b-hh-sft,25.858,2.095,437,680,superego_stages
pythia-6.9b,rung 2,lomahony/eleuther-pythia6.9b-hh-dpo,34.554,2.275,437,680,Y
Amber,base,LLM360/Amber,8.557,1.383,409,628,Y
Amber,rung 1,LLM360/AmberChat,19.014,1.901,426,644,superego_stages
Amber,rung 2,LLM360/AmberSafe,48.276,3.093,261,634,Y
OLMo-2-1B,base,allenai/OLMo-2-0425-1B,10.029,1.632,339,675,Y
OLMo-2-1B,rung 1,allenai/OLMo-2-0425-1B-SFT,27.119,2.588,295,678,superego_stages
OLMo-2-1B,rung 2,allenai/OLMo-2-0425-1B-DPO,27.374,2.357,358,679,Y
OLMo-2-1B,RLVR,allenai/OLMo-2-0425-1B-Instruct,30.058,2.465,346,675,superego_stages
OLMoE,base,allenai/OLMoE-1B-7B-0125,21.447,2.086,387,678,Y
OLMoE,rung 1,allenai/OLMoE-1B-7B-0125-SFT,24.185,2.232,368,678,superego_stages
OLMoE,rung 2,allenai/OLMoE-1B-7B-0125-DPO,25.532,2.120,423,680,Y
OLMoE,RLVR,allenai/OLMoE-1B-7B-0125-Instruct,28.538,2.175,431,680,superego_stages
Olmo-3-7B,base,allenai/Olmo-3-1025-7B,20.802,2.032,399,645,Y
Olmo-3-7B,rung 1,allenai/Olmo-3-7B-Instruct-SFT,20.522,2.467,268,632,superego_stages
Olmo-3-7B,rung 2,allenai/Olmo-3-7B-Instruct-DPO,14.497,1.915,338,645,Y
Olmo-3-7B,RLVR,allenai/Olmo-3-7B-Instruct,21.591,2.193,352,646,superego_stages
CT-LLM,base,m-a-p/CT-LLM-Base,5.926,1.437,270,666,Y
CT-LLM,rung 1,m-a-p/CT-LLM-SFT,21.914,2.298,324,677,superego_stages
CT-LLM,rung 2,m-a-p/CT-LLM-SFT-DPO,20.775,2.407,284,676,Y
neo,base,m-a-p/neo_7b,22.222,2.573,261,675,Y
neo,rung 1,m-a-p/neo_7b_sft_v0.1,17.925,2.634,212,677,superego_stages
neo,rung 2,m-a-p/neo_7b_instruct_v0.1,26.744,2.756,258,678,Y
Tulu,base,meta-llama/Llama-3.1-8B,14.653,1.793,389,670,Y
Tulu,rung 1,allenai/Llama-3.1-Tulu-3-8B-SFT,23.964,2.322,338,617,superego_stages
Tulu,rung 2,allenai/Llama-3.1-Tulu-3-8B-DPO,27.765,2.172,425,676,superego_stages
beaver,base,huggyllama/llama-7b,18.408,1.933,402,677,superego_stages
beaver,rung 1,PKU-Alignment/alpaca-7b-reproduced,8.511,1.287,470,679,superego_stages
beaver,rung 2,PKU-Alignment/beaver-7b-v1.0,9.032,1.329,465,680,superego_stages
