lineage,language,n_base,n_aligned,median_base,median_aligned,iqr_base,iqr_aligned,iqr_narrows,q1_delta,q2_delta,q3_delta,q4_delta,q5_delta,S_toward_middle
Amber,en,931,988,45500.0,70000.0,63700.0,35000.0,1,-0.1822068908535074,-0.14550111542592747,0.019086176980913833,0.2604932661323639,0.04812856316615713,0
Amber,zh,420,448,60000.0,105000.0,233900.0,85000.0,1,-0.19062500000000002,-0.17708333333333331,0.10818452380952384,0.4197916666666667,-0.16026785714285716,1
CT-LLM-Base,en,945,994,45000.0,80000.0,104000.0,73000.0,1,-0.15118861316044416,-0.12003875102466653,0.10307772561293688,0.19960503763320664,-0.03145539906103287,1
CT-LLM-Base,zh,426,415,37500.0,108781.0,104373.0,157000.0,0,-0.17302449233553935,-0.07701227444991234,-0.040183268284405216,0.13287516262232027,0.15734487244753662,0
Falcon3-7B-Base,en,875,909,50000.0,56600.0,40000.0,30000.0,1,-0.15701021530724502,-0.034983498349834996,0.030008486562942027,0.06055508407983656,0.10143014301430142,0
Falcon3-7B-Base,zh,479,494,60000.0,60000.0,64175.0,40000.0,1,-0.09901278811288701,0.07906147253471721,0.02200096354584874,0.002075004437382205,-0.00412465240506113,1
Llama-3.1-8B,en,900,912,60470.0,60000.0,83150.65,50000.0,1,-0.059517543859649136,0.0488157894736842,0.0960672514619883,-0.014751461988304099,-0.0706140350877193,1
Llama-3.1-8B,zh,492,497,50000.0,60000.0,55000.0,36670.0,1,-0.0985833701395364,-0.10459913955276373,0.10112299815151068,0.16450736941977065,-0.06244785787898119,1
Lucie-7B,en,960,994,49000.0,51.5,49200.0,63.0,1,0.7527162977867203,-0.16202842052313884,-0.2004988262910798,-0.1931715291750503,-0.19701752179745138,0
Lucie-7B,zh,396,421,15000.0,30000.0,68518.0,57000.0,1,-0.049851244031766606,-0.06127786175292113,0.09519182322032677,0.026908035221574395,-0.010970752657213478,1
MiniCPM5-1B-Base,en,994,983,59000.0,60000.0,45000.0,50000.0,0,-0.05271609309979919,0.09465644323724648,-0.10949317471461525,-0.02015142738424444,0.08770425196141243,0
MiniCPM5-1B-Base,zh,475,481,70000.0,72000.0,168713.0,152000.0,1,-0.08968158441842652,-0.01881168618010723,0.08237662763978557,0.022400700295437143,0.0037159426633111003,0
Mistral-7B-v0.1,en,922,954,75000.0,80000.0,89000.0,124000.0,0,-0.13023824790697464,0.03227192731142309,0.08522171744043805,-0.02769478437632164,0.040439387531435195,0
Mistral-7B-v0.1,zh,456,452,66000.0,50000.0,109060.0,69500.0,1,0.021638720695544178,-0.024957304766340643,0.25640428504890544,-0.0690304300574445,-0.18405527092066448,0
OLMo-2-0425-1B,en,898,981,58218.0,60000.0,96950.0,80000.0,1,0.06477867908978838,-0.0909961881539904,-0.04679557471694944,0.18885097475645274,-0.11583789097530132,0
OLMo-2-0425-1B,zh,450,468,4069.67,10000.0,49716.0,124920.0,0,0.19324786324786325,-0.11829059829059829,-0.1723931623931624,-0.09743589743589745,0.19487179487179487,0
OLMoE-1B-7B-0125,en,914,934,60000.0,70000.0,64061.0,50000.0,1,-0.16267530069956282,0.08888383883346845,0.019501543911273123,0.09612077650068643,-0.041830858545865185,1
