lineage,upper_base,upper_aligned,middle_base,middle_aligned,working_base,working_aligned,gap_base,gap_aligned,narrows
Amber,49800.0,79125.0,43563.0,60000.0,29333.0,50000.0,20467.0,29125.0,0
CT-LLM-Base,49500.0,120000.0,45000.0,60000.0,20500.0,50000.0,29000.0,70000.0,0
Falcon3-7B-Base,58719.0,116000.0,50000.0,50000.0,10825.0,30000.0,47894.0,86000.0,0
Llama-3.1-8B,95500.0,150000.0,58186.5,55375.0,35238.0,41258.0,60262.0,108742.0,0
Lucie-7B,75000.0,65.0,50000.0,45.0,44825.0,48.0,30175.0,17.0,1
MiniCPM5-1B-Base,83000.0,82000.0,57000.0,56400.0,26075.0,36000.0,56925.0,46000.0,1
Mistral-7B-v0.1,20000.0,44886.0,50149.0,56152.0,22000.0,33000.0,-2000.0,11886.0,0
OLMo-2-0425-1B,70201.5,50000.0,58218.0,37922.5,29000.0,5000.0,41201.5,45000.0,0
OLMoE-1B-7B-0125,30000.0,100000.0,26682.0,50000.0,21954.0,40374.0,8046.0,59626.0,0
Olmo-3-1025-7B,80000.0,120000.0,50000.0,65000.0,8000.0,25000.0,72000.0,95000.0,0
Qwen2.5-0.5B,62000.0,40536.0,40000.0,40000.0,25000.0,30000.0,37000.0,10536.0,1
Qwen2.5-7B,62500.0,150000.0,45125.0,50000.0,35000.0,40000.0,27500.0,110000.0,0
Qwen3-8B-Base,55104.5,70000.0,50000.0,45000.0,17810.0,22000.0,37294.5,48000.0,0
SmolLM2-360M,52500.0,82050.0,50000.0,60000.0,30075.0,30000.0,22425.0,52050.0,0
SmolLM3-3B-Base,50000.0,59038.0,38997.0,52750.0,28881.0,38344.0,21119.0,20694.0,1
TinyLlama-1.1B-intermediate-step-1431k-3T,100000.0,123000.0,62800.0,60000.0,34156.0,35908.0,65844.0,87092.0,0
Yi-1.5-9B,12500.0,10000.0,16250.0,3772.0,5031.0,2260.0,7469.0,7740.0,0
bloom-7b1,92500.0,71500.0,47100.0,45300.0,22750.0,22000.0,69750.0,49500.0,1
gemma-2-9b,68574.0,200000.0,45732.0,60000.0,33232.0,35000.0,35342.0,165000.0,0
glm-4-9b-hf,100000.0,155000.0,50500.0,52000.0,33800.5,39454.0,66199.5,115546.0,0
granite-3.0-8b-base,66698.5,55000.0,30000.0,38500.0,20000.0,30000.0,46698.5,25000.0,1
kanana-1.5-8b-base,5000.0,100000.0,34500.0,52000.0,5700.0,23220.0,-700.0,76780.0,0
llama-7b,75276.5,113000.0,57965.5,61657.0,36324.0,37655.0,38952.5,75345.0,0
llm-jp-3-7.2b,89826.5,92000.0,57385.5,60000.0,37000.0,10750.0,52826.5,81250.0,0
neo_7b,35550.0,100.0,10000.0,30.0,8000.0,30.0,27550.0,70.0,1
pythia-2.8b,68000.0,75000.0,50000.0,50000.0,30000.0,31000.0,38000.0,44000.0,0
salamandra-7b,170934.0,171321.5,48005.0,50097.0,20539.575,37042.5,150394.425,134279.0,1
stablelm-2-1_6b,55000.05,125000.0,44078.0,45000.0,29000.0,30000.0,26000.050000000003,95000.0,0
