lineage,upper_base,upper_aligned,middle_base,middle_aligned,working_base,working_aligned,gap_base,gap_aligned,narrows
Amber,44800.0,78750.0,44539.0,60000.0,26680.0,50000.0,18120.0,28750.0,0
Lucie-7B,80000.0,65.0,50000.0,45.0,40000.0,48.0,40000.0,17.0,1
Qwen2.5-0.5B,60000.0,45000.0,30000.0,40000.0,25000.0,30000.0,35000.0,15000.0,1
Qwen2.5-7B,58000.0,140000.0,40000.0,50000.0,25000.0,39250.0,33000.0,100750.0,0
Qwen3-8B-Base,25000.0,50000.0,29500.0,40000.0,7400.0,16000.0,17600.0,34000.0,0
SmolLM2-360M,50000.0,78634.5,50000.0,60000.0,30000.0,30000.0,20000.0,48634.5,0
SmolLM3-3B-Base,35440.0,50000.0,33920.0,50000.0,28609.0,36506.0,6831.0,13494.0,0
TinyLlama-1.1B-intermediate-step-1431k-3T,100000.0,120000.0,62800.0,60000.0,33418.0,32680.0,66582.0,87320.0,0
Yi-1.5-9B,11305.5,5000.0,12573.0,3506.5,5000.0,2000.0,6305.5,3000.0,1
bloom-7b1,80000.0,61650.0,47550.0,44650.0,21778.0,21556.0,58222.0,40094.0,1
gemma-2-9b,62160.0,200000.0,34875.0,60000.0,30227.5,35000.0,31932.5,165000.0,0
granite-3.0-8b-base,17200.0,35000.0,14400.0,34800.0,14292.0,19500.0,2908.0,15500.0,0
kanana-1.5-8b-base,6000.0,60000.0,22000.0,50000.0,4935.5,17000.0,1064.5,43000.0,0
llama-7b,67549.5,109094.0,59625.5,61657.0,32212.5,37655.0,35337.0,71439.0,0
pythia-2.8b,64000.0,75000.0,50000.0,51500.0,30000.0,31000.0,34000.0,44000.0,0
salamandra-7b,154036.0,160837.0,46902.0,50000.0,22106.0,37096.0,131930.0,123741.0,1
