pair,n_items,cos_bare_A_mean,cos_bare_A_median,cos_framed_B_mean,cos_framed_B_median,pearson_mean,pearson_median,spearman_mean,spearman_median,purity_generic_mean,purity_generic_median,purity_mixed_mean,purity_mixed_median
POOLED(12 pairs),86,0.15493218879063808,0.12035925686359406,0.2963834401371694,0.2854020595550537,0.7404695388148813,0.8874896764755249,0.6513681067677963,0.745054945054945,0.8160572298838192,0.8973684210526316,0.8902256766960849,1.0
immoral-moral,86,0.10357818555094973,0.08500783890485764,0.225732879978803,0.19214557111263275,0.6908818102934782,0.8489327430725098,0.6071973628678831,0.7362637362637362,0.6999444551396635,0.7,0.8424888205289962,0.9258241758241759
obscene-decent,86,0.09751662241022893,0.08807343617081642,0.22707556834617673,0.2091938927769661,0.6908086100921912,0.8651735782623291,0.6066903764575449,0.7333333333333332,0.6610246978164036,0.6666666666666666,0.8589900530546006,0.9375
vulgar-polite,86,0.08647318848205371,0.08724479749798775,0.24106093755988187,0.22361300885677338,0.6712203507914263,0.8576115369796753,0.5816087929826064,0.6941176470588235,0.7746814002011461,0.8333333333333334,0.8569927215307552,0.9467787114845938
naughty-nice,86,0.11547804442146349,0.09950289502739906,0.22648736921702187,0.19551315158605576,0.6694806148900705,0.8675731420516968,0.584630583212397,0.709090909090909,0.7489054803345788,0.8,0.8509924760262256,1.0
violent-gentle,86,0.147586528605749,0.13613242655992508,0.28168397214328655,0.2661639153957367,0.6560091058121008,0.7774214744567871,0.6114414970866476,0.7428571428571428,0.733611300989712,0.788888888888889,0.8493666475743119,0.9
indecent-proper,86,0.08339654407491041,0.07131620869040489,0.21527138669152074,0.18821720778942108,0.6552820686908329,0.8331088423728943,0.5766213086874328,0.7307692307692307,0.592345549397443,0.5590277777777778,0.8399234459470977,0.9128787878787878
bad-good,86,0.13080203548062938,0.08876197040081024,0.24249758915217637,0.2109169140458107,0.5968675916685777,0.8113800287246704,0.5275132059858054,0.7166666666666667,0.7209090997601691,0.788888888888889,0.7992404523800772,0.9
vice-virtue,86,0.03522022293073797,0.038931647315621376,0.15407540994428293,0.11578980088233948,0.553760099148049,0.7523396015167236,0.48318261181244093,0.6936274509803922,0.6863337870519813,0.7072649572649572,0.7791477192158486,0.8708333333333333
dirty-clean,86,0.07477314020019718,0.06960174813866615,0.18012416193824868,0.16393321007490158,0.5426475240027203,0.732621431350708,0.46886053843502795,0.6333333333333333,0.7067189857086539,0.7142857142857143,0.781146806769602,0.8798076923076923
taboo-acceptable,86,0.03955349322478829,0.025208858773112297,0.13260182620674746,0.11781283840537071,0.49126494443591906,0.7279424667358398,0.43367465422210344,0.6208791208791209,0.604178193497529,0.5916666666666667,0.7489386414579013,0.8257575757575758
offensive-inoffensive,86,0.009680339290224405,0.017344899475574493,0.11421875067347617,0.07830106467008591,0.34244216741884453,0.49707287549972534,0.3224370911170972,0.532967032967033,0.594582029657449,0.6,0.6804444377631792,0.7272727272727273
explicit-innocent,86,-0.006803199669162115,-0.015555826015770435,0.04824172047394609,0.044302092865109444,0.20914767989340952,0.3810694217681885,0.18343057454318568,0.3205882352941176,0.5382247245414296,0.5,0.6184547534282976,0.6961538461538461
