pid,model,arm,pair,prompt,sample_idx,narrative_A,drift_A,drift_B,degree_A,mode_A,n_sents,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_pairwise,ordering
p000000,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,9,False,UNMOORED,UNMOORED,0,NONE,6,0.556038,0.606977,0.036952,0.606977,2.780189,0.218322,0.512245,0.043792
p000001,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,12,False,HOLDS,SHIFTS,1,TOLD,18,0.508177,0.702446,0.082558,0.744443,8.639012,0.086172,0.558223,-0.050046
p000002,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,13,False,HOLDS,HOLDS,2,TOLD,12,0.508084,0.605716,0.076285,0.713462,5.588926,0.127656,0.554723,-0.046639
p000003,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,14,True,SHIFTS,SHIFTS,3,SHOWN,13,0.454681,0.66923,0.118748,0.66923,5.456168,0.122656,0.500399,-0.045718
p000004,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,16,True,HOLDS,HOLDS,2,TOLD,20,0.495254,0.623942,0.079403,0.678559,9.409824,0.072112,0.509635,-0.014381
p000005,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her and despised her and wanted to,17,True,HOLDS,HOLDS,2,TOLD,16,0.492164,0.576177,0.073939,0.725399,7.382456,0.09826,0.528812,-0.036649
p000006,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,0,True,SHIFTS,UNMOORED,1,TOLD,14,0.478761,0.59523,0.081906,0.654393,6.223895,0.105142,0.526082,-0.047321
p000007,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,1,True,SHIFTS,SHIFTS,2,TOLD,11,0.514087,0.657222,0.076233,0.664959,5.140867,0.129348,0.517568,-0.003481
p000008,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,3,False,SHIFTS,UNMOORED,1,TOLD,16,0.475988,0.604714,0.087046,0.678707,7.139818,0.095059,0.521115,-0.045128
p000009,01-ai/Yi-1.5-9B,base,01-ai/Yi-1.5-9B,He hated her deeply and wanted to,9,False,HOLDS,HOLDS,3,TOLD,2,,,,,,,,
