01-ai/Yi-1.5-9B 01-ai/Yi-1.5-9B-Chat
BSC-LT/salamandra-7b BSC-LT/salamandra-7b-instruct
EleutherAI/pythia-2.8b ContextualAI/archangel_sft-dpo_pythia2-8b
EleutherAI/pythia-6.9b lomahony/eleuther-pythia6.9b-hh-dpo
HuggingFaceTB/SmolLM2-360M HuggingFaceTB/SmolLM2-360M-Instruct
HuggingFaceTB/SmolLM3-3B-Base HuggingFaceTB/SmolLM3-3B
LLM360/Amber LLM360/AmberSafe
OpenLLM-France/Lucie-7B OpenLLM-France/Lucie-7B-Instruct-v1.1
Qwen/Qwen2.5-0.5B Qwen/Qwen2.5-0.5B-Instruct
Qwen/Qwen2.5-7B Qwen/Qwen2.5-7B-Instruct
Qwen/Qwen3-8B-Base Qwen/Qwen3-8B
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T TinyLlama/TinyLlama-1.1B-Chat-v1.0
allenai/OLMo-2-0425-1B allenai/OLMo-2-0425-1B-Instruct
allenai/OLMoE-1B-7B-0125 allenai/OLMoE-1B-7B-0125-Instruct
allenai/Olmo-3-1025-7B allenai/Olmo-3-7B-Instruct
bigscience/bloom-7b1 bigscience/bloomz-7b1
croissantllm/CroissantLLMBase croissantllm/CroissantLLMChat-v0.1
deepseek-ai/deepseek-llm-7b-base deepseek-ai/deepseek-llm-7b-chat
google/gemma-2-9b google/gemma-2-9b-it
google/recurrentgemma-9b google/recurrentgemma-9b-it
huggyllama/llama-7b PKU-Alignment/beaver-7b-v1.0
ibm-granite/granite-3.0-8b-base ibm-granite/granite-3.0-8b-instruct
kakaocorp/kanana-1.5-8b-base kakaocorp/kanana-1.5-8b-instruct-2505
kakaocorp/kanana-2-3b-base kakaocorp/kanana-2-3b-instruct
llm-jp/llm-jp-3-7.2b llm-jp/llm-jp-3-7.2b-instruct3
m-a-p/CT-LLM-Base m-a-p/CT-LLM-SFT-DPO
m-a-p/neo_7b m-a-p/neo_7b_instruct_v0.1
meta-llama/Llama-3.1-8B meta-llama/Llama-3.1-8B-Instruct
mistralai/Mistral-7B-v0.1 mistralai/Mistral-7B-Instruct-v0.1
openGPT-X/Teuken-7B-base-v0.6 openGPT-X/Teuken-7B-instruct-v0.6
openbmb/MiniCPM5-1B-Base openbmb/MiniCPM5-1B
stabilityai/stablelm-2-1_6b stabilityai/stablelm-2-1_6b-chat
team-hatakeyama-phase2/Tanuki-8B-base-v1.0 weblab-GENIAC/Tanuki-8B-dpo-v1.0
tiiuae/Falcon3-7B-Base tiiuae/Falcon3-7B-Instruct
tiiuae/falcon-mamba-7b tiiuae/falcon-mamba-7b-instruct
togethercomputer/RedPajama-INCITE-Base-7B-v0.1 togethercomputer/RedPajama-INCITE-7B-Chat
zai-org/glm-4-9b-hf zai-org/glm-4-9b-chat-hf
