text,basic_idx,orig_idx,n_paras,jaccard,basic_words,orig_words,basic,original
anderson.little-match-girl,0-0,0-0,1,,263,185,"It was cruelly cold and nearly dark in the last day of the old year, and the snow was quickly falling. In the cold and the dark, a poor little girl, without a hat and shoes, was walking about through the streets. It is true she had had slippers on when she came out of her living place, but they were not of much use. Their size was so great that their owner was in fact her mother, And they came off when the poor little thing was running across the street to keep away from two carriages that were moving at a violently quick rate. She had no idea where one of the slippers had gone, and a boy took the other and went running away with it and saying that he might make it a baby-bed, when he had his babies. So the little girl went on with her little uncovered feet, which were quite red and blue with the coldest in an old dust-skirt she had a great number of matches, and had a parcel of them in her hands. After the walk of all day, no one had got a match from her, and no one had given her the smallest amount of money. Shaking with cold and in strong need for food, she went walking slowly like a worm; The poor little girl was the picture of very sad existence. Feather-like snow was falling on her long, beautiful hair, which was hanging in rings and waves on her upper arms, but she did not give attention to them.","It was so terribly cold. Snow was falling, and it was almost dark. Evening came on, the last evening of the year. In the cold and gloom a poor little girl, bareheaded and barefoot, was walking through the streets. Of course when she had left her house she'd had slippers on, but what good had they been? They were very big slippers, way too big for her, for they belonged to her mother. The little girl had lost them running across the road, where two carriages had rattled by terribly fast. One slipper she'd not been able to find again, and a boy had run off with the other, saying he could use it very well as a cradle some day when he had children of his own. And so the little girl walked on her naked feet, which were quite red and blue with the cold. In an old apron she carried several packages of matches, and she held a box of them in her hand. No one had bought any from her all day long, and no one had given her a cent."
anderson.little-match-girl,1-2,2-3,2,,461,227,"Lights were coming out of every window, and there was a good smell coming out of the meat of a great water bird cooked in the oven, for it was the last day of the year. Yes, she saw it was the day. She got herself down between two houses, one of which was greater than the other and coming out to the street. So the two walls made an angle, where she made herself folded low. She put her little feet under her, but it was not possible to keep off the cold; And fear kept her from going back to her living place, for she had done no trade today, and had no money. Her father would certainly give her blows; and it was almost as cold there as here, for they had only the roof over them, through which the wind made a crying sound, though the greatest holes had been stopped up with dried grass and old cloths. Her little hands were like ice from the cold. Ah! She said to herself, probably a burning match might do some good, if it was possible for her to take it out of the parcel and give it a quick rub against the wall, only to make her fingers warm. She took one out - and brush! How it gave out soft bursts, burning! It gave a warm, bright rays, like a little wax-light, as she kept her hand over it. It was truly an uncommon light. It seemed to the little girl that she was seated by a great iron heater, with polished brass feet and a brass ornament. How the fire was burning! And it seemed so beautiful and warm that the girl had her feet stretched out as if to make them warm, when, sadly, the flame of the match went out, the heater went out of view, and she had in her hand only what had been a match, half-burned. She put another match on the wall and gave it a rub. With a burst the match went into a flame, and its light came upon the wall, where it went as white as a thin curtain, and she was able to see into the room. The table was covered with a snow-white cloth, on which was put together beautifully cooked meal, with the meat of a water bird, steaming hot and round with apples and dried fruits inside. And what was still more surprising, the waterfowl, the bird meat, made a jump down from the plate and made a baby-like walk across the floor, with a knife and fork in its chest, to the little girl. Then the match went out, and there was nothing but the thick, wet and cold wall before her.","In a corner formed by two houses, one of which projected farther out into the street than the other, she sat down and drew up her little feet under her. She was getting colder and colder, but did not dare to go home, for she had sold no matches, nor earned a single cent, and her father would surely beat her. Besides, it was cold at home, for they had nothing over them but a roof through which the wind whistled even though the biggest cracks had been stuffed with straw and rags. Her hands were almost dead with cold. Oh, how much one little match might warm her! If she could only take one from the box and rub it against the wall and warm her hands. She drew one out. R-r-ratch! How it sputtered and burned! It made a warm, bright flame, like a little candle, as she held her hands over it; but it gave a strange light! It really seemed to the little girl as if she were sitting before a great iron stove with shining brass knobs and a brass cover. How wonderfully the fire burned! How comfortable it was! The youngster stretched out her feet to warm them too; then the little flame went out, the stove vanished, and she had only the remains of the burnt match in her hand."
anderson.little-match-girl,3-4,4-5,2,,167,244,"She had another match lighted, and then she saw herself seated under a beautiful Christmas-tree. It was greater and more beautifully ornamented than the one which she had seen through the glass door at the great house of the businessman. Great numbers of waxed threads were burning upon the green branches, and colored pictures, like those she had seen in the store windows, were looking down upon it all. The little one put her hand stretched out to them, and the match went out. The Christmas lights went higher and higher, till they were like the stars in the sky. Then she saw a star falling, with a bright tail of fire in the back. "" Someone is going to death, "" the little girl said to herself, for her mother's mother, the only one who had ever given love to her, but now dead, had said to her that when there was a starfall, someone gave up the body and went up to the Great One.","She struck another match against the wall. It burned brightly, and when the light fell upon the wall it became transparent like a thin veil, and she could see through it into a room. On the table a snow-white cloth was spread, and on it stood a shining dinner service. The roast goose steamed gloriously, stuffed with apples and prunes. And what was still better, the goose jumped down from the dish and waddled along the floor with a knife and fork in its breast, right over to the little girl. Then the match went out, and she could see only the thick, cold wall. She lighted another match. Then she was sitting under the most beautiful Christmas tree. It was much larger and much more beautiful than the one she had seen last Christmas through the glass door at the rich merchant's home. Thousands of candles burned on the green branches, and colored pictures like those in the printshops looked down at her. The little girl reached both her hands toward them. Then the match went out. But the Christmas lights mounted higher. She saw them now as bright stars in the sky. One of them fell down, forming a long line of fire. ""Now someone is dying,"" thought the little girl, for her old grandmother, the only person who had loved her, and who was now dead, had told her that when a star fell down a soul went up to God."
anderson.little-match-girl,5-6,8-9,2,,305,132,"Again she gave a rub to a match, and the light came moving round her. In the bright ring, on her feet, was the kind old woman, giving out clear lights, but still looking soft and full of love. "" Grandmother, "" the little one gave a cry, "" Oh ! Take me with you. I'm certain you'll go away when the match's out. You'll be out of view like the warm heater, the cooked fowl, and the great, beautiful Christmas tree. "" And she quickly put light to all the matches in the parcel, because she had a strong desire to keep the woman there. And the matches gave a great light that was brighter than the light in the middle of the day, and the woman had never been looking so great or so beautiful. She took the little girl in her arms, and the two went, bright and happy, far and far up and away from the earth, to the place where there was no need for food, no cold, no pain, because they were with the Great One. In the early morning, there on the earth, was the poor little one, her mouth smiling and the sides of her face white, with her weight against the wall; Her body was hard from the cold in the last night of the year; And the New Year's sun came up and put light upon a little body, now dead! The girl was still in a seated position, with her hard body and the matches in her hand, one parcel of which was burned. "" She made attempts to make herself warm, "" said some. They had no idea what beautiful things she had seen, and no idea what a great light she had gone into with her old woman, on New Year's Day.","And she quickly struck the whole bundle of matches, for she wished to keep her grandmother with her. And the matches burned with such a glow that it became brighter than daylight. Grandmother had never been so grand and beautiful. She took the little girl in her arms, and both of them flew in brightness and joy above the earth, very, very high, and up there was neither cold, nor hunger, nor fear-they were with God. But in the corner, leaning against the wall, sat the little girl with red cheeks and smiling mouth, frozen to death on the last evening of the old year. The New Year's sun rose upon a little pathetic figure. The child sat there, stiff and cold, holding the matches, of which one bundle was almost burned."
hemingway.cat-in-the-rain,0-0,0-0,1,,231,194,There were only two Americans stopping at the hotel. They did not know any of the people they went through on the flight of steps to and from their room. Their room was on the second floor facing the sea. It also faced the public garden and the stone work in the memory of war. There were big trees and green long seats in the public garden. In the good weather there was always a painter with his support for picture. Painters liked the way the trees grew and the bright colors of the hotels facing the gardens and the sea. Italians came from a long way off to look up at the work of art in the memory of war. It was made of metal of copper and tin and was bright in the rain. It was raining. The rain came drop by drop from the trees. Water was in small stretches of water on the small-stone path. The sea came loose in a long line in the rain and slipped back down the edge of sea to come up and loose again in a long line in the rain. The motor cars were gone from the square by the work of art in the memory of war. Across the square in the doorway of the café a waiter was looking out at the square with nobody and nothing in.,There were only two Americans stopping at the hotel. They did not know any of the people they passed on the stairs on their way to and from their room. Their room was on the second floor facing the sea. It also faced the public garden and the war monument. There were big palms and green benches in the public garden. In the good weather there was always an artist with his easel. Artists liked the way the palms grew and the bright colors of the hotels facing the gardens and the sea. Italians came from a long way off to look up at the war monument. It was made of bronze and glistened in the rain. It was raining. The rain dripped from the palm trees. Water stood in pools on the gravel paths. The sea broke in a long line in the rain and slipped back down the beach to come up and break again in a long line in the rain. The motor cars were gone from the square by the war monument. Across the square in the doorway of the café a waiter stood looking out at the empty square.
hemingway.cat-in-the-rain,1-7,1-7,7,,156,136,"The American wife was at the window looking out. Outside right under their window a cat was bent over under one of the green tables from which water was coming drop by drop. The cat was attempting to make herself take up the least possible space that the drops would not come on her. ""I'm going down and get that young cat,"" the American wife said. ""I'll do it,"" her husband offered from the bed. ""No, I'll get it. The poor young cat out attempting to keep dry under a table."" The husband went on reading, being at rest supported with the two cushions at the foot of the bed. ""Don't get wet,"" he said. The wife went down steps and the hotel owner got on his feet and bent to her as she went through the office. His desk was at the far end of the office. He was an old man and very tall.","The American wife stood at the window looking out. Outside right under their window a cat was crouched under one of the dripping green tables. The cat was trying to make herself so compact that she would not be dripped on. ""I'm going down and get that kitty,"" the American wife said. ""I'll do it,"" her husband offered from the bed. ""No, I'll get it. The poor kitty out trying to keep dry under a table."" The husband went on reading, lying propped up with the two pillows at the foot of the bed. ""Don't get wet,"" he said. The wife went downstairs and the hotel owner stood up and bowed to her as she passed the office. His desk was at the far end of the office. He was an old man and very tall."
hemingway.cat-in-the-rain,8-11,8-11,4,,154,141,"""Il piove,"" the wife said. She liked the hotel-keeper. ""Si, Si, Signora, brutto tempo. It is very bad weather."" He was behind his desk in the far end of the room that wasn't bright. The wife liked him. She liked the deadly serious way he took any protest. She liked his self-respect. She liked the way he desired to give help to her. She liked the way he was conscious about being a hotel-keeper. She liked his old, face having great force and big hands. Liking him she opened the door and looked out. It was raining harder. A man in a rubber cape was passing through the square with nobody in to the café. The cat would be about to the right. Possibly she could go along under the overhanging edge of roof. As she was in the doorway an umbrella opened behind her. It was the maid who looked after their room.","""Il piove,"" the wife said. She liked the hotelkeeper. ""Si, si, Signora, brutto tempo. It is very bad weather."" He stood behind his desk in the far end of the dim room. The wife liked him. She liked the deadly serious way he received any complaints. She liked his dignity. She liked the way he wanted to serve her. She liked the way he felt about being a hotel-keeper. She liked his old, heavy face and big hands. Liking him she opened the door and looked out. It was raining harder. A man in a rubber cape was crossing the empty square to the café. The cat would be around to the right. Perhaps she could go along under the eaves. As she stood in the doorway an umbrella opened behind her. It was the maid who looked after their room."
hemingway.cat-in-the-rain,12-21,12-21,10,,131,127,"""You must not get wet,"" she smiled, speaking Italian. Of course, the hotel-keeper had sent her. With the maid keeping the umbrella over her, she walked along the small-stone footway until she was under their window. The table was there, washed bright green in the rain, but the cat was gone. She hadn't suddenly come up to hopes. The maid looked up at her. ""Ha perduto qualque cosa, Signora?"" ""There was a cat,"" said the American girl. ""A cat?"" ""Si, il gatto."" ""A cat?"" the maid laughed. ""A cat in the rain?"" ""Yes,"" she said, ""under the table."" Then, ""Oh, I wanted it so much. I wanted a young cat."" When she talked English the maid""s face tightened. ""Come, Signora,"" she said. ""We must get back inside. You will be wet.""","""You must not get wet,"" she smiled, speaking Italian. Of course, the hotel-keeper had sent her. With the maid holding the umbrella over her, she walked along the gravel path until she was under their window. The table was there, washed bright green in the rain, but the cat was gone. She was suddenly disappointed. The maid looked up at her. ""Ha perduto qualque cosa, Signora?"" ""There was a cat,"" said the American girl. ""A cat?"" ""Si, il gatto."" ""A cat?"" the maid laughed. ""A cat in the rain?"" ""Yes,"" she said, ""under the table."" Then, ""Oh, I wanted it so much. I wanted a kitty."" When she talked English the maid's face tightened. ""Come, Signora,"" she said. ""We must get back inside. You will be wet."""
hemingway.cat-in-the-rain,22-26,23-28,5,,167,145,"""I take it as probable,"" said the American girl. They went back along the small-stone footway and went through in the door. The maid was outside to shut the umbrella. As the American girl went through the office, the padrone bent his head from his desk. Something felt very small and tight inside the girl. The padrone made her feel very small and at the same time really important. She had a momentary feeling of being of greatly important. She went on up the stairs. She opened the door of the room. George was on the bed, reading. ""Did you get the cat?"" he asked, putting the book down. ""It was gone."" ""Interested where it went to,"" he said, resting his eyes from reading. She took a seat on the bed. ""I wanted it so much,"" she said. ""I don't know why I wanted it so much. I wanted that poor young cat. It isn't any amusement to be a poor young cat out in the rain.""","They went back along the gravel path and passed in the door. The maid stayed outside to close the umbrella. As the American girl passed the office, the padrone bowed from his desk. Something felt very small and tight inside the girl. The padrone made her feel very small and at the same time really important. She had a momentary feeling of being of supreme importance. She went on up the stairs. She opened the door of the room. George was on the bed, reading. ""Did you get the cat?"" he asked, putting the book down. ""It was gone."" ""Wonder where it went to,"" he said, resting his eyes from reading. ""I wanted it so much,"" she said. ""I don't know why I wanted it so much. I wanted that poor kitty. It isn't any fun to be a poor kitty out in the rain."""
hemingway.cat-in-the-rain,27-33,29-35,7,,138,127,"George was reading again. She went over and took a seat in front of the mirror of the dressing table looking at herself with the hand glass. She made observations of her profile, first one side and then the other. Then she made observations of the back of her head and her neck. ""Don't you have an opinion it would be a good idea if I let my hair grow out?"" she put a question, looking at her profile again. George looked up and saw the back of her neck, cut close like a boy's. ""I like it the way it is."" ""I get so tired of it,"" she said. ""I get so tired of looking like a boy."" George changed his position in the bed. He hadn't looked away from her since she started to make statements.","George was reading again. She went over and sat in front of the mirror of the dressing table looking at herself with the hand glass. She studied her profile, first one side and then the other. The she studied the back of her head and her neck. ""Don't you think it would be a good idea if I let my hair grow out?"" she asked, looking at her profile again. George looked up and saw the back of her neck, clipped close like a boy's. ""I like it the way it is."" ""I get so tired of it,"" she said. ""I get so tired of looking like a boy."" George shifted his position in the bed. He hadn't looked away from her since she started to speak."
