id,human_or_ai,category,model,surprisal,drift,drift_residual,z_surprisal,z_drift,z_drift_residual,quadrant,quadrant_raw
huma-68ab49ca71429d,human,philosophy,,3.579496,0.441988,-0.000552,-0.299776,-0.116901,-0.013558,(-surp -drift),(-surp -drift)
mode-2de8edc2499339,ai,aligned,allenai/OLMoE-1B-7B-0125-DPO,5.116127,0.396903,-0.079,1.911771,-1.155563,-1.941002,(+surp -drift),(+surp -drift)
mode-0fddd6902c2b0f,ai,base,allenai/OLMoE-1B-7B-0125,5.134744,0.425713,-0.050595,1.938565,-0.491842,-1.243086,(+surp -drift),(+surp -drift)
huma-d3b79431973cde,human,waking_narrative,,3.596252,0.470959,0.028055,-0.27566,0.55053,0.689307,(-surp +drift),(-surp +drift)
mode-092a14dac13775,ai,aligned,meta-llama/Llama-3.1-8B-Instruct,2.628643,0.434182,0.012287,-1.668261,-0.296734,0.301892,(-surp +drift),(-surp -drift)
huma-2db40b1c9db6d7,human,waking_narrative,,3.36559,0.435582,-0.002313,-0.607633,-0.264481,-0.056841,(-surp -drift),(-surp -drift)
mode-e222ca00b97747,ai,base,Qwen/Qwen2.5-7B,5.417345,0.469348,-0.013096,2.34529,0.513416,-0.32175,(+surp -drift),(+surp +drift)
mode-8870ecb5c31c05,ai,aligned,BSC-LT/salamandra-7b-instruct,3.725313,0.408906,-0.0368,-0.089913,-0.87904,-0.904154,(-surp -drift),(-surp -drift)
mode-346b1bc90ef289,ai,aligned,LLM360/AmberSafe,2.957476,0.433032,0.003998,-1.194998,-0.323228,0.098218,(-surp +drift),(-surp -drift)
huma-3bff5c629da3e4,human,arxiv_abstracts,,5.645475,0.470567,-0.01683,2.673619,0.541499,-0.413498,(+surp -drift),(+surp +drift)
huma-abd24693d6bf4e,human,arxiv_abstracts,,4.459082,0.491448,0.02981,0.96614,1.022553,0.732429,(+surp +drift),(+surp +drift)
huma-82784666f51648,human,c20_fiction,,4.253941,0.503392,0.046209,0.670898,1.297718,1.135321,(+surp +drift),(+surp +drift)
huma-27f4da9e728413,human,c20_fiction,,5.149206,0.355525,-0.121097,1.959379,-2.108825,-2.975286,(+surp -drift),(+surp -drift)
mode-c276cc78fc678f,ai,aligned,allenai/OLMoE-1B-7B-0125-DPO,4.226784,0.462883,0.006289,0.631813,0.364476,0.154521,(+surp +drift),(+surp +drift)
mode-b8fe8b54dcbb4d,ai,aligned,HuggingFaceH4/zephyr-7b-beta,2.827716,0.434818,0.008601,-1.381751,-0.282082,0.211321,(-surp +drift),(-surp -drift)
mode-3fd4902736ab97,ai,aligned,tiiuae/Falcon3-10B-Instruct,3.354768,0.491104,0.053443,-0.623208,1.014628,1.313081,(-surp +drift),(-surp +drift)
mode-ad5d2d3a288e71,ai,base,tiiuae/Falcon3-7B-Base,3.983959,0.46452,0.013198,0.282335,0.402189,0.324278,(+surp +drift),(+surp +drift)
