id,pool,group,model,arm,bits_per_token,mean_drift,mean_pairwise,n_sents,n_tokens_total,n_bytes
huma-68ab49ca71429d,human_anchor,philosophy,,human,3.579496,0.441988,0.49625,10,232,1075
mode-2de8edc2499339,model_narrative,allenai/OLMoE-1B-7B-0125-DPO,allenai/OLMoE-1B-7B-0125-DPO,aligned,5.116127,0.396903,0.408259,11,249,1135
mode-0fddd6902c2b0f,model_narrative,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125,base,5.134744,0.425713,0.443094,12,252,1188
huma-d3b79431973cde,human_anchor,waking_narrative,,human,3.596252,0.470959,0.459856,9,245,1086
mode-092a14dac13775,model_narrative,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,aligned,2.628643,0.434182,0.433471,12,259,1138
huma-2db40b1c9db6d7,human_anchor,waking_narrative,,human,3.36559,0.435582,0.482403,14,223,1009
mode-e222ca00b97747,model_narrative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,base,5.417345,0.469348,0.476528,13,249,1171
mode-8870ecb5c31c05,model_narrative,BSC-LT/salamandra-7b-instruct,BSC-LT/salamandra-7b-instruct,aligned,3.725313,0.408906,0.469818,14,243,1015
mode-346b1bc90ef289,model_narrative,LLM360/AmberSafe,LLM360/AmberSafe,aligned,2.957476,0.433032,0.467603,12,231,1120
huma-3bff5c629da3e4,human_anchor,arxiv_abstracts,,human,5.645475,0.470567,0.500326,8,323,1183
huma-abd24693d6bf4e,human_anchor,arxiv_abstracts,,human,4.459082,0.491448,0.50044,8,262,1499
huma-82784666f51648,human_anchor,c20_fiction,,human,4.253941,0.503392,0.544676,10,264,1192
huma-27f4da9e728413,human_anchor,c20_fiction,,human,5.149206,0.355525,0.481403,32,235,992
mode-c276cc78fc678f,model_narrative,allenai/OLMoE-1B-7B-0125-DPO,allenai/OLMoE-1B-7B-0125-DPO,aligned,4.226784,0.462883,0.497851,14,254,1078
