word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
provide	verb	0.9197	0.4050	92	0.000418	0.001204
provided	verb	0.9060	0.4362	91	0.000209	0.000786
inform	verb	0.8989	0.4220	81	0.000121	0.000654
express	verb	0.8802	0.4468	82	0.000066	0.000234
escalate	verb	0.8733	0.4783	81	0.000078	0.000410
discuss	verb	0.8729	0.4201	91	0.000280	0.000767
focus	verb	0.8705	0.4353	92	0.000136	0.000434
avoid	verb	0.8681	0.4074	92	0.000134	0.000352
examined	verb	0.8667	0.4239	92	0.000378	0.000859
whispered	verb	0.8615	0.4575	92	0.002104	0.004113
explore	verb	0.8603	0.4223	74	0.000062	0.000326
ensure	verb	0.8549	0.4225	61	0.000041	0.000232
carefully	adverb	0.8521	0.4778	92	0.000545	0.001610
prioritize	verb	0.8459	0.4178	49	0.000024	0.000104
address	verb	0.8455	0.4272	91	0.000243	0.000767
seek	verb	0.8426	0.4074	92	0.000229	0.000753
prepare	verb	0.8422	0.4527	92	0.000169	0.000527
speak	verb	0.8393	0.4806	92	0.000819	0.001353
stumbled	verb	0.8388	0.4837	76	0.000053	0.000271
present	verb	0.8370	0.4038	74	0.000036	0.000131
suddenly	adverb	0.8355	0.4905	87	0.000103	0.000356
quickly	adverb	0.8355	0.4698	92	0.000660	0.001789
ensured	verb	0.8339	0.4516	54	0.000027	0.000172
consult	verb	0.8327	0.3974	81	0.000068	0.000444
reminded	verb	0.8280	0.3946	45	0.000008	0.000096
requested	verb	0.8266	0.4305	90	0.000175	0.000457
adjusted	verb	0.8266	0.4797	92	0.000295	0.000561
reconsider	verb	0.8266	0.4764	85	0.000076	0.000275
accidentally	adverb	0.8199	0.4858	83	0.000301	0.000719
review	verb	0.8195	0.4074	92	0.000270	0.000552
inspected	verb	0.8188	0.4057	76	0.000043	0.000144
revisit	verb	0.8181	0.4695	56	0.000021	0.000103
recommend	verb	0.8166	0.4527	61	0.000022	0.000093
understand	verb	0.8166	0.4348	92	0.000531	0.001011
clarify	verb	0.8157	0.4457	92	0.000246	0.000670
follow	verb	0.8152	0.4126	92	0.000811	0.001371
seemed	verb	0.8147	0.4102	92	0.000266	0.000458
revealed	verb	0.8147	0.4747	90	0.000132	0.000305
reviewed	verb	0.8140	0.4149	48	0.000013	0.000076
mentioned	verb	0.8119	0.4466	79	0.000086	0.000257
handle	verb	0.8072	0.4107	49	0.000018	0.000122
consider	verb	0.8058	0.4674	92	0.002115	0.003072
arranged	verb	0.8043	0.4863	91	0.000114	0.000256
identified	verb	0.8008	0.5243	54	0.000020	0.000068
proceed	verb	0.7991	0.4315	91	0.000253	0.000727
felt	verb	0.7991	0.4093	92	0.003128	0.004779
