model,tier,scope,kind,poems,rewind,ci95,model_date,poets_date,true_year,config
Llama-3.1-8B base,base,all periods,metrical years,1615,8.7,2.61,1817.76,1826.46,1824.83,"base features, poets + primers"
Llama-3.1-8B base,base,all periods,calibrated years,1615,8.29,2.49,1820.27,1828.56,1824.83,"base features, poets + primers"
Mistral-7B base,base,all periods,metrical years,696,4.87,4.05,1827.46,1832.33,1842.91,"base features, poets + primers"
Mistral-7B base,base,all periods,calibrated years,696,5.18,3.92,1829.04,1834.22,1842.91,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,all periods,metrical years,1615,13.64,2.72,1812.83,1826.47,1824.78,"base features, poets + primers"
Llama-3.1-8B aligned,open aligned,all periods,calibrated years,1615,13.5,2.61,1815.07,1828.57,1824.78,"base features, poets + primers"
Mistral-7B aligned,open aligned,all periods,metrical years,699,14.79,4.26,1817.53,1832.31,1843.06,"base features, poets + primers"
Mistral-7B aligned,open aligned,all periods,calibrated years,699,14.38,4.12,1819.81,1834.19,1843.06,"base features, poets + primers"
OLMo-2,open aligned,all periods,metrical years,5182,0.12,1.52,1826.46,1826.58,1834.81,"base features, poets + primers"
OLMo-2,open aligned,all periods,calibrated years,5182,0.4,1.45,1828.26,1828.66,1834.81,"base features, poets + primers"
GPT-3.5,API,all periods,metrical years,1457,-7.14,2.96,1832.22,1825.08,1822.47,"base features, poets + primers"
GPT-3.5,API,all periods,calibrated years,1457,-7.24,2.85,1834.36,1827.12,1822.47,"base features, poets + primers"
Claude-3-Sonnet,API,all periods,metrical years,1674,6.84,2.58,1819.13,1825.97,1828.83,"base features, poets + primers"
Claude-3-Sonnet,API,all periods,calibrated years,1674,6.47,2.48,1821.6,1828.07,1828.83,"base features, poets + primers"
DeepSeek-chat,API,all periods,metrical years,2131,12.45,2.19,1811.9,1824.35,1813.47,"base features, poets + primers"
DeepSeek-chat,API,all periods,calibrated years,2131,11.96,2.06,1814.42,1826.38,1813.47,"base features, poets + primers"
Llama-3.1-8B base,base,all periods,metrical years,1615,10.47,3.16,1818.49,1828.97,1824.83,"base features, poets only"
Llama-3.1-8B base,base,all periods,calibrated years,1615,7.72,2.38,1820.68,1828.41,1824.83,"base features, poets only"
Mistral-7B base,base,all periods,metrical years,696,7.08,5.06,1828.94,1836.02,1842.91,"base features, poets only"
Mistral-7B base,base,all periods,calibrated years,696,5.71,3.87,1828.45,1834.16,1842.91,"base features, poets only"
Llama-3.1-8B aligned,open aligned,all periods,metrical years,1615,15.41,3.28,1813.6,1829.01,1824.78,"base features, poets only"
Llama-3.1-8B aligned,open aligned,all periods,calibrated years,1615,12.09,2.49,1816.34,1828.43,1824.78,"base features, poets only"
