model,lineage,tick,ai_system,human_person,fictional_or_roleplay,object_or_abstraction,none,empty,says_I,n
01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B,bare,32.50,42.50,5.00,10.00,10.00,0.00,92.50,40
01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B,prefill,100.00,0.00,0.00,0.00,0.00,0.00,100.00,40
01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B,chat_scaffold,100.00,0.00,0.00,0.00,0.00,0.00,100.00,40
01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B,chat,97.50,0.00,0.00,2.50,0.00,0.00,97.50,40
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,bare,0.00,60.00,0.00,10.00,30.00,0.00,67.50,40
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,prefill,100.00,0.00,0.00,0.00,0.00,0.00,100.00,40
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,chat_scaffold,100.00,0.00,0.00,0.00,0.00,0.00,100.00,40
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,chat,100.00,0.00,0.00,0.00,0.00,0.00,100.00,40
HuggingFaceTB/SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M,bare,10.00,50.00,22.50,5.00,12.50,0.00,87.50,40
HuggingFaceTB/SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M,prefill,90.00,0.00,0.00,0.00,10.00,0.00,90.00,40
HuggingFaceTB/SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M,chat_scaffold,82.50,10.00,0.00,0.00,7.50,0.00,92.50,40
HuggingFaceTB/SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M,chat,97.50,0.00,2.50,0.00,0.00,0.00,95.00,40
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,bare,60.00,15.00,0.00,20.00,5.00,0.00,95.00,40
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,prefill,100.00,0.00,0.00,0.00,0.00,0.00,100.00,40
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,chat_scaffold,90.00,2.50,0.00,2.50,5.00,0.00,97.50,40
