category,meta_field
A1.1.1,physical_action
A1.1.1c,physical_action
A1.1.2,physical_action
A1.2,evaluation_modality
A1.2.4,evaluation_modality
A1.3,evaluation_modality
A1.4,evaluation_modality
A1.5.1,physical_action
A1.5.2,evaluation_modality
A1.6,cognition_mental
A1.7,physical_action
A1.8,quantity_degree
A1.9,physical_action
A10,physical_action
A11.1,evaluation_modality
A11.2,evaluation_modality
A12,evaluation_modality
A13,quantity_degree
A13.2,quantity_degree
A13.3,quantity_degree
A13.4,quantity_degree
A13.5,quantity_degree
A13.6,quantity_degree
A13.7,quantity_degree
A14,quantity_degree
A15,evaluation_modality
A2.1,physical_action
A2.2,other
A3,existence_state
A4.1,cognition_mental
A4.2,cognition_mental
A5.1,evaluation_modality
A5.2,evaluation_modality
A5.3,evaluation_modality
A5.4,evaluation_modality
A6,evaluation_modality
A6.1,evaluation_modality
A6.2,evaluation_modality
A6.3,evaluation_modality
A7,evaluation_modality
A8,evaluation_modality
A9,possession_exchange
B1,body_health
B2,body_health
B3,body_health
B3c,body_health
B4,body_health
B5,other
C1,other
E1,emotion_affect
E2,emotion_affect
E3,emotion_affect
E4.1,emotion_affect
E4.2,emotion_affect
E5,emotion_affect
E6,emotion_affect
F1,other
F2,other
F3,other
F4,other
G1.1,other
G1.1c,other
G1.2,other
G2.1,other
G2.2,evaluation_modality
G3,physical_action
G3c,physical_action
H1,other
H2,other
H3,other
H4,other
H5,other
I1,possession_exchange
I1.1,possession_exchange
I1.2,possession_exchange
I1.3,possession_exchange
I1c,possession_exchange
I2.1,possession_exchange
I2.2,possession_exchange
I3.1,possession_exchange
I3.2,possession_exchange
I4,possession_exchange
I4c,possession_exchange
K1,other
K2,other
K3,other
K4,other
K5,other
K5.1,other
K5.2,other
K6,other
L1,existence_state
L2,other
L2f,other
L2fn,other
L2mf,other
L2mfn,other
L2mfnc,other
L2mn,other
L3,other
M1,physical_action
M2,physical_action
M3,physical_action
M3fn,physical_action
M4,physical_action
M4fn,physical_action
M5,physical_action
M6,physical_action
M7,other
M8,existence_state
N1,quantity_degree
N2,quantity_degree
N3,quantity_degree
N3.1,quantity_degree
N3.1c,quantity_degree
N3.2,quantity_degree
N3.3,quantity_degree
N3.4,quantity_degree
N3.5,quantity_degree
N3.6,quantity_degree
N3.7,quantity_degree
N3.8,quantity_degree
N4,quantity_degree
N4c,quantity_degree
N5,quantity_degree
N5+++c,quantity_degree
N5.1,quantity_degree
N5.2,quantity_degree
N6,quantity_degree
O1,other
O1.1,other
O1.2,other
O1.3,other
O2,other
O2c,other
O3,other
O4.1,perception_sensation
O4.2,evaluation_modality
O4.3,perception_sensation
O4.4,perception_sensation
O4.5,perception_sensation
O4.6,perception_sensation
P1,other
Q1.1,communication_speech
Q1.2,communication_speech
Q1.2c,communication_speech
Q1.3,communication_speech
Q2.1,communication_speech
Q2.2,communication_speech
Q3,communication_speech
Q4,communication_speech
Q4.1,communication_speech
Q4.2,communication_speech
Q4.3,communication_speech
Q4c,communication_speech
S.1.2.3,social_interpersonal
S1.1.1,social_interpersonal
S1.1.2,social_interpersonal
S1.1.3,social_interpersonal
S1.1.3+c,social_interpersonal
S1.1.4,social_interpersonal
S1.2,social_interpersonal
S1.2.1,social_interpersonal
S1.2.2,social_interpersonal
S1.2.3,social_interpersonal
S1.2.4,social_interpersonal
S1.2.5,social_interpersonal
S1.2.6,social_interpersonal
S2,social_interpersonal
S2.1f,social_interpersonal
S2.2,social_interpersonal
S2.2m,social_interpersonal
S2mf,social_interpersonal
S2mfc,social_interpersonal
S3.1,social_interpersonal
S3.2,social_interpersonal
S4,social_interpersonal
S4c,social_interpersonal
S4f,social_interpersonal
S4m,social_interpersonal
S4mf,social_interpersonal
S5,social_interpersonal
S5+c,social_interpersonal
S6,evaluation_modality
S7.1,social_interpersonal
S7.1+c,social_interpersonal
S7.2,social_interpersonal
S7.3,social_interpersonal
S7.4,evaluation_modality
S8,social_interpersonal
S9,social_interpersonal
S9c,social_interpersonal
S9f,social_interpersonal
S9mfn,social_interpersonal
S9mn,social_interpersonal
T1,time_aspect
T1.1,time_aspect
T1.1.1,time_aspect
T1.1.2,time_aspect
T1.1.3,time_aspect
T1.2,time_aspect
T1.3,time_aspect
T2,time_aspect
T3,time_aspect
T4,time_aspect
W1,other
W2,perception_sensation
W3,other
W4,other
W5,other
X1,cognition_mental
X2,cognition_mental
X2.1,cognition_mental
X2.2,cognition_mental
X2.3,cognition_mental
X2.4,cognition_mental
X2.5,cognition_mental
X2.6,cognition_mental
X3,perception_sensation
X3.1,perception_sensation
X3.2,perception_sensation
X3.3,perception_sensation
X3.4,perception_sensation
X3.5,perception_sensation
X4.1,cognition_mental
X4.2,cognition_mental
X5.1,cognition_mental
X5.2,emotion_affect
X6,cognition_mental
X7,cognition_mental
X8,cognition_mental
X9.1,evaluation_modality
X9.2,evaluation_modality
Y1,other
Y2,other
Z1,other
Z1f,other
Z1m,other
Z1mf,other
Z2,other
Z2c,other
Z3,other
Z3c,other
Z3f,other
Z3fn,other
Z3m,other
Z3mf,other
Z3mfn,other
Z4,other
Z5,other
Z6,other
Z7,other
Z8,other
Z8f,other
Z8m,other
Z8mf,other
Z8mfc,other
Z8mfn,other
